year,UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 ,ADMCON10,ADMCON11,ADMCON12,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATVR50,SATVR50,XSATMT50,SATMT50,XACTCM50,ACTCM50,XACTEN50,ACTEN50,XACTMT50,ACTMT50,ACTMT75   
2019,100858,1,2,1,1,2,3,1,1,3,R,20205,R,8572,R,11633,R,16300,R,6997,R,9303,R,4808,R,2330,R,2478,R,4761,R,2305,R,2456,R,47,R,25,R,22,R,866,R,18,R,3911,R,81,R,580,R,650,R,570,R,670,R,25,R,31,R,25,R,33,R,23,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110404,2,2,1,1,1,3,1,1,3,R,8367,R,6011,R,2356,R,537,R,272,R,265,R,235,R,132,R,103,R,235,R,132,R,103,A,,A,,A,,R,186,R,79,R,98,R,42,R,740,R,760,R,790,R,800,R,35,R,36,R,35,R,36,R,35,R,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110635,1,3,1,1,5,3,1,2,3,R,87847,R,42497,R,44900,R,14278,R,6019,R,8259,R,6455,R,2897,R,3558,R,6423,R,2888,R,3535,R,32,R,9,R,23,R,5272,R,82,R,2703,R,42,R,650,R,740,R,680,R,790,R,31,R,35,R,29,R,35,R,28,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110644,1,3,1,1,3,3,1,1,3,R,78093,R,35769,R,42324,R,30358,R,12130,R,18228,R,5957,R,2129,R,3828,R,5896,R,2110,R,3786,R,61,R,19,R,42,R,5325,R,89,R,2312,R,39,R,580,R,680,R,590,R,730,R,24,R,32,R,22,R,32,R,23,R,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110653,1,2,1,1,3,3,1,1,3,R,95565,R,44064,R,51501,R,25360,R,10967,R,14393,R,6069,R,2596,R,3473,R,6053,R,2590,R,3463,R,16,R,6,R,10,R,5513,R,91,R,2188,R,36,R,570,R,670,R,600,R,750,R,24,R,33,R,22,R,32,R,22,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110662,1,3,1,1,3,2,1,2,3,R,111321,R,50976,R,60345,R,13720,R,5933,R,7787,R,5920,R,2337,R,3583,R,5909,R,2334,R,3575,R,11,R,3,R,8,R,4802,R,81,R,2718,R,46,R,650,R,740,R,650,R,790,R,29,R,35,R,28,R,35,R,27,R,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110671,1,3,1,1,3,3,1,1,3,R,49515,R,21898,R,27617,R,27984,R,12056,R,15928,R,4766,R,2205,R,2561,R,4740,R,2194,R,2546,R,26,R,11,R,15,R,4464,R,94,R,1646,R,35,R,570,R,650,R,560,R,680,R,23,R,30,R,21,R,29,R,21,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110680,1,3,1,1,3,3,1,1,3,R,99114,R,45333,R,53781,R,31200,R,14326,R,16874,R,6015,R,3013,R,3002,R,6003,R,3008,R,2995,R,12,R,5,R,7,R,5361,R,89,R,2340,R,39,R,620,R,710,R,630,R,780,R,26,R,34,R,25,R,34,R,25,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110705,1,3,1,1,3,3,1,1,3,R,93446,R,41895,R,51551,R,27626,R,11715,R,15911,R,4935,R,2155,R,2780,R,4928,R,2151,R,2777,R,7,R,4,R,3,R,4288,R,87,R,1828,R,37,R,620,R,710,R,610,R,770,R,27,R,34,R,25,R,34,R,26,R,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,110714,1,3,1,1,3,3,1,1,3,R,55796,R,25056,R,30740,R,28629,R,12825,R,15804,R,3712,R,1942,R,1770,R,3700,R,1935,R,1765,R,12,R,7,R,5,R,3231,R,87,R,1292,R,35,R,600,R,670,R,600,R,710,R,26,R,32,R,24,R,32,R,24,R,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,121150,1,3,1,2,1,3,1,1,3,R,12764,R,4598,R,8166,R,4049,R,1632,R,2417,R,726,R,335,R,391,R,724,R,334,R,390,R,2,R,1,R,1,R,502,R,69,R,298,R,41,R,610,R,700,R,620,R,750,R,27,R,32,R,28,R,35,R,25,R,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,122931,1,5,1,1,1,3,1,1,3,R,16300,R,7737,R,8563,R,7958,R,3612,R,4346,R,1391,R,681,R,710,R,1388,R,679,R,709,R,3,R,2,R,1,R,942,R,68,R,600,R,43,R,630,R,700,R,650,R,740,R,28,R,32,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,123961,1,3,1,1,1,1,1,1,3,R,66198,R,30614,R,35584,R,7558,R,3535,R,4023,R,3168,R,1437,R,1731,R,3167,R,1436,R,1731,R,1,R,1,R,0,R,2138,R,68,R,1337,R,42,R,670,R,740,R,690,R,790,R,31,R,34,R,32,R,35,R,28,R,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,126614,1,2,1,1,2,3,1,1,3,R,40677,R,20160,R,20517,R,31872,R,15399,R,16473,R,7113,R,3604,R,3509,R,7031,R,3563,R,3468,R,82,R,41,R,41,R,5148,R,72,R,3371,R,47,R,580,R,670,R,560,R,690,R,25,R,31,R,24,R,32,R,24,R,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,126775,1,2,1,1,5,3,1,1,3,R,11756,R,8024,R,3732,R,6240,R,3754,R,2486,R,1282,R,847,R,435,R,1279,R,844,R,435,R,3,R,3,R,0,R,1034,R,81,R,752,R,59,R,620,R,710,R,540,R,750,R,27,R,33,R,25,R,34,R,27,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,129020,1,2,1,1,2,3,1,1,3,R,35096,R,16400,R,18696,R,17346,R,7755,R,9591,R,3603,R,1749,R,1854,R,3600,R,1748,R,1852,R,3,R,1,R,2,R,3203,R,90,R,685,R,19,R,590,R,690,R,610,R,720,R,26,R,32,R,25,R,34,R,26,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,130794,2,2,1,3,1,2,1,1,3,R,36844,R,17076,R,19768,R,2241,R,1128,R,1113,R,1550,R,771,R,779,R,1550,R,771,R,779,A,,A,,A,,R,1061,R,68,R,773,R,50,R,720,R,770,R,740,R,800,R,33,R,35,R,35,R,36,R,31,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,130943,1,2,1,1,1,1,1,1,3,R,26866,R,11199,R,15667,R,19172,R,7571,R,11601,R,4617,R,1909,R,2708,R,4604,R,1906,R,2698,R,13,R,3,R,10,R,3401,R,74,R,919,R,20,R,580,R,670,R,580,R,680,R,24,R,30,R,23,R,32,R,23,R,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,131159,1,3,1,1,1,2,5,1,3,R,18545,R,6594,R,11951,R,6691,R,2249,R,4442,R,1754,R,604,R,1150,R,1753,R,603,R,1150,R,1,R,1,R,0,R,937,R,53,R,546,R,31,R,620,R,700,R,590,R,690,R,27,R,31,R,27,R,34,R,24,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,131469,2,3,1,1,1,3,5,1,3,R,26978,R,10045,R,16933,R,11019,R,4148,R,6871,R,2619,R,990,R,1629,R,2609,R,984,R,1625,R,10,R,6,R,4,R,1350,R,52,R,801,R,31,R,630,R,720,R,650,R,750,R,30,R,33,R,31,R,35,R,27,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,131496,1,5,1,2,1,2,1,1,3,R,22764,R,9075,R,13689,R,3269,R,1405,R,1864,R,1584,R,699,R,885,R,1581,R,698,R,883,R,3,R,1,R,2,R,1199,R,76,R,735,R,47,R,690,R,760,R,690,R,790,R,31,R,35,R,33,R,36,R,29,R,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,131520,1,5,1,1,1,2,1,1,3,R,21006,R,6072,R,14934,R,7578,R,2062,R,5516,R,1925,R,499,R,1426,R,1920,R,497,R,1423,R,5,R,2,R,3,R,1509,R,78,R,720,R,37,R,580,R,650,R,550,R,630,R,22,R,27,R,22,R,28,R,20,R,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,133951,1,3,1,1,3,5,1,1,3,R,18492,R,7190,R,11302,R,10634,R,4246,R,6388,R,3998,R,1812,R,2186,R,3306,R,1376,R,1930,R,692,R,436,R,256,R,3687,R,92,R,311,R,8,R,570,R,650,R,540,R,630,R,23,R,28,R,22,R,29,R,21,R,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,134097,1,5,1,1,3,3,1,1,3,R,58936,R,22707,R,36229,R,21202,R,8017,R,13185,R,7106,R,2809,R,4297,R,7056,R,2794,R,4262,R,50,R,15,R,35,R,4967,R,70,R,2139,R,30,R,610,R,670,R,590,R,670,R,26,R,30,R,25,R,33,R,24,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,134130,1,3,1,5,3,3,1,3,3,R,40139,R,17126,R,23013,R,13925,R,5614,R,8311,R,6554,R,2688,R,3866,R,6534,R,2679,R,3855,R,20,R,9,R,11,R,5540,R,85,R,3281,R,50,R,650,R,720,R,660,R,750,R,28,R,33,R,27,R,35,R,26,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,135726,1,2,1,2,1,5,1,1,3,R,38920,R,17268,R,21652,R,10558,R,5064,R,5494,R,2204,R,1010,R,1194,R,2180,R,1001,R,1179,R,24,R,9,R,15,R,1255,R,57,R,829,R,38,R,630,R,700,R,640,R,740,R,29,R,32,R,29,R,35,R,26,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,137351,1,2,1,1,3,3,1,1,3,R,36986,R,14725,R,22261,R,17618,R,7039,R,10579,R,5139,R,2155,R,2984,R,5050,R,2106,R,2944,R,89,R,49,R,40,R,3799,R,74,R,1340,R,26,R,590,R,660,R,580,R,670,R,25,R,30,R,24,R,31,R,23,R,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
