year,UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM ,LEXP100K,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST
2018,100858,2,R,1593390,R,1043354,R,245,R,608151,R,56424,R,76345,R,94890,R,2277886,R,1194913,R,3472799,R,47796,R,338708,R,386504,1,R,32813,R,7917,R,2,R,5039856,1,R,1377025,R,1091765,R,7410063,R,32582,R,8534410,R,20868,R,1406607,R,1427475,R,16378766,15001741,,,,,,,,,,,,
2018,110404,2,R,276995,R,74744,R,197,R,8210,R,355,R,6183,R,5495,R,291388,R,80791,R,372179,R,20408,R,2276424,R,2296832,1,R,7050,R,14334,R,5,R,2640525,1,R,708343,R,253750,R,2921804,R,0,R,3175554,R,0,R,1282646,R,1282646,R,7807068,7098725,,,,,,,,,,,,
2018,110635,2,R,7381824,R,1502169,R,8163,R,19733247,R,20352,R,306084,R,165644,R,27421155,R,1696328,R,29117483,R,323937,R,4572356,R,4896293,1,R,24335,R,11677,R,28,R,31470028,1,R,12722636,R,8233069,R,13525794,R,458865,R,22217728,R,389257,R,4712060,R,5101317,R,71511709,58789073,,,,,,,,,,,,
2018,110644,2,R,2312614,R,1344519,R,723,R,249998,Z,0,R,106593,Z,0,R,2669205,R,1345242,R,4014447,R,79442,R,248136,R,327578,1,R,19663,R,14598,R,4,R,10143670,1,R,4529970,R,1776981,R,7833226,R,61775,R,9671982,R,81978,R,2054123,R,2136101,R,26481723,21951753,,,,,,,,,,,,
2018,110653,2,R,1991992,R,1326283,R,1652,R,336229,R,150824,R,4309,R,177370,R,2332530,R,1656129,R,3988659,R,76184,R,2346,R,78530,1,R,11402,R,14095,R,3,R,11556743,1,R,4947519,R,1436981,R,8001793,R,222148,R,9660922,R,9647,R,2417547,R,2427194,R,28592378,23644859,,,,,,,,,,,,
2018,110662,2,R,13047310,R,1230997,R,1945,R,4856960,Z,0,R,6278,R,141490,R,17910548,R,1374432,R,19284980,R,588405,R,27373649,R,27962054,1,R,28012,R,27558,R,12,R,30922638,1,R,11933319,R,6944384,R,10574068,R,1775024,R,19293476,R,567694,R,9182921,R,9750615,R,71900048,59966729,,,,,,,,,,,,
2018,110671,2,R,5019368,R,1072469,R,2088,R,80238,R,61953,R,2308,R,118486,R,5101914,R,1254996,R,6356910,R,48720,R,125541,R,174261,1,R,10678,R,12457,R,3,R,7923162,1,R,3233754,R,770738,R,3940808,R,1070108,R,5781654,R,25730,R,1044378,R,1070108,R,18008678,14774924,,,,,,,,,,,,
2018,110680,2,R,1246614,R,1458478,R,3685,R,209760,R,159347,R,65404,R,155473,R,1521778,R,1776983,R,3298761,R,154581,R,2110120,R,2264701,1,R,21558,R,14806,R,1,R,17089075,2,Z,0,R,1995603,R,7869098,R,0,R,9864701,R,144755,R,5037159,R,5181914,R,32135690,32135690,,,,,,,,,,,,
2018,110705,2,R,2583659,R,928871,R,717,R,301631,R,0,R,120180,R,59717,R,3005470,R,989305,R,3994775,R,163636,R,2337709,R,2501345,1,R,8149,R,23117,R,1,R,10368933,2,Z,0,R,1340249,R,4400761,R,53219,R,5794229,R,0,R,3790176,R,3790176,R,19953338,19953338,,,,,,,,,,,,
2018,110714,2,R,1373943,R,1121475,R,538,R,497359,R,154113,R,44167,R,72348,R,1915469,R,1348474,R,3263943,R,147985,R,567525,R,715510,1,R,9271,R,9909,R,0,R,5178192,1,R,2127965,R,672710,R,2696082,R,152565,R,3521357,R,31355,R,1641153,R,1672508,R,12500022,10372057,,,,,,,,,,,,
2018,121150,2,R,311392,R,356075,R,128,R,29444,R,92999,R,312,R,66464,R,341148,R,515666,R,856814,R,23111,R,66858,R,89969,1,R,6724,R,7199,R,5,R,2128472,1,R,699148,R,283597,R,1220817,R,77356,R,1581770,R,843,R,290838,R,291681,R,4701071,4001923,,,,,,,,,,,,
2018,122931,2,R,587119,R,553596,R,356,R,120437,R,3021,R,13833,R,95500,R,721389,R,652473,R,1373862,R,34935,R,186380,R,221315,1,R,20670,R,10409,R,1,R,3491391,2,R,0,R,522530,R,4121814,R,68761,R,4713105,R,95186,R,463789,R,558975,R,8763471,8763471,,,,,,,,,,,,
2018,123961,2,R,4012295,R,2858683,R,1011,Z,0,Z,0,R,77299,R,172964,R,4089594,R,3032658,R,7122252,R,128545,R,2700062,R,2828607,1,R,21658,R,23805,R,24,R,15261039,1,R,6540380,R,5334619,R,16820757,R,0,R,22155376,R,33184,R,3425006,R,3458190,R,47414985,40874605,,,,,,,,,,,,
2018,126614,2,R,2165496,R,2641057,R,1019,R,117969,R,62285,R,96212,R,202761,R,2379677,R,2907122,R,5286799,R,174804,R,164508,R,339312,1,R,73488,R,23072,R,4,R,9754207,1,R,23917,R,2545666,R,10054922,R,347110,R,12947698,R,65423,R,3328194,R,3393617,R,26119439,26095522,,,,,,,,,,,,
2018,126775,2,R,409392,R,732071,R,162,R,631524,R,20140,R,527,R,197641,R,1041443,R,950014,R,1991457,R,12665,R,212055,R,224720,1,R,4483,R,1580,R,0,R,1292900,1,R,523070,R,226659,R,1539583,R,12513,R,1778755,R,5379,R,290051,R,295430,R,3890155,3367085,,,,,,,,,,,,
2018,129020,2,R,1667824,R,728582,R,833,R,171732,R,105667,R,52410,R,223918,R,1891966,R,1059000,R,2950966,R,82737,R,784913,R,867650,1,R,23909,R,32513,R,7,R,9232617,1,R,5404604,R,899452,R,10525937,R,1526898,R,12952287,R,32462,R,1030728,R,1063190,R,28652698,23248094,,,,,,,,,,,,
2018,130794,2,R,8422495,R,1937655,R,2164,R,257587,R,107618,R,343492,R,246552,R,9023574,R,2293989,R,11317563,R,313266,R,12095765,R,12409031,1,R,53655,R,60947,R,11,R,41116569,2,Z,0,R,26169100,R,15616256,R,118277,R,41903633,R,832872,R,20964260,R,21797132,R,104817334,104817334,,,,,,,,,,,,
2018,130943,2,R,2891602,R,670435,R,438,R,67245,R,1114033,R,1309,R,100413,R,2960156,R,1885319,R,4845475,R,65206,R,651336,R,716542,1,R,29071,R,14243,R,3,R,8358844,1,R,4012322,R,2782873,R,9027485,R,31471,R,11841829,R,93631,R,2448589,R,2542220,R,26755215,22742893,,,,,,,,,,,,
2018,131159,2,R,798418,R,907079,R,591,R,64481,R,115610,R,6035,R,178649,R,868934,R,1201929,R,2070863,R,69315,R,751244,R,820559,1,R,26358,R,20228,R,1,R,6787249,1,R,1771297,R,1239282,R,5438076,R,134377,R,6811735,R,43578,R,1665704,R,1709282,R,17079563,15308266,,,,,,,,,,,,
2018,131469,2,R,1117470,R,1294371,R,773,R,151590,R,28066,R,20717,R,208133,R,1289777,R,1531343,R,2821120,R,94219,R,1161164,R,1255383,1,R,16192,R,44855,R,4,R,16490707,1,R,4046381,R,1711557,R,9138800,R,1959630,R,12809987,R,16286,R,4754400,R,4770686,R,38117761,34071380,,,,,,,,,,,,
2018,131496,2,R,1904901,R,2321116,R,1519,R,209692,R,87376,R,43612,R,268319,R,2158205,R,2678330,R,4836535,R,191472,R,1599481,R,1790953,1,R,33564,R,32283,R,6,R,13008452,1,R,4737004,R,2643219,R,9870349,R,194555,R,12708123,R,94262,R,3467279,R,3561541,R,34015120,29278116,,,,,,,,,,,,
2018,131520,2,R,1366064,R,439180,R,156,R,172439,R,172439,R,3796,R,65499,R,1542299,R,677274,R,2219573,R,7363,R,233399,R,240762,1,R,10912,R,4710,R,5,R,3555482,1,R,889244,R,121899,R,2846258,R,237997,R,3206154,R,57100,R,50000,R,107100,R,7757980,6868736,,,,,,,,,,,,
2018,133951,2,R,1150687,R,453920,Z,0,R,427778,R,94302,R,60706,R,132570,R,1639171,R,680792,R,2319963,R,60251,R,586576,R,646827,1,R,13239,R,8855,R,4,R,7625152,1,R,2553213,R,1403305,R,7544264,R,132033,R,9079602,R,10118,R,575645,R,585763,R,19843730,17290517,,,,,,,,,,,,
2018,134097,2,R,1825076,R,1737122,R,446,R,371790,R,127933,R,15684,R,319943,R,2212550,R,2185444,R,4397994,R,84231,R,364868,R,449099,1,R,12109,R,11735,R,8,R,8803666,1,R,2314866,R,1302254,R,9089631,R,244543,R,10636428,R,12006,R,842909,R,854915,R,22609875,20295009,,,,,,,,,,,,
2018,134130,2,R,5166684,R,1493534,R,1092,R,827509,R,157019,R,2932,R,145820,R,5997125,R,1797465,R,7794590,R,109408,R,1511582,R,1620990,1,R,8818,R,21449,R,8,R,15772311,1,R,4608062,R,1516389,R,11896414,R,273196,R,13685999,R,8225,R,4469316,R,4477541,R,38543913,33935851,,,,,,,,,,,,
2018,135726,2,R,1763634,R,1078897,R,674,R,242049,R,155368,R,54157,R,117625,R,2059840,R,1352564,R,3412404,R,96059,R,247202,R,343261,1,R,16157,R,6404,R,6,R,9672205,1,R,2726345,R,1812542,R,11483617,R,401198,R,13697357,R,32349,R,5176191,R,5208540,R,31304447,28578102,,,,,,,,,,,,
2018,137351,2,R,1165150,R,721020,R,941,R,995663,R,68625,R,435,R,65050,R,2161248,R,855636,R,3016884,R,99604,R,871091,R,970695,1,R,15208,R,14223,R,2,R,6077772,1,R,1914625,R,1334873,R,8254624,R,194679,R,9784176,R,0,R,1292315,R,1292315,R,19068888,17154263,,,,,,,,,,,,
2018,139658,2,R,2351020,R,1135147,R,1111,R,278916,R,85007,R,68031,R,336390,R,2697967,R,1557655,R,4255622,R,125328,R,1322760,R,1448088,1,R,21603,R,11226,R,8,R,20269692,1,R,5273011,R,6885642,R,14442365,R,36247,R,21364254,R,229319,R,6172422,R,6401741,R,53308698,48035687,,,,,,,,,,,,
2018,139755,2,R,418628,R,1257098,R,421,R,2236239,R,45679,R,17192,R,215344,R,2672059,R,1518542,R,4190601,R,8190,R,1305573,R,1313763,1,R,4628,R,4508,R,1,R,5974587,1,R,1750360,R,949313,R,8032509,R,10602,R,8992424,R,0,R,897478,R,897478,R,17614849,15864489,,,,,,,,,,,,
2018,139959,2,R,4017355,R,1233829,R,629,R,794253,R,255283,R,92728,R,126601,R,4904336,R,1616342,R,6520678,R,225341,R,755592,R,980933,1,R,31179,R,8285,R,15,R,11364689,1,R,3812501,R,2040513,R,11587951,R,743537,R,14372001,R,150090,R,2366357,R,2516447,R,32065638,28253137,,,,,,,,,,,,
2018,144050,2,R,5595968,R,1843420,R,1372,R,93730,R,131700,R,193053,R,165166,R,5882751,R,2141658,R,8024409,R,174693,R,1468636,R,1643329,1,R,55328,R,42903,R,5,R,12604874,1,R,3231638,R,4951200,R,12334887,R,540172,R,17826259,R,331329,R,2302901,R,2634230,R,36297001,33065363,,,,,,,,,,,,
2018,145600,2,R,2749951,R,854165,R,635,R,9300,R,0,R,1900,R,60000,R,2761151,R,914800,R,3675951,R,117450,R,4227172,R,4344622,1,R,40626,R,34864,R,4,R,7577887,2,Z,0,R,611312,R,6290453,R,0,R,6901765,R,3727,R,2282641,R,2286368,R,16766020,16766020,,,,,,,,,,,,
2018,145637,2,R,5731123,R,1426033,R,1026,R,358564,R,388782,R,230967,R,140215,R,6320654,R,1956056,R,8276710,R,316273,R,3308204,R,3624477,1,R,70058,R,40918,R,14,R,22239739,2,Z,0,R,4980071,R,14197569,R,653895,R,19831535,R,377063,R,3172748,R,3549811,R,45621085,45621085,,,,,,,,,,,,
2018,147767,2,R,2546344,R,1975809,R,960,R,373705,R,183388,R,100901,R,173089,R,3020950,R,2333246,R,5354196,R,108234,R,3240606,R,3348840,1,R,32056,R,37876,R,2,R,17608560,1,R,4590808,R,4748235,R,13344380,R,0,R,18092615,R,595043,R,3810180,R,4405223,R,44697206,40106398,,,,,,,,,,,,
2018,151351,2,R,4692626,R,2207064,R,1962,R,346233,R,3439980,R,153391,R,220794,R,5192250,R,5869800,R,11062050,R,245019,R,2160237,R,2405256,1,R,31111,R,20049,R,15,R,16887116,1,R,6085383,R,6393231,R,11212253,R,661023,R,18266507,R,197882,R,5013053,R,5210935,R,46449941,40364558,,,,,,,,,,,,
2018,152080,2,R,2389977,R,1005872,R,673,R,217859,R,99479,R,56183,R,126961,R,2664019,R,1232985,R,3897004,R,117516,R,1156145,R,1273661,1,R,22494,R,23029,R,10,R,12349066,1,R,3775880,R,5235826,R,8865451,R,526070,R,14627347,R,188487,R,1844430,R,2032917,R,32785210,29009330,,,,,,,,,,,,
2018,160755,2,R,1858898,R,1234550,R,877,R,34347,R,5580,R,58086,R,170958,R,1951331,R,1411965,R,3363296,R,65053,R,211209,R,276262,1,R,10475,R,6571,R,6,R,5627936,1,R,1263498,R,2368518,R,9832779,R,790218,R,12991515,R,0,R,1261686,R,1261686,R,21144635,19881137,,,,,,,,,,,,
2018,162928,2,R,2426919,R,1755896,R,836,R,851830,R,143523,R,51824,R,154044,R,3330573,R,2054299,R,5384872,R,132025,R,1425219,R,1557244,1,R,57764,R,39636,R,11,R,15400533,1,R,4894788,R,3868453,R,18034238,R,400588,R,22303279,R,70852,R,9464383,R,9535235,R,52133835,47239047,,,,,,,,,,,,
2018,163286,2,R,2149249,R,2810173,R,874,R,337489,R,302012,R,16840,R,103737,R,2503578,R,3216796,R,5720374,R,120132,R,1092136,R,1212268,1,R,36548,R,51147,R,6,R,13385471,2,Z,0,R,1635128,R,10245410,R,765371,R,12645909,R,201106,R,3666536,R,3867642,R,29899022,29899022,,,,,,,,,,,,
2018,164924,2,R,1482343,R,875636,R,994,R,298999,R,38756,R,41441,R,87469,R,1822783,R,1002855,R,2825638,R,156692,R,262330,R,419022,1,R,42050,R,48800,R,7,R,10844334,1,R,3790365,R,2813391,R,10403373,R,155518,R,13372282,R,178504,R,1211961,R,1390465,R,29397446,25607081,,,,,,,,,,,,
2018,164988,2,R,1175852,R,2562033,R,783,R,163904,R,57677,R,294676,R,126184,R,1634432,R,2746677,R,4381109,R,52922,R,2030250,R,2083172,1,R,16070,R,13913,R,20,R,11635837,1,R,2760589,R,1154982,R,10647340,R,183589,R,11985911,R,175827,R,2357367,R,2533194,R,28915531,26154942,,,,,,,,,,,,
2018,165015,2,R,1019705,R,1092062,R,445,R,148285,R,44119,R,11941,R,37330,R,1179931,R,1173956,R,2353887,R,32478,R,448568,R,481046,1,R,10019,R,11928,R,0,R,3301140,1,R,791508,R,386297,R,3471786,R,321847,R,4179930,R,66518,R,622846,R,689364,R,8961942,8170434,,,,,,,,,,,,
2018,166027,2,R,15378357,R,2047212,R,1491,R,767175,R,259894,R,591997,R,195617,R,16737529,R,2504214,R,19241743,R,510266,R,2660009,R,3170275,1,R,43700,R,73605,R,33,R,56575771,1,R,20066014,R,15607082,R,20562571,R,9596432,R,45766085,R,1604369,R,65244399,R,66848768,R,189256638,169190624,,,,,,,,,,,,
2018,166629,2,R,1839787,R,1581203,R,558,R,49846,R,420000,R,2297,R,126215,R,1891930,R,2127976,R,4019906,R,115541,R,2462395,R,2577936,1,R,21579,R,25030,R,2,R,8993771,1,R,141829,R,634466,R,7066430,R,720429,R,8421325,R,21238,R,2653950,R,2675188,R,20232113,20090284,,,,,,,,,,,,
2018,166683,2,R,1327012,R,758981,R,336,R,377965,R,8110012,R,50139,R,58996,R,1755116,R,8928325,R,10683441,R,83048,R,1923801,R,2006849,1,R,22745,R,24941,R,4,R,12891086,1,R,3166987,R,1245135,R,9811225,R,350657,R,11407017,R,0,R,3473603,R,3473603,R,30938693,27771706,,,,,,,,,,,,
2018,167358,2,R,527386,R,948464,R,397,R,128091,R,123499,R,8126,R,135374,R,663603,R,1207734,R,1871337,R,56910,R,1785419,R,1842329,1,R,11687,R,23382,R,1,R,5727231,1,R,1723527,R,454591,R,7375281,R,129407,R,7959279,R,0,R,1300140,R,1300140,R,16710177,14986650,,,,,,,,,,,,
2018,168148,2,R,874362,R,600956,R,628,R,84385,R,189422,R,15949,R,81697,R,974696,R,872703,R,1847399,R,124525,R,1412724,R,1537249,1,R,18688,R,9178,R,6,R,5756380,1,R,1526774,R,1904274,R,9794650,R,114302,R,11813226,R,41437,R,882422,R,923859,R,20020239,18493465,,,,,,,,,,,,
