year,UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW ,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
2018,100858,R,6677,R,3268,R,3409,R,44,R,14,R,30,R,161,R,80,R,81,R,415,R,187,R,228,R,199,R,98,R,101,R,3,R,2,R,1,R,5322,R,2569,R,2753,R,70,R,35,R,35,R,32,R,18,R,14,R,431,R,265,R,166,,,,,,,,,,,,,,,,,,,,,
2018,110404,R,575,R,383,R,192,Z,0,Z,0,Z,0,R,157,R,89,R,68,R,6,R,3,R,3,R,48,R,41,R,7,Z,0,Z,0,Z,0,R,183,R,127,R,56,R,17,R,11,R,6,R,1,R,1,Z,0,R,163,R,111,R,52,,,,,,,,,,,,,,,,,,,,,
2018,110635,R,12242,R,5987,R,6255,R,21,R,10,R,11,R,3150,R,1523,R,1627,R,280,R,124,R,156,R,1453,R,593,R,860,R,11,R,2,R,9,R,3491,R,1731,R,1760,R,560,R,229,R,331,R,672,R,361,R,311,R,2604,R,1414,R,1190,,,,,,,,,,,,,,,,,,,,,
2018,110644,R,10072,R,4322,R,5750,R,21,R,12,R,9,R,2828,R,1165,R,1663,R,170,R,68,R,102,R,1608,R,622,R,986,R,43,R,22,R,21,R,3206,R,1361,R,1845,R,490,R,198,R,292,R,282,R,145,R,137,R,1424,R,729,R,695,,,,,,,,,,,,,,,,,,,,,
2018,110653,R,8906,R,4144,R,4762,R,7,R,4,R,3,R,3028,R,1348,R,1680,R,144,R,58,R,86,R,1902,R,755,R,1147,R,21,R,12,R,9,R,1815,R,908,R,907,R,318,R,145,R,173,R,200,R,115,R,85,R,1471,R,799,R,672,,,,,,,,,,,,,,,,,,,,,
2018,110662,R,13034,R,6072,R,6962,R,19,R,11,R,8,R,3233,R,1508,R,1725,R,389,R,122,R,267,R,2235,R,852,R,1383,R,27,R,5,R,22,R,3918,R,1907,R,2011,R,560,R,231,R,329,R,297,R,146,R,151,R,2356,R,1290,R,1066,,,,,,,,,,,,,,,,,,,,,
2018,110671,R,5672,R,2729,R,2943,R,19,R,12,R,7,R,1832,R,944,R,888,R,232,R,98,R,134,R,1610,R,625,R,985,R,19,R,8,R,11,R,1090,R,568,R,522,R,229,R,110,R,119,R,126,R,75,R,51,R,515,R,289,R,226,,,,,,,,,,,,,,,,,,,,,
2018,110680,R,9894,R,5358,R,4536,R,9,R,5,R,4,R,3063,R,1633,R,1430,R,121,R,56,R,65,R,1302,R,628,R,674,R,23,R,13,R,10,R,2249,R,1281,R,968,R,409,R,205,R,204,R,260,R,132,R,128,R,2458,R,1405,R,1053,,,,,,,,,,,,,,,,,,,,,
2018,110705,R,6497,R,3081,R,3416,R,14,R,5,R,9,R,1100,R,538,R,562,R,130,R,57,R,73,R,1488,R,598,R,890,R,14,R,7,R,7,R,2384,R,1193,R,1191,R,457,R,196,R,261,R,243,R,123,R,120,R,667,R,364,R,303,,,,,,,,,,,,,,,,,,,,,
2018,110714,R,4836,R,2354,R,2482,R,4,R,4,R,0,R,942,R,477,R,465,R,74,R,30,R,44,R,1257,R,500,R,757,R,8,R,3,R,5,R,1722,R,876,R,846,R,358,R,167,R,191,R,114,R,70,R,44,R,357,R,227,R,130,,,,,,,,,,,,,,,,,,,,,
