year,UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
2018,100858,01,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,Z,0
2018,100858,05,R,4722,R,2310,R,2412,R,37,R,113,R,281,R,138,R,1,R,4033,R,42,R,23,R,54,Z,0,R,4321,R,382,R,18,R,1
2018,100858,07,R,1289,R,660,R,629,R,5,R,27,R,92,R,45,R,2,R,832,R,19,R,6,R,261,Z,0,R,433,R,721,R,134,R,1
2018,100858,09,R,525,R,217,R,308,R,1,R,18,R,27,R,7,R,0,R,354,R,7,R,1,R,110,Z,0,R,18,R,470,R,37,Z,0
2018,100858,10,R,218,R,130,R,88,R,1,R,6,R,18,R,13,R,1,R,143,R,3,R,2,R,31,Z,0,R,28,R,125,R,65,Z,0
2018,110404,05,R,228,R,136,R,92,R,0,R,106,R,2,R,29,R,0,R,60,R,11,R,0,R,20,R,0,R,220,R,8,R,0,R,0
2018,110404,07,R,161,R,116,R,45,R,0,R,24,R,1,R,7,R,0,R,48,R,3,R,0,R,78,R,0,R,77,R,84,R,0,R,0
2018,110404,09,R,191,R,134,R,57,R,0,R,27,R,3,R,12,R,0,R,79,R,3,R,1,R,66,R,0,R,0,R,190,R,1,R,0
2018,110635,05,R,7982,R,3707,R,4275,R,12,R,2536,R,161,R,1151,R,8,R,2184,R,436,R,310,R,1184,R,1,R,7040,R,850,R,91,R,0
2018,110635,07,R,3001,R,1645,R,1356,R,3,R,430,R,79,R,200,R,2,R,814,R,70,R,211,R,1192,R,0,R,897,R,1940,R,162,R,2
2018,110635,09,R,1242,R,652,R,590,R,6,R,180,R,39,R,100,R,1,R,482,R,49,R,145,R,240,R,0,R,70,R,1109,R,63,R,0
2018,110635,10,R,109,R,19,R,90,R,0,R,16,R,3,R,13,R,0,R,40,R,6,R,28,R,3,R,0,R,15,R,85,R,9,R,0
2018,110644,05,R,7932,R,3342,R,4590,R,16,R,2522,R,141,R,1408,R,41,R,2267,R,406,R,157,R,974,R,1,R,6907,R,972,R,51,R,1
