year,UNITID,CIPCODE,PTOTAL,PTOTALDE,PASSOC,PASSOCDE,PBACHL,PBACHLDE,PMASTR,PMASTRDE,PDOCRS,PDOCRSDE,PDOCPP,PDOCPPDE,PDOCOT,PDOCOTDE,PCERT1,PCERT1DE,PCERT2,PCERT2DE,PCERT4,PCERT4DE,PPBACC,PPBACCDE,PPMAST,PPMASTDE,PTOTALDES,PASSOCDES,PBACHLDES,PMASTRDES,PDOCRSDES,PDOCPPDES,PDOCOTDES,PCERT1A,PCERT1ADE,PCERT1ADES,PCERT1B,PCERT1BDE,PCERT1BDES,PCERT2DES,PCERT4DES,PPBACCDES,PPMASTDES  
2019,100858,01     ,19,2,0,0,9,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.0000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.0103,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.0303,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.0901,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.0907,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.1001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.1102,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.1103,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,01.1199,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2019,100858,03     ,8,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
