year,UNITID,EAPCAT,OCCUPCAT,FACSTAT,XEAPTOT,EAPTOT,XEAPTYP,EAPTYP,XEAPMED,EAPMED,XEAPFT,EAPFT,XEAPFTTY,EAPFTTYP,XEAPFTMD,EAPFTMED,XEAPPT,EAPPT,XEAPPTTY,EAPPTTYP,XEAPPTMD,EAPPTMED
2022,100858,10000,100, 0,R,6805,R,6805,A,,R,5547,R,5547,A,,R,1258,R,1258,A,
2022,100858,10010,100,10,R,1841,R,1841,A,,R,1572,R,1572,A,,R,269,R,269,A,
2022,100858,10020,100,20,R,791,R,791,A,,R,787,R,787,A,,R,4,R,4,A,
2022,100858,10030,100,30,R,368,R,368,A,,R,368,R,368,A,,Z,0,Z,0,A,
2022,100858,10040,100,40,R,682,R,682,A,,R,417,R,417,A,,R,265,R,265,A,
2022,100858,10043,100,43,R,682,R,682,A,,R,417,R,417,A,,R,265,R,265,A,
2022,100858,10050,100,50,R,3121,R,3121,A,,R,2724,R,2724,A,,R,397,R,397,A,
2022,100858,10060,100,60,R,1843,R,1843,A,,R,1251,R,1251,A,,R,592,R,592,A,
2022,100858,20000,200, 0,R,1998,R,1998,A,,R,1693,R,1693,A,,R,305,R,305,A,
2022,100858,20010,200,10,R,1750,R,1750,A,,R,1485,R,1485,A,,R,265,R,265,A,
2022,100858,20020,200,20,R,712,R,712,A,,R,712,R,712,A,,Z,0,Z,0,A,
2022,100858,20030,200,30,R,358,R,358,A,,R,358,R,358,A,,Z,0,Z,0,A,
2022,100858,20040,200,40,R,680,R,680,A,,R,415,R,415,A,,R,265,R,265,A,
2022,100858,20043,200,43,R,680,R,680,A,,R,415,R,415,A,,R,265,R,265,A,
2022,100858,20050,200,50,R,248,R,248,A,,R,208,R,208,A,,R,40,R,40,A,
2022,100858,21000,210, 0,R,1695,R,1695,A,,R,1435,R,1435,A,,R,260,R,260,A,
2022,100858,21010,210,10,R,1695,R,1695,A,,R,1435,R,1435,A,,R,260,R,260,A,
2022,100858,21020,210,20,R,712,R,712,A,,R,712,R,712,A,,Z,0,Z,0,A,
2022,100858,21030,210,30,R,358,R,358,A,,R,358,R,358,A,,Z,0,Z,0,A,
2022,100858,21040,210,40,R,625,R,625,A,,R,365,R,365,A,,R,260,R,260,A,
2022,100858,21043,210,43,R,625,R,625,A,,R,365,R,365,A,,R,260,R,260,A,
2022,100858,21100,211, 0,R,1026,R,1026,A,,R,797,R,797,A,,R,229,R,229,A,
2022,100858,21110,211,10,R,1026,R,1026,A,,R,797,R,797,A,,R,229,R,229,A,
2022,100858,21120,211,20,R,314,R,314,A,,R,314,R,314,A,,Z,0,Z,0,A,
2022,100858,21130,211,30,R,150,R,150,A,,R,150,R,150,A,,Z,0,Z,0,A,
