year,UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,EFFYALEV,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,EFYGUKN
2019,100858,1,999,R,32442,R,16578,R,15864,R,111,R,59,R,52,R,786,R,429,R,357,R,1965,R,895,R,1070,R,1109,R,535,R,574,R,19,R,7,R,12,R,24391,R,12084,R,12307,R,662,R,317,R,345,R,138,R,82,R,56,R,3261,R,2170,R,1091,,,,,,,,,,
2019,100858,2,  1,R,25795,R,13465,R,12330,R,89,R,48,R,41,R,628,R,353,R,275,R,1460,R,722,R,738,R,880,R,432,R,448,R,13,R,7,R,6,R,20193,R,10244,R,9949,R,576,R,281,R,295,R,101,R,61,R,40,R,1855,R,1317,R,538,,,,,,,,,,
2019,100858,4,  3,R,6647,R,3113,R,3534,R,22,R,11,R,11,R,158,R,76,R,82,R,505,R,173,R,332,R,229,R,103,R,126,R,6,Z,0,R,6,R,4198,R,1840,R,2358,R,86,R,36,R,50,R,37,R,21,R,16,R,1406,R,853,R,553,,,,,,,,,,
2019,110404,1,999,R,2334,R,1489,R,845,R,1,R,1,Z,0,R,548,R,279,R,269,R,22,R,16,R,6,R,193,R,141,R,52,Z,0,Z,0,Z,0,R,741,R,480,R,261,R,120,R,65,R,55,R,7,R,7,Z,0,R,702,R,500,R,202,,,,,,,,,,
2019,110404,2,  1,R,989,R,541,R,448,Z,0,Z,0,Z,0,R,402,R,185,R,217,R,15,R,10,R,5,R,136,R,105,R,31,Z,0,Z,0,Z,0,R,272,R,160,R,112,R,81,R,42,R,39,Z,0,Z,0,Z,0,R,83,R,39,R,44,,,,,,,,,,
2019,110404,4,  3,R,1345,R,948,R,397,R,1,R,1,Z,0,R,146,R,94,R,52,R,7,R,6,R,1,R,57,R,36,R,21,Z,0,Z,0,Z,0,R,469,R,320,R,149,R,39,R,23,R,16,R,7,R,7,Z,0,R,619,R,461,R,158,,,,,,,,,,
2019,110635,1,999,R,45183,R,22301,R,22882,R,54,R,19,R,35,R,13083,R,6398,R,6685,R,935,R,394,R,541,R,6127,R,2526,R,3601,R,51,R,23,R,28,R,12278,R,6136,R,6142,R,2395,R,1045,R,1350,R,2339,R,1270,R,1069,R,7921,R,4490,R,3431,,,,,,,,,,
2019,110635,2,  1,R,32700,R,15533,R,17167,R,32,R,12,R,20,R,11308,R,5493,R,5815,R,641,R,253,R,388,R,5150,R,2066,R,3084,R,43,R,18,R,25,R,8082,R,3917,R,4165,R,1875,R,820,R,1055,R,1276,R,718,R,558,R,4293,R,2236,R,2057,,,,,,,,,,
2019,110635,4,  3,R,12483,R,6768,R,5715,R,22,R,7,R,15,R,1775,R,905,R,870,R,294,R,141,R,153,R,977,R,460,R,517,R,8,R,5,R,3,R,4196,R,2219,R,1977,R,520,R,225,R,295,R,1063,R,552,R,511,R,3628,R,2254,R,1374,,,,,,,,,,
2019,110644,1,999,R,40623,R,16630,R,23993,R,74,R,24,R,50,R,10130,R,4032,R,6098,R,926,R,344,R,582,R,8216,R,2721,R,5495,R,148,R,62,R,86,R,10951,R,4478,R,6473,R,2112,R,830,R,1282,R,600,R,261,R,339,R,7466,R,3878,R,3588,,,,,,,,,,
2019,110644,2,  1,R,32863,R,13140,R,19723,R,59,R,21,R,38,R,9012,R,3565,R,5447,R,753,R,282,R,471,R,7333,R,2402,R,4931,R,135,R,60,R,75,R,7770,R,3124,R,4646,R,1720,R,652,R,1068,R,474,R,198,R,276,R,5607,R,2836,R,2771,,,,,,,,,,
2019,110644,4,  3,R,7760,R,3490,R,4270,R,15,R,3,R,12,R,1118,R,467,R,651,R,173,R,62,R,111,R,883,R,319,R,564,R,13,R,2,R,11,R,3181,R,1354,R,1827,R,392,R,178,R,214,R,126,R,63,R,63,R,1859,R,1042,R,817,,,,,,,,,,
2019,110653,1,999,R,38105,R,18753,R,19352,R,34,R,22,R,12,R,12359,R,5948,R,6411,R,821,R,348,R,473,R,8927,R,3748,R,5179,R,98,R,43,R,55,R,6275,R,3310,R,2965,R,1518,R,753,R,765,R,750,R,442,R,308,R,7323,R,4139,R,3184,,,,,,,,,,
2019,110653,2,  1,R,31386,R,15235,R,16151,R,24,R,17,R,7,R,11182,R,5400,R,5782,R,661,R,271,R,390,R,8162,R,3411,R,4751,R,94,R,42,R,52,R,4223,R,2228,R,1995,R,1292,R,646,R,646,R,359,R,220,R,139,R,5389,R,3000,R,2389,,,,,,,,,,
2019,110653,4,  3,R,6719,R,3518,R,3201,R,10,R,5,R,5,R,1177,R,548,R,629,R,160,R,77,R,83,R,765,R,337,R,428,R,4,R,1,R,3,R,2052,R,1082,R,970,R,226,R,107,R,119,R,391,R,222,R,169,R,1934,R,1139,R,795,,,,,,,,,,
2019,110662,1,999,R,47103,R,21390,R,25713,R,103,R,42,R,61,R,11825,R,5383,R,6442,R,1647,R,597,R,1050,R,9145,R,3342,R,5803,R,113,R,50,R,63,R,13236,R,6329,R,6907,R,2336,R,953,R,1383,R,1315,R,670,R,645,R,7383,R,4024,R,3359,,,,,,,,,,
2019,110662,2,  1,R,33703,R,14256,R,19447,R,71,R,26,R,45,R,9363,R,4154,R,5209,R,1187,R,413,R,774,R,7513,R,2675,R,4838,R,90,R,40,R,50,R,8910,R,3887,R,5023,R,1828,R,700,R,1128,R,821,R,438,R,383,R,3920,R,1923,R,1997,,,,,,,,,,
2019,110662,4,  3,R,13400,R,7134,R,6266,R,32,R,16,R,16,R,2462,R,1229,R,1233,R,460,R,184,R,276,R,1632,R,667,R,965,R,23,R,10,R,13,R,4326,R,2442,R,1884,R,508,R,253,R,255,R,494,R,232,R,262,R,3463,R,2101,R,1362,,,,,,,,,,
2019,110671,1,999,R,25816,R,12306,R,13510,R,58,R,29,R,29,R,7931,R,4070,R,3861,R,994,R,368,R,626,R,9545,R,3735,R,5810,R,95,R,49,R,46,R,3670,R,1992,R,1678,R,1018,R,508,R,510,R,531,R,355,R,176,R,1974,R,1200,R,774,,,,,,,,,,
2019,110671,2,  1,R,22286,R,10327,R,11959,R,35,R,16,R,19,R,7497,R,3833,R,3664,R,897,R,318,R,579,R,9081,R,3519,R,5562,R,91,R,46,R,45,R,2546,R,1387,R,1159,R,885,R,440,R,445,R,411,R,282,R,129,R,843,R,486,R,357,,,,,,,,,,
2019,110671,4,  3,R,3530,R,1979,R,1551,R,23,R,13,R,10,R,434,R,237,R,197,R,97,R,50,R,47,R,464,R,216,R,248,R,4,R,3,R,1,R,1124,R,605,R,519,R,133,R,68,R,65,R,120,R,73,R,47,R,1131,R,714,R,417,,,,,,,,,,
2019,110680,1,999,R,39811,R,20839,R,18972,R,41,R,22,R,19,R,11831,R,6101,R,5730,R,658,R,294,R,364,R,7008,R,3181,R,3827,R,95,R,50,R,45,R,8367,R,4512,R,3855,R,1735,R,866,R,869,R,742,R,432,R,310,R,9334,R,5381,R,3953,,,,,,,,,,
2019,110680,2,  1,R,31840,R,16050,R,15790,R,26,R,13,R,13,R,10717,R,5494,R,5223,R,523,R,228,R,295,R,6361,R,2837,R,3524,R,91,R,48,R,43,R,6157,R,3237,R,2920,R,1471,R,709,R,762,R,500,R,299,R,201,R,5994,R,3185,R,2809,,,,,,,,,,
2019,110680,4,  3,R,7971,R,4789,R,3182,R,15,R,9,R,6,R,1114,R,607,R,507,R,135,R,66,R,69,R,647,R,344,R,303,R,4,R,2,R,2,R,2210,R,1275,R,935,R,264,R,157,R,107,R,242,R,133,R,109,R,3340,R,2196,R,1144,,,,,,,,,,
2019,110705,1,999,R,27685,R,13013,R,14672,R,50,R,18,R,32,R,4679,R,2281,R,2398,R,600,R,222,R,378,R,6713,R,2796,R,3917,R,29,R,12,R,17,R,8882,R,4206,R,4676,R,2064,R,891,R,1173,R,694,R,376,R,318,R,3974,R,2211,R,1763,,,,,,,,,,
2019,110705,2,  1,R,24638,R,11330,R,13308,R,30,R,10,R,20,R,4385,R,2133,R,2252,R,524,R,191,R,333,R,6432,R,2666,R,3766,R,23,R,10,R,13,R,7532,R,3486,R,4046,R,2044,R,881,R,1163,R,610,R,327,R,283,R,3058,R,1626,R,1432,,,,,,,,,,
2019,110705,4,  3,R,3047,R,1683,R,1364,R,20,R,8,R,12,R,294,R,148,R,146,R,76,R,31,R,45,R,281,R,130,R,151,R,6,R,2,R,4,R,1350,R,720,R,630,R,20,R,10,R,10,R,84,R,49,R,35,R,916,R,585,R,331,,,,,,,,,,
2019,110714,1,999,R,20839,R,10811,R,10028,R,18,R,11,R,7,R,4328,R,2439,R,1889,R,380,R,160,R,220,R,5465,R,2342,R,3123,R,29,R,8,R,21,R,6554,R,3445,R,3109,R,1596,R,809,R,787,R,445,R,297,R,148,R,2024,R,1300,R,724,,,,,,,,,,
2019,110714,2,  1,R,18774,R,9671,R,9103,R,15,R,8,R,7,R,4160,R,2354,R,1806,R,355,R,148,R,207,R,5218,R,2214,R,3004,R,29,R,8,R,21,R,5704,R,2997,R,2707,R,1497,R,768,R,729,R,332,R,225,R,107,R,1464,R,949,R,515,,,,,,,,,,
2019,110714,4,  3,R,2065,R,1140,R,925,R,3,R,3,R,0,R,168,R,85,R,83,R,25,R,12,R,13,R,247,R,128,R,119,R,0,R,0,R,0,R,850,R,448,R,402,R,99,R,41,R,58,R,113,R,72,R,41,R,560,R,351,R,209,,,,,,,,,,
2019,121150,1,999,R,9814,R,3805,R,6009,R,37,R,13,R,24,R,950,R,392,R,558,R,778,R,252,R,526,R,1250,R,427,R,823,R,36,R,13,R,23,R,4069,R,1610,R,2459,R,391,R,116,R,275,R,864,R,376,R,488,R,1439,R,606,R,833,,,,,,,,,,
2019,121150,2,  1,R,3931,R,1629,R,2302,R,14,R,5,R,9,R,403,R,183,R,220,R,187,R,75,R,112,R,541,R,222,R,319,R,8,R,2,R,6,R,1926,R,793,R,1133,R,249,R,88,R,161,R,100,R,51,R,49,R,503,R,210,R,293,,,,,,,,,,
2019,121150,4,  3,R,5883,R,2176,R,3707,R,23,R,8,R,15,R,547,R,209,R,338,R,591,R,177,R,414,R,709,R,205,R,504,R,28,R,11,R,17,R,2143,R,817,R,1326,R,142,R,28,R,114,R,764,R,325,R,439,R,936,R,396,R,540,,,,,,,,,,
2019,122931,1,999,R,9423,R,4618,R,4805,R,11,R,7,R,4,R,1672,R,826,R,846,R,242,R,107,R,135,R,1479,R,654,R,825,R,19,R,9,R,10,R,3745,R,1958,R,1787,R,606,R,269,R,337,R,394,R,174,R,220,R,1255,R,614,R,641,,,,,,,,,,
2019,122931,2,  1,R,5797,R,2931,R,2866,R,8,R,4,R,4,R,1000,R,479,R,521,R,173,R,77,R,96,R,1016,R,479,R,537,R,12,R,6,R,6,R,2771,R,1471,R,1300,R,426,R,196,R,230,R,136,R,74,R,62,R,255,R,145,R,110,,,,,,,,,,
2019,122931,4,  3,R,3626,R,1687,R,1939,R,3,R,3,R,0,R,672,R,347,R,325,R,69,R,30,R,39,R,463,R,175,R,288,R,7,R,3,R,4,R,974,R,487,R,487,R,180,R,73,R,107,R,258,R,100,R,158,R,1000,R,469,R,531,,,,,,,,,,
