year,UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE ,ACTTYPE
2019,100858,R,730908,A,,R,86499,G,24364,G,3604,G,24364,G,3604,R,1136,2,
2019,110404,R,41503,A,,R,47505,G,922,G,1320,G,922,G,1320,A,,2,
2019,110635,R,947804,A,,R,258522,G,31593,G,10772,G,31593,G,10772,R,1227,2,
2019,110644,R,1353307,A,,R,211221,G,30073,G,5867,G,30073,G,5867,R,1541,2,
2019,110653,R,1397599,A,,R,207901,G,31058,G,5775,G,31058,G,5775,R,981,2,
2019,110662,R,1461064,A,,R,424772,G,32468,G,11799,G,32468,G,11799,R,2024,2,
2019,110671,R,918637,A,,R,114173,G,20414,G,3171,G,20414,G,3171,R,244,2,
2019,110680,R,1392016,A,,R,258090,G,30934,G,7169,G,30934,G,7169,R,767,2,
2019,110705,R,1049386,A,,R,111304,G,23320,G,3092,G,23320,G,3092,A,,2,
2019,110714,R,813566,A,,R,70464,G,18079,G,1957,G,18079,G,1957,A,,2,
2019,121150,R,123952,A,,R,103144,G,4132,G,4298,G,4132,G,4298,R,605,2,
2019,122931,R,284869,A,,R,62146,G,6330,G,1726,R,5530,G,1726,R,697,2,
2019,123961,R,651262,A,,R,437614,G,21709,G,18234,G,21709,G,18234,R,3731,2,
2019,126614,R,879923,A,,R,89302,G,29331,G,3721,G,29331,G,3721,R,556,2,
2019,126775,R,148127,A,,R,25452,G,4938,G,1061,G,4938,G,1061,A,,2,
2019,129020,R,574422,A,,R,111705,G,19147,G,4654,G,19147,G,4654,R,1379,2,
2019,130794,R,226574,A,,R,197862,G,7552,G,8244,G,7552,G,8244,R,449,2,
2019,130943,R,596303,A,,R,66294,G,19877,G,2762,R,19093,R,3917,R,196,2,
2019,131159,R,250322,A,,R,80552,G,8344,G,3356,G,8344,R,3661,R,1447,2,
2019,131469,R,357896,A,,R,218133,G,11930,G,9089,G,11930,G,9089,R,2610,2,
2019,131496,R,210314,A,,R,161817,G,7010,G,6742,G,7010,G,6742,R,2827,2,
2019,131520,R,192880,A,,R,29739,G,6429,G,1239,G,6429,G,1239,R,1401,2,
2019,133951,R,1196874,A,,R,174505,G,39896,G,7271,G,39896,G,7271,R,1527,2,
2019,134097,R,967543,A,,R,160342,G,32251,G,6681,G,32251,G,6681,R,1033,2,
