year,UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW ,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN  ,XEFGNDRU,XEFGNDRA,XEFGNDRK,EFGNDRKN
2019,100858, 1,29,3,4,R,30460,R,15538,R,14922,R,83,R,43,R,40,R,760,R,403,R,357,R,1664,R,761,R,903,R,1050,R,509,R,541,R,19,R,8,R,11,R,23036,R,11374,R,11662,R,708,R,346,R,362,R,106,R,66,R,40,R,3034,R,2028,R,1006,,,,,,,,,,,,,
2019,100858, 2,99,3,1,R,24594,R,12799,R,11795,R,68,R,36,R,32,R,597,R,336,R,261,R,1221,R,601,R,620,R,836,R,413,R,423,R,14,R,7,R,7,R,19396,R,9781,R,9615,R,630,R,312,R,318,R,75,R,50,R,25,R,1757,R,1263,R,494,,,,,,,,,,,,,
2019,100858, 3,99,3,1,R,24209,R,12518,R,11691,R,68,R,36,R,32,R,597,R,336,R,261,R,1221,R,601,R,620,R,836,R,413,R,423,R,14,R,7,R,7,R,19375,R,9767,R,9608,R,629,R,311,R,318,R,75,R,50,R,25,R,1394,R,997,R,397,,,,,,,,,,,,,
2019,100858, 4,99,3,1,R,4808,R,2330,R,2478,R,10,R,5,R,5,R,123,R,66,R,57,R,179,R,93,R,86,R,174,R,83,R,91,R,4,R,4,Z,0,R,4116,R,1969,R,2147,R,143,R,71,R,72,R,13,R,8,R,5,R,46,R,31,R,15,,,,,,,,,,,,,
2019,100858, 5,99,3,1,R,19401,R,10188,R,9213,R,58,R,31,R,27,R,474,R,270,R,204,R,1042,R,508,R,534,R,662,R,330,R,332,R,10,R,3,R,7,R,15259,R,7798,R,7461,R,486,R,240,R,246,R,62,R,42,R,20,R,1348,R,966,R,382,,,,,,,,,,,,,
2019,100858,11,99,3,1,R,385,R,281,R,104,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,R,14,R,7,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,363,R,266,R,97,,,,,,,,,,,,,
2019,100858,12,99,3,3,R,5866,R,2739,R,3127,R,15,R,7,R,8,R,163,R,67,R,96,R,443,R,160,R,283,R,214,R,96,R,118,R,5,R,1,R,4,R,3640,R,1593,R,2047,R,78,R,34,R,44,R,31,R,16,R,15,R,1277,R,765,R,512,,,,,,,,,,,,,
2019,100858,19,99,3,1,R,979,R,539,R,440,Z,0,Z,0,Z,0,R,29,R,18,R,11,R,78,R,38,R,40,R,46,R,25,R,21,R,1,Z,0,R,1,R,772,R,424,R,348,R,24,R,13,R,11,R,2,R,1,R,1,R,27,R,20,R,7,,,,,,,,,,,,,
2019,100858,20,99,3,1,R,18422,R,9649,R,8773,R,58,R,31,R,27,R,445,R,252,R,193,R,964,R,470,R,494,R,616,R,305,R,311,R,9,R,3,R,6,R,14487,R,7374,R,7113,R,462,R,227,R,235,R,60,R,41,R,19,R,1321,R,946,R,375,,,,,,,,,,,,,
2019,100858,21,14,1,4,R,25866,R,12907,R,12959,R,66,R,33,R,33,R,634,R,332,R,302,R,1331,R,610,R,721,R,873,R,408,R,465,R,13,R,7,R,6,R,19736,R,9499,R,10237,R,616,R,284,R,332,R,72,R,42,R,30,R,2525,R,1692,R,833,,,,,,,,,,,,,
2019,100858,22, 8,1,1,R,22527,R,11495,R,11032,R,59,R,31,R,28,R,538,R,302,R,236,R,1098,R,537,R,561,R,768,R,375,R,393,R,12,R,7,R,5,R,17892,R,8843,R,9049,R,573,R,271,R,302,R,61,R,38,R,23,R,1526,R,1091,R,435,,,,,,,,,,,,,
2019,100858,23, 6,1,1,R,22364,R,11379,R,10985,R,59,R,31,R,28,R,538,R,302,R,236,R,1098,R,537,R,561,R,768,R,375,R,393,R,12,R,7,R,5,R,17892,R,8843,R,9049,R,572,R,270,R,302,R,61,R,38,R,23,R,1364,R,976,R,388,,,,,,,,,,,,,
2019,100858,24, 1,1,1,R,4761,R,2305,R,2456,R,10,R,5,R,5,R,122,R,66,R,56,R,178,R,93,R,85,R,171,R,81,R,90,R,4,R,4,Z,0,R,4075,R,1947,R,2128,R,142,R,70,R,72,R,13,R,8,R,5,R,46,R,31,R,15,,,,,,,,,,,,,
2019,100858,25,99,1,1,R,17603,R,9074,R,8529,R,49,R,26,R,23,R,416,R,236,R,180,R,920,R,444,R,476,R,597,R,294,R,303,R,8,R,3,R,5,R,13817,R,6896,R,6921,R,430,R,200,R,230,R,48,R,30,R,18,R,1318,R,945,R,373,,,,,,,,,,,,,
2019,100858,31, 7,1,1,R,163,R,116,R,47,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,162,R,115,R,47,,,,,,,,,,,,,
2019,100858,32,11,1,3,R,3339,R,1412,R,1927,R,7,R,2,R,5,R,96,R,30,R,66,R,233,R,73,R,160,R,105,R,33,R,72,R,1,Z,0,R,1,R,1844,R,656,R,1188,R,43,R,13,R,30,R,11,R,4,R,7,R,999,R,601,R,398,,,,,,,,,,,,,
2019,100858,39, 2,1,1,R,887,R,490,R,397,Z,0,Z,0,Z,0,R,27,R,16,R,11,R,72,R,34,R,38,R,41,R,23,R,18,R,1,Z,0,R,1,R,701,R,387,R,314,R,17,R,9,R,8,R,1,R,1,Z,0,R,27,R,20,R,7,,,,,,,,,,,,,
2019,100858,40, 3,1,1,R,16716,R,8584,R,8132,R,49,R,26,R,23,R,389,R,220,R,169,R,848,R,410,R,438,R,556,R,271,R,285,R,7,R,3,R,4,R,13116,R,6509,R,6607,R,413,R,191,R,222,R,47,R,29,R,18,R,1291,R,925,R,366,,,,,,,,,,,,,
2019,100858,41,28,2,4,R,4594,R,2631,R,1963,R,17,R,10,R,7,R,126,R,71,R,55,R,333,R,151,R,182,R,177,R,101,R,76,R,6,R,1,R,5,R,3300,R,1875,R,1425,R,92,R,62,R,30,R,34,R,24,R,10,R,509,R,336,R,173,,,,,,,,,,,,,
2019,100858,42,22,2,1,R,2067,R,1304,R,763,R,9,R,5,R,4,R,59,R,34,R,25,R,123,R,64,R,59,R,68,R,38,R,30,R,2,Z,0,R,2,R,1504,R,938,R,566,R,57,R,41,R,16,R,14,R,12,R,2,R,231,R,172,R,59,,,,,,,,,,,,,
2019,100858,43,20,2,1,R,1845,R,1139,R,706,R,9,R,5,R,4,R,59,R,34,R,25,R,123,R,64,R,59,R,68,R,38,R,30,R,2,Z,0,R,2,R,1483,R,924,R,559,R,57,R,41,R,16,R,14,R,12,R,2,R,30,R,21,R,9,,,,,,,,,,,,,
2019,100858,44,15,2,1,R,47,R,25,R,22,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,41,R,22,R,19,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,,,,,,,,,,,,
2019,100858,45,99,2,1,R,1798,R,1114,R,684,R,9,R,5,R,4,R,58,R,34,R,24,R,122,R,64,R,58,R,65,R,36,R,29,R,2,Z,0,R,2,R,1442,R,902,R,540,R,56,R,40,R,16,R,14,R,12,R,2,R,30,R,21,R,9,,,,,,,,,,,,,
2019,100858,51,21,2,1,R,222,R,165,R,57,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,R,14,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,201,R,151,R,50,,,,,,,,,,,,,
2019,100858,52,25,2,3,R,2527,R,1327,R,1200,R,8,R,5,R,3,R,67,R,37,R,30,R,210,R,87,R,123,R,109,R,63,R,46,R,4,R,1,R,3,R,1796,R,937,R,859,R,35,R,21,R,14,R,20,R,12,R,8,R,278,R,164,R,114,,,,,,,,,,,,,
2019,100858,59,16,2,1,R,92,R,49,R,43,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,6,R,4,R,2,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,71,R,37,R,34,R,7,R,4,R,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,,,,,,,,,,,,,
2019,100858,60,17,2,1,R,1706,R,1065,R,641,R,9,R,5,R,4,R,56,R,32,R,24,R,116,R,60,R,56,R,60,R,34,R,26,R,2,Z,0,R,2,R,1371,R,865,R,506,R,49,R,36,R,13,R,13,R,12,R,1,R,30,R,21,R,9,,,,,,,,,,,,,
2019,110404, 1,29,3,4,R,2237,R,1403,R,834,R,2,R,2,Z,0,R,479,R,230,R,249,R,24,R,17,R,7,R,229,R,171,R,58,R,1,R,1,Z,0,R,675,R,428,R,247,R,124,R,71,R,53,R,11,R,6,R,5,R,692,R,477,R,215,,,,,,,,,,,,,
