year,UNITID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,EFAGE09 
2022,100858, 1,412,1,R,12829,R,13650,R,2849,R,2436,R,26479,R,5285,R,15678,R,16086,R,31764
2022,100858, 1,112,2,R,11374,R,11605,R,1310,R,1090,R,22979,R,2400,R,12684,R,12695,R,25379
2022,100858, 1,312,5,R,1455,R,2045,R,1539,R,1346,R,3500,R,2885,R,2994,R,3391,R,6385
2022,100858, 2,999,1,R,11471,R,12525,R,1283,R,1174,R,23996,R,2457,R,12754,R,13699,R,26453
2022,100858, 2,999,2,R,11004,R,11460,R,1080,R,931,R,22464,R,2011,R,12084,R,12391,R,24475
2022,100858, 2,999,5,R,467,R,1065,R,203,R,243,R,1532,R,446,R,670,R,1308,R,1978
2022,100858, 3,  1,1,R,42,R,73,R,169,R,327,R,115,R,496,R,211,R,400,R,611
2022,100858, 3,  1,2,R,42,R,73,R,169,R,326,R,115,R,495,R,211,R,399,R,610
2022,100858, 3,  1,5,Z,0,Z,0,R,0,R,1,Z,0,R,1,R,0,R,1,R,1
2022,100858, 4,  2,1,R,4329,R,5393,R,143,R,94,R,9722,R,237,R,4472,R,5487,R,9959
2022,100858, 4,  2,2,R,4328,R,5392,R,143,R,94,R,9720,R,237,R,4471,R,5486,R,9957
2022,100858, 4,  2,5,R,1,R,1,R,0,R,0,R,2,R,0,R,1,R,1,R,2
2022,100858, 5,  3,1,R,4810,R,5190,R,348,R,250,R,10000,R,598,R,5158,R,5440,R,10598
2022,100858, 5,  3,2,R,4780,R,5069,R,344,R,241,R,9849,R,585,R,5124,R,5310,R,10434
2022,100858, 5,  3,5,R,30,R,121,R,4,R,9,R,151,R,13,R,34,R,130,R,164
2022,100858, 6,  4,1,R,2290,R,1869,R,623,R,503,R,4159,R,1126,R,2913,R,2372,R,5285
2022,100858, 6,  4,2,R,1854,R,926,R,424,R,270,R,2780,R,694,R,2278,R,1196,R,3474
2022,100858, 6,  4,5,R,436,R,943,R,199,R,233,R,1379,R,432,R,635,R,1176,R,1811
2022,100858, 7,999,1,R,1358,R,1125,R,1566,R,1262,R,2483,R,2828,R,2924,R,2387,R,5311
2022,100858, 7,999,2,R,370,R,145,R,230,R,159,R,515,R,389,R,600,R,304,R,904
2022,100858, 7,999,5,R,988,R,980,R,1336,R,1103,R,1968,R,2439,R,2324,R,2083,R,4407
2022,100858, 8,  5,1,R,792,R,696,R,630,R,499,R,1488,R,1129,R,1422,R,1195,R,2617
2022,100858, 8,  5,2,R,250,R,87,R,128,R,52,R,337,R,180,R,378,R,139,R,517
2022,100858, 8,  5,5,R,542,R,609,R,502,R,447,R,1151,R,949,R,1044,R,1056,R,2100
2022,100858, 9,  6,1,R,322,R,229,R,359,R,258,R,551,R,617,R,681,R,487,R,1168
2022,100858, 9,  6,2,R,68,R,28,R,47,R,35,R,96,R,82,R,115,R,63,R,178
2022,100858, 9,  6,5,R,254,R,201,R,312,R,223,R,455,R,535,R,566,R,424,R,990
2022,100858,10,  7,1,R,116,R,99,R,221,R,169,R,215,R,390,R,337,R,268,R,605
2022,100858,10,  7,2,R,20,R,14,R,22,R,22,R,34,R,44,R,42,R,36,R,78
2022,100858,10,  7,5,R,96,R,85,R,199,R,147,R,181,R,346,R,295,R,232,R,527
2022,100858,11,  8,1,R,98,R,74,R,241,R,217,R,172,R,458,R,339,R,291,R,630
2022,100858,11,  8,2,R,23,R,14,R,23,R,36,R,37,R,59,R,46,R,50,R,96
2022,100858,11,  8,5,R,75,R,60,R,218,R,181,R,135,R,399,R,293,R,241,R,534
2022,100858,12,  9,1,R,27,R,25,R,110,R,113,R,52,R,223,R,137,R,138,R,275
2022,100858,12,  9,2,R,9,R,1,R,10,R,13,R,10,R,23,R,19,R,14,R,33
2022,100858,12,  9,5,R,18,R,24,R,100,R,100,R,42,R,200,R,118,R,124,R,242
2022,100858,13, 10,1,R,3,R,2,R,5,R,6,R,5,R,11,R,8,R,8,R,16
2022,100858,13, 10,2,R,0,R,1,R,0,R,1,R,1,R,1,R,0,R,2,R,2
2022,100858,13, 10,5,R,3,R,1,R,5,R,5,R,4,R,10,R,8,R,6,R,14
2022,110404, 1,412,1,R,1464,R,937,Z,0,Z,0,R,2401,Z,0,R,1464,R,937,R,2401
2022,110404, 1,112,2,R,537,R,445,Z,0,Z,0,R,982,Z,0,R,537,R,445,R,982
2022,110404, 1,312,5,R,927,R,492,Z,0,Z,0,R,1419,Z,0,R,927,R,492,R,1419
2022,110404, 2,999,1,R,870,R,631,Z,0,Z,0,R,1501,Z,0,R,870,R,631,R,1501
2022,110404, 2,999,2,R,536,R,442,Z,0,Z,0,R,978,Z,0,R,536,R,442,R,978
2022,110404, 2,999,5,R,334,R,189,Z,0,Z,0,R,523,Z,0,R,334,R,189,R,523
