year,UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
2019,100858, 1,  1,R,2605,R,2558
2019,100858, 4,  4,R,4,R,3
2019,100858, 5,  5,R,7,R,7
2019,100858, 6,  6,R,61,R,61
2019,100858, 8,  8,R,22,R,22
2019,100858, 9,  9,R,8,R,8
2019,100858,10, 10,R,1,R,1
2019,100858,11, 11,R,1,R,1
2019,100858,12, 12,R,245,R,242
2019,100858,13, 13,R,784,R,777
2019,100858,16, 16,R,2,R,2
2019,100858,17, 17,R,73,R,70
2019,100858,18, 18,R,17,R,17
2019,100858,19, 19,R,1,R,1
2019,100858,20, 20,R,6,R,6
2019,100858,21, 21,R,23,R,23
2019,100858,22, 22,R,22,R,22
2019,100858,23, 23,R,1,R,1
2019,100858,24, 24,R,47,R,47
2019,100858,25, 25,R,19,R,19
2019,100858,26, 26,R,7,R,7
2019,100858,27, 27,R,9,R,9
2019,100858,28, 28,R,17,R,16
2019,100858,29, 29,R,16,R,16
2019,100858,30, 30,R,2,R,2
2019,100858,31, 31,R,1,R,1
2019,100858,33, 33,R,3,R,3
2019,100858,34, 34,R,55,R,55
2019,100858,35, 35,R,2,R,2
2019,100858,36, 36,R,30,R,28
2019,100858,37, 37,R,103,R,102
2019,100858,38, 38,R,1,R,1
2019,100858,39, 39,R,25,R,25
2019,100858,40, 40,R,3,R,3
2019,100858,41, 41,R,1,R,1
2019,100858,42, 42,R,37,R,37
2019,100858,45, 45,R,42,R,41
2019,100858,46, 46,R,2,R,2
2019,100858,47, 47,R,165,R,163
2019,100858,48, 48,R,206,R,205
2019,100858,49, 49,R,1,R,1
2019,100858,50, 50,R,2,R,2
2019,100858,51, 51,R,64,R,63
2019,100858,53, 53,R,5,R,4
2019,100858,54, 54,R,2,R,2
2019,100858,55, 55,R,8,R,8
2019,100858,58,999,R,4758,R,4687
2019,100858,90, 90,R,3,R,3
2019,100858,98, 98,R,47,A,
2019,100858,99, 99,R,4808,R,4690
2019,110404, 1,  1,R,2,R,2
2019,110404, 4,  4,R,6,R,6
2019,110404, 6,  6,R,73,R,71
2019,110404, 8,  8,R,3,R,3
2019,110404, 9,  9,R,2,R,2
2019,110404,10, 10,R,1,R,1
2019,110404,12, 12,R,19,R,19
2019,110404,13, 13,R,4,R,3
2019,110404,15, 15,R,4,R,4
2019,110404,17, 17,R,5,R,5
2019,110404,18, 18,R,2,R,2
2019,110404,19, 19,R,1,R,1
2019,110404,20, 20,R,2,R,2
2019,110404,21, 21,R,3,R,3
2019,110404,24, 24,R,10,R,10
2019,110404,25, 25,R,5,R,5
2019,110404,26, 26,R,1,R,1
2019,110404,27, 27,R,4,R,4
2019,110404,29, 29,R,4,R,4
2019,110404,30, 30,R,3,R,3
2019,110404,32, 32,R,2,R,2
2019,110404,33, 33,R,1,R,1
2019,110404,34, 34,R,7,R,7
2019,110404,35, 35,R,1,R,1
2019,110404,36, 36,R,18,R,18
2019,110404,37, 37,R,2,R,2
2019,110404,40, 40,R,1,R,1
2019,110404,41, 41,R,2,R,2
2019,110404,42, 42,R,3,R,3
2019,110404,45, 45,R,1,R,1
2019,110404,47, 47,R,4,R,4
2019,110404,48, 48,R,15,R,15
2019,110404,49, 49,R,1,R,1
2019,110404,51, 51,R,3,R,3
2019,110404,53, 53,R,5,R,4
2019,110404,55, 55,R,2,R,2
2019,110404,57, 57,R,3,R,3
2019,110404,58,999,R,225,R,221
2019,110404,90, 90,R,10,R,9
2019,110404,99, 99,R,235,R,230
2019,110635, 1,  1,R,1,R,1
2019,110635, 2,  2,R,1,R,1
