year,UNITID,EFCIPLEV,CIPCODE,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
2022,100858,101,13.0000,29,3, 1,R,1635,R,348,R,1287,R,6,R,1,R,5,R,15,R,1,R,14,R,184,R,66,R,118,R,48,R,13,R,35,R,1,R,0,R,1,R,1311,R,251,R,1060,R,41,R,10,R,31,R,1,R,1,R,0,R,28,R,5,R,23
2022,100858,102,13.0000,99,3, 2,R,908,R,147,R,761,R,4,R,1,R,3,R,8,R,1,R,7,R,28,R,12,R,16,R,29,R,6,R,23,R,1,R,0,R,1,R,814,R,120,R,694,R,22,R,7,R,15,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,103,13.0000,99,3, 3,R,908,R,147,R,761,R,4,R,1,R,3,R,8,R,1,R,7,R,28,R,12,R,16,R,29,R,6,R,23,R,1,R,0,R,1,R,814,R,120,R,694,R,22,R,7,R,15,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,104,13.0000,99,3, 4,R,133,R,13,R,120,R,0,R,0,R,0,R,2,R,0,R,2,R,2,R,2,R,0,R,6,R,0,R,6,R,0,R,0,R,0,R,119,R,11,R,108,R,4,R,0,R,4,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,105,13.0000,99,3, 5,R,775,R,134,R,641,R,4,R,1,R,3,R,6,R,1,R,5,R,26,R,10,R,16,R,23,R,6,R,17,R,1,R,0,R,1,R,695,R,109,R,586,R,18,R,7,R,11,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,112,13.0000,99,3,12,R,727,R,201,R,526,R,2,Z,0,R,2,R,7,Z,0,R,7,R,156,R,54,R,102,R,19,R,7,R,12,Z,0,Z,0,Z,0,R,497,R,131,R,366,R,19,R,3,R,16,R,1,R,1,Z,0,R,26,R,5,R,21
2022,100858,119,13.0000,99,3,19,R,50,R,10,R,40,R,1,R,1,R,0,R,1,R,0,R,1,R,4,R,2,R,2,R,0,R,0,R,0,R,1,R,0,R,1,R,43,R,7,R,36,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,120,13.0000,99,3,20,R,725,R,124,R,601,R,3,R,0,R,3,R,5,R,1,R,4,R,22,R,8,R,14,R,23,R,6,R,17,R,0,R,0,R,0,R,652,R,102,R,550,R,18,R,7,R,11,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,121,13.0000,14,1,21,R,1139,R,201,R,938,R,5,R,1,R,4,R,10,R,1,R,9,R,70,R,24,R,46,R,31,R,7,R,24,R,1,R,0,R,1,R,964,R,155,R,809,R,29,R,7,R,22,R,1,R,1,R,0,R,28,R,5,R,23
2022,100858,122,13.0000, 8,1,22,R,871,R,135,R,736,R,4,R,1,R,3,R,8,R,1,R,7,R,24,R,10,R,14,R,28,R,5,R,23,R,1,R,0,R,1,R,783,R,112,R,671,R,21,R,6,R,15,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,123,13.0000, 6,1,23,R,871,R,135,R,736,R,4,R,1,R,3,R,8,R,1,R,7,R,24,R,10,R,14,R,28,R,5,R,23,R,1,R,0,R,1,R,783,R,112,R,671,R,21,R,6,R,15,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,124,13.0000, 1,1,24,R,133,R,13,R,120,R,0,R,0,R,0,R,2,R,0,R,2,R,2,R,2,R,0,R,6,R,0,R,6,R,0,R,0,R,0,R,119,R,11,R,108,R,4,R,0,R,4,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,125,13.0000,99,1,25,R,738,R,122,R,616,R,4,R,1,R,3,R,6,R,1,R,5,R,22,R,8,R,14,R,22,R,5,R,17,R,1,R,0,R,1,R,664,R,101,R,563,R,17,R,6,R,11,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,132,13.0000,11,1,32,R,268,R,66,R,202,R,1,Z,0,R,1,R,2,Z,0,R,2,R,46,R,14,R,32,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,181,R,43,R,138,R,8,R,1,R,7,R,1,R,1,Z,0,R,26,R,5,R,21
2022,100858,139,13.0000, 2,1,39,R,41,R,7,R,34,R,1,R,1,R,0,R,1,R,0,R,1,R,4,R,2,R,2,R,0,R,0,R,0,R,1,R,0,R,1,R,34,R,4,R,30,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,140,13.0000, 3,1,40,R,697,R,115,R,582,R,3,R,0,R,3,R,5,R,1,R,4,R,18,R,6,R,12,R,22,R,5,R,17,R,0,R,0,R,0,R,630,R,97,R,533,R,17,R,6,R,11,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,141,13.0000,28,2,41,R,496,R,147,R,349,R,1,R,0,R,1,R,5,R,0,R,5,R,114,R,42,R,72,R,17,R,6,R,11,R,0,R,0,R,0,R,347,R,96,R,251,R,12,R,3,R,9,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,142,13.0000,22,2,42,R,37,R,12,R,25,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,2,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,31,R,8,R,23,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,143,13.0000,20,2,43,R,37,R,12,R,25,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,2,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,31,R,8,R,23,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,145,13.0000,99,2,45,R,37,R,12,R,25,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,2,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,31,R,8,R,23,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,152,13.0000,25,2,52,R,459,R,135,R,324,R,1,Z,0,R,1,R,5,Z,0,R,5,R,110,R,40,R,70,R,16,R,5,R,11,Z,0,Z,0,Z,0,R,316,R,88,R,228,R,11,R,2,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,100858,159,13.0000,16,2,59,R,9,R,3,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9,R,3,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,160,13.0000,17,2,60,R,28,R,9,R,19,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,2,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,22,R,5,R,17,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,201,14.0000,29,3, 1,R,5910,R,4620,R,1290,R,11,R,8,R,3,R,234,R,164,R,70,R,227,R,141,R,86,R,221,R,168,R,53,R,3,R,1,R,2,R,4374,R,3496,R,878,R,149,R,107,R,42,R,26,R,20,R,6,R,665,R,515,R,150
2022,100858,202,14.0000,99,3, 2,R,4810,R,3798,R,1012,R,11,R,8,R,3,R,181,R,127,R,54,R,190,R,116,R,74,R,188,R,145,R,43,R,2,R,1,R,1,R,3918,R,3143,R,775,R,139,R,99,R,40,R,20,R,15,R,5,R,161,R,144,R,17
2022,100858,203,14.0000,99,3, 3,R,4810,R,3798,R,1012,R,11,R,8,R,3,R,181,R,127,R,54,R,190,R,116,R,74,R,188,R,145,R,43,R,2,R,1,R,1,R,3918,R,3143,R,775,R,139,R,99,R,40,R,20,R,15,R,5,R,161,R,144,R,17
2022,100858,204,14.0000,99,3, 4,R,1169,R,904,R,265,R,0,R,0,R,0,R,62,R,41,R,21,R,36,R,19,R,17,R,42,R,35,R,7,R,1,R,1,R,0,R,968,R,758,R,210,R,42,R,36,R,6,R,7,R,5,R,2,R,11,R,9,R,2
2022,100858,205,14.0000,99,3, 5,R,3641,R,2894,R,747,R,11,R,8,R,3,R,119,R,86,R,33,R,154,R,97,R,57,R,146,R,110,R,36,R,1,R,0,R,1,R,2950,R,2385,R,565,R,97,R,63,R,34,R,13,R,10,R,3,R,150,R,135,R,15
2022,100858,212,14.0000,99,3,12,R,1100,R,822,R,278,Z,0,Z,0,Z,0,R,53,R,37,R,16,R,37,R,25,R,12,R,33,R,23,R,10,R,1,Z,0,R,1,R,456,R,353,R,103,R,10,R,8,R,2,R,6,R,5,R,1,R,504,R,371,R,133
2022,100858,219,14.0000,99,3,19,R,148,R,127,R,21,R,1,R,0,R,1,R,3,R,3,R,0,R,9,R,7,R,2,R,5,R,3,R,2,R,0,R,0,R,0,R,120,R,104,R,16,R,2,R,2,R,0,R,2,R,2,R,0,R,6,R,6,R,0
2022,100858,220,14.0000,99,3,20,R,3493,R,2767,R,726,R,10,R,8,R,2,R,116,R,83,R,33,R,145,R,90,R,55,R,141,R,107,R,34,R,1,R,0,R,1,R,2830,R,2281,R,549,R,95,R,61,R,34,R,11,R,8,R,3,R,144,R,129,R,15
2022,100858,221,14.0000,14,1,21,R,4996,R,3892,R,1104,R,7,R,4,R,3,R,168,R,115,R,53,R,184,R,113,R,71,R,180,R,140,R,40,R,1,R,1,R,0,R,3687,R,2930,R,757,R,128,R,93,R,35,R,20,R,15,R,5,R,621,R,481,R,140
2022,100858,222,14.0000, 8,1,22,R,4369,R,3429,R,940,R,7,R,4,R,3,R,156,R,108,R,48,R,171,R,102,R,69,R,171,R,133,R,38,R,1,R,1,R,0,R,3566,R,2840,R,726,R,127,R,92,R,35,R,19,R,14,R,5,R,151,R,135,R,16
2022,100858,223,14.0000, 6,1,23,R,4369,R,3429,R,940,R,7,R,4,R,3,R,156,R,108,R,48,R,171,R,102,R,69,R,171,R,133,R,38,R,1,R,1,R,0,R,3566,R,2840,R,726,R,127,R,92,R,35,R,19,R,14,R,5,R,151,R,135,R,16
2022,100858,224,14.0000, 1,1,24,R,1164,R,901,R,263,R,0,R,0,R,0,R,61,R,41,R,20,R,36,R,19,R,17,R,42,R,35,R,7,R,1,R,1,R,0,R,964,R,755,R,209,R,42,R,36,R,6,R,7,R,5,R,2,R,11,R,9,R,2
2022,100858,225,14.0000,99,1,25,R,3205,R,2528,R,677,R,7,R,4,R,3,R,95,R,67,R,28,R,135,R,83,R,52,R,129,R,98,R,31,R,0,R,0,R,0,R,2602,R,2085,R,517,R,85,R,56,R,29,R,12,R,9,R,3,R,140,R,126,R,14
2022,100858,232,14.0000,11,1,32,R,627,R,463,R,164,Z,0,Z,0,Z,0,R,12,R,7,R,5,R,13,R,11,R,2,R,9,R,7,R,2,Z,0,Z,0,Z,0,R,121,R,90,R,31,R,1,R,1,Z,0,R,1,R,1,Z,0,R,470,R,346,R,124
2022,100858,239,14.0000, 2,1,39,R,125,R,104,R,21,R,1,R,0,R,1,R,2,R,2,R,0,R,9,R,7,R,2,R,4,R,2,R,2,R,0,R,0,R,0,R,99,R,83,R,16,R,2,R,2,R,0,R,2,R,2,R,0,R,6,R,6,R,0
2022,100858,240,14.0000, 3,1,40,R,3080,R,2424,R,656,R,6,R,4,R,2,R,93,R,65,R,28,R,126,R,76,R,50,R,125,R,96,R,29,R,0,R,0,R,0,R,2503,R,2002,R,501,R,83,R,54,R,29,R,10,R,7,R,3,R,134,R,120,R,14
2022,100858,241,14.0000,28,2,41,R,914,R,728,R,186,R,4,R,4,R,0,R,66,R,49,R,17,R,43,R,28,R,15,R,41,R,28,R,13,R,2,R,0,R,2,R,687,R,566,R,121,R,21,R,14,R,7,R,6,R,5,R,1,R,44,R,34,R,10
2022,100858,242,14.0000,22,2,42,R,441,R,369,R,72,R,4,R,4,R,0,R,25,R,19,R,6,R,19,R,14,R,5,R,17,R,12,R,5,R,1,R,0,R,1,R,352,R,303,R,49,R,12,R,7,R,5,R,1,R,1,R,0,R,10,R,9,R,1
2022,100858,243,14.0000,20,2,43,R,441,R,369,R,72,R,4,R,4,R,0,R,25,R,19,R,6,R,19,R,14,R,5,R,17,R,12,R,5,R,1,R,0,R,1,R,352,R,303,R,49,R,12,R,7,R,5,R,1,R,1,R,0,R,10,R,9,R,1
2022,100858,244,14.0000,15,2,44,R,5,R,3,R,2,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,3,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,100858,245,14.0000,99,2,45,R,436,R,366,R,70,R,4,R,4,R,0,R,24,R,19,R,5,R,19,R,14,R,5,R,17,R,12,R,5,R,1,R,0,R,1,R,348,R,300,R,48,R,12,R,7,R,5,R,1,R,1,R,0,R,10,R,9,R,1
2022,100858,252,14.0000,25,2,52,R,473,R,359,R,114,Z,0,Z,0,Z,0,R,41,R,30,R,11,R,24,R,14,R,10,R,24,R,16,R,8,R,1,Z,0,R,1,R,335,R,263,R,72,R,9,R,7,R,2,R,5,R,4,R,1,R,34,R,25,R,9
2022,100858,259,14.0000,16,2,59,R,23,R,23,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,21,R,21,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
