year,UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
2019,100858,R,4761,R,6071,R,78,R,4744,R,10,R,0,R,4734,R,4325,R,91,R,39,R,0,R,0,R,39,R,22,R,56,R,20
2019,110404,R,235,R,241,R,98,R,231,R,1,Z,0,R,230,R,226,R,98,A,,A,,A,,A,,A,,A,,R,3
2019,110635,R,6422,R,9026,R,71,R,5980,R,0,R,0,R,5980,R,5797,R,97,R,32,R,0,R,0,R,32,R,23,R,72,R,19
2019,110644,R,5896,R,9083,R,65,R,6296,R,0,R,0,R,6296,R,5817,R,92,R,97,R,0,R,0,R,97,R,75,R,77,R,20
2019,110653,R,6053,R,9186,R,66,R,5779,R,0,R,0,R,5779,R,5425,R,94,R,14,R,0,R,0,R,14,R,11,R,79,R,18
2019,110662,R,5908,R,9209,R,64,R,6233,R,0,R,0,R,6233,R,6015,R,97,R,7,R,0,R,0,R,7,R,6,R,86,R,18
2019,110671,R,4743,R,6760,R,70,R,4530,R,0,R,0,R,4530,R,4057,R,90,R,5,R,0,R,0,R,5,R,2,R,40,R,22
2019,110680,R,6011,R,9190,R,65,R,6701,R,0,R,0,R,6701,R,6261,R,93,R,6,R,0,R,0,R,6,R,5,R,83,R,19
2019,110705,R,4928,R,7062,R,70,R,5084,R,0,R,0,R,5084,R,4672,R,92,R,10,R,0,R,0,R,10,R,7,R,70,R,18
2019,110714,R,3700,R,5194,R,71,R,3682,R,0,R,0,R,3682,R,3264,R,89,R,13,R,0,R,0,R,13,R,5,R,38,R,25
2019,121150,R,724,R,864,R,84,R,800,R,1,Z,0,R,799,R,727,R,91,R,3,Z,0,Z,0,R,3,R,2,R,67,R,13
2019,122931,R,1388,R,1589,R,87,R,1390,R,0,R,0,R,1390,R,1308,R,94,R,1,R,0,R,0,R,1,R,0,R,0,R,10
2019,123961,R,3165,R,4909,R,64,R,3399,R,0,Z,0,R,3399,R,3277,R,96,R,2,R,0,Z,0,R,2,R,2,R,100,R,9
2019,126614,R,7038,R,8814,R,80,R,6613,R,0,R,0,R,6613,R,5741,R,87,R,75,R,0,R,0,R,75,R,44,R,59,R,18
2019,126775,R,1279,R,1511,R,85,R,1196,R,0,R,0,R,1196,R,1099,R,92,R,2,R,0,R,0,R,2,R,2,R,100,R,15
2019,129020,R,3600,R,4466,R,81,R,3700,R,4,Z,0,R,3696,R,3458,R,94,R,11,Z,0,Z,0,R,11,R,4,R,36,R,16
2019,130794,R,1550,R,1574,R,98,R,1573,Z,0,Z,0,R,1573,R,1556,R,99,A,,A,,A,,A,,A,,A,,R,6
2019,130943,R,4604,R,5174,R,89,R,4242,R,0,R,0,R,4242,R,3868,R,91,R,6,R,0,R,0,R,6,R,3,R,50,R,15
2019,131159,R,1753,R,2567,R,68,R,1752,R,0,R,0,R,1752,R,1519,R,87,R,6,R,0,R,0,R,6,R,4,R,67,R,11
2019,131469,R,2609,R,3520,R,74,R,2838,R,1,Z,0,R,2837,R,2611,R,92,R,7,Z,0,Z,0,R,7,R,5,R,71,R,13
2019,131496,R,1579,R,1834,R,86,R,1618,R,0,R,0,R,1618,R,1566,R,97,R,3,R,0,R,0,R,3,R,2,R,67,R,11
2019,131520,R,1920,R,2170,R,88,R,1498,R,0,R,0,R,1498,R,1293,R,86,R,3,R,0,R,0,R,3,R,2,R,67,R,10
2019,133951,R,3306,R,15127,R,22,R,3942,Z,0,Z,0,R,3942,R,3514,R,89,R,499,Z,0,Z,0,R,499,R,392,R,79,R,27
2019,134097,R,7056,R,9536,R,74,R,6259,R,1,R,0,R,6258,R,5816,R,93,R,65,R,0,R,0,R,65,R,54,R,83,R,21
2019,134130,R,6507,R,8866,R,73,R,6758,R,0,R,0,R,6758,R,6530,R,97,R,34,R,0,R,0,R,34,R,28,R,82,R,17
2019,135726,R,2180,R,2956,R,74,R,2342,R,1,R,0,R,2341,R,2173,R,93,R,25,R,0,R,0,R,25,R,22,R,88,R,12
2019,137351,R,5050,R,9134,R,55,R,4334,R,2,R,0,R,4332,R,3958,R,91,R,100,R,1,R,0,R,99,R,74,R,75,R,23
2019,139658,R,1374,R,2121,R,65,R,1429,R,8,R,0,R,1421,R,1356,R,95,R,2,R,0,R,0,R,2,R,1,R,50,R,9
2019,139755,R,3073,R,4499,R,68,R,3115,R,0,R,0,R,3115,R,3029,R,97,R,1,R,0,R,0,R,1,R,1,R,100,R,19
2019,139959,R,5487,R,7051,R,78,R,5703,R,0,R,0,R,5703,R,5447,R,96,R,24,R,0,R,0,R,24,R,23,R,96,R,17
2019,144050,R,1725,R,1837,R,94,R,1809,R,4,R,0,R,1805,R,1788,R,99,A,,A,,A,,A,,A,,A,,R,5
2019,145600,R,4381,R,6738,R,65,R,4109,R,1,R,0,R,4108,R,3253,R,79,R,50,R,0,R,0,R,50,R,22,R,44,R,18
2019,145637,R,7660,R,10023,R,76,R,7600,R,3,R,0,R,7597,R,7056,R,93,R,9,R,0,R,0,R,9,R,6,R,67,R,20
2019,147767,R,2006,R,2306,R,87,R,1931,R,2,R,0,R,1929,R,1894,R,98,A,,A,,A,,A,,A,,A,,R,6
2019,151351,R,8268,R,9157,R,90,R,8058,R,2,R,0,R,8056,R,7263,R,90,R,39,R,0,R,0,R,39,R,34,R,87,R,16
