year,UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   ,F1MHOP,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07   
1819,100858,R,516461513,R,1719254295,R,1268962620,R,2988216915,R,3504678428,R,232032672,R,37277185,R,415688402,R,452965587,R,860684303,R,1040507548,R,1901191851,R,2354157438,R,100666165,R,1272759802,R,212011420,R,24618360,R,-227502085,R,1281887497,R,174676624,R,272598548,R,1971078843,R,449402807,R,68031058,R,2935787880,R,1099281070,R,0,R,2940827,R,1228397373,R,1153118880,R,75278493,R,1206609004,R,0,R,1281887497,R,480777264,R,98506595,R,13493197,R,19952982,R,2561362,R,17391620,R,151420556,R,0,R,48772088,R,0,R,27647088,R,840569770,R,0,R,247330016,R,0,R,16750081,R,0,R,0,R,48032814,R,60141061,R,0,R,372253972,R,1212823742,R,0,R,15125719,R,447912,R,0,R,15573631,R,1228397373,R,252146479,R,135023134,R,208187924,R,107060002,R,108466171,R,49444159,R,134846851,R,82150003,R,40706539,R,19937732,R,89204046,R,59227365,R,20255248,R,203571422,R,55360689,R,0,R,0,R,0,R,0,R,95734200,R,0,R,1153118880,R,508203084,R,194293333,R,114819487,R,73940389,R,31231115,R,230631472,1 ,R,65652113,R,629089245,R,62730900,R,134051571,R,30082087,R,353758139,R,37745403,R,54345357,R,16750081,R,870225,R,0,R,0,R,55031173,R,77561811,R,150213290,R,122580580,R,7377462,R,129958042,R,20255248,1 ,R,771403829,R,774534709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110635,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,968549000,R,381590000,R,74391000,R,223402000,R,15070000,R,208332000,R,197239000,Z,0,R,91000000,Z,0,R,86872000,R,2023043000,Z,0,R,441109000,Z,0,R,44007292,Z,0,Z,0,R,318866000,R,146385000,R,23858708,R,974226000,R,2997269000,Z,0,R,29354000,Z,0,R,5084000,R,34438000,R,3031707000,R,853739757,R,512842105,R,662825751,R,297175204,R,86855239,R,39197232,R,182519520,R,85401927,R,253749677,R,102079582,R,293031174,R,186456533,R,161438187,R,267060427,R,71335833,Z,0,Z,0,Z,0,Z,0,R,144041268,R,0,R,2905261000,R,1294488416,R,461169232,R,101683477,R,235967000,R,100473000,R,711479875,1 ,R,103654000,Z,0,Z,0,Z,0,R,17694000,Z,0,Z,0,R,7187000,R,44007292,R,34664711,R,284264,R,139221,R,90336941,R,231333253,R,400765682,R,204746369,R,34581126,R,239327495,R,161438187,1 ,R,1999056000,R,2143756000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110644,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,695034000,R,432418000,R,141810000,R,164920000,R,15124000,R,149796000,R,118448000,R,2329217000,R,471309000,Z,0,R,65119000,R,4418275000,Z,0,R,428760000,Z,0,R,58240000,Z,0,Z,0,R,75782000,R,109821000,R,15852000,R,688455000,R,5106730000,Z,0,R,22654000,Z,0,R,0,R,22654000,R,5129384000,R,884808691,R,716832247,R,634574456,R,296681144,R,98554549,R,45931911,R,304287028,R,137380635,R,156069370,R,62304134,R,187998659,R,160523193,R,105725446,R,165758562,R,46037777,R,2034186375,R,947156529,Z,0,Z,0,R,1033523864,R,0,R,5605487000,R,2412847570,R,1059941404,R,112032656,R,238252000,R,57644000,R,1724769370,1 ,R,438271000,R,1151862000,R,17748000,R,435934000,R,115382000,R,1268189000,R,391069000,R,311074000,R,58239926,R,11908115,R,18503549,R,31711,R,19495144,R,189612008,R,297790453,R,160439597,R,31625410,R,192065007,R,105725446,1 ,R,442615000,R,477813000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110653,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,631541000,R,226767000,R,17013000,R,89159000,R,3353000,R,85806000,R,275114000,R,1278931000,R,351184000,Z,0,R,36431000,R,2906140000,Z,0,R,339672000,Z,0,R,62337000,Z,0,Z,0,R,59127000,R,51315000,R,11157000,R,523608000,R,3429748000,Z,0,R,44855000,Z,0,R,0,R,44855000,R,3474603000,R,783267762,R,547861962,R,338664617,R,148650168,R,16500438,R,5222835,R,218848095,R,169838010,R,127228576,R,57993066,R,97437590,R,87760548,R,92258962,R,251527781,R,38535144,R,1085564455,R,428628116,Z,0,Z,0,R,307857724,R,0,R,3319156000,R,1484489849,R,547058502,R,64806993,R,216748000,R,84283000,R,921769656,1 ,R,228765000,R,536927000,R,22662000,R,196707000,R,53040000,R,572706000,R,203771000,R,116280000,R,62336703,R,9265920,Z,0,Z,0,R,5489923,R,182521075,R,259613621,R,145991188,R,21363471,R,167354659,R,92258962,1 ,R,452241000,R,483215000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110662,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,929380000,R,629912000,R,67656000,R,351268000,R,75217000,R,276051000,R,470468000,R,2796959000,R,1958943000,Z,0,R,243988000,R,7448574000,Z,0,R,493091000,Z,0,R,55735000,Z,0,Z,0,R,366761000,R,135000000,R,38062000,R,1088649000,R,8537223000,Z,0,R,20600000,Z,0,R,0,R,20600000,R,8557823000,R,2504008515,R,1530223645,R,926464931,R,416832260,R,154978655,R,71915534,R,860321887,R,451837602,R,202502300,R,65198076,R,245009192,R,192272138,R,157685701,R,593137012,R,187690360,R,2496258013,R,1054073706,Z,0,Z,0,R,482954794,R,0,R,8623321000,R,3970043321,R,1500819100,R,106339147,R,407185000,R,132763000,R,2506171432,1 ,R,243805000,R,1245807000,R,27002000,R,465376000,R,71640000,R,1358829000,R,519022000,R,328642000,R,55734691,R,25925048,R,3699751,R,370706,R,67275607,R,270097761,R,423103564,R,215105914,R,50311949,R,265417863,R,157685701,1 ,R,2125752000,R,2255362000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110671,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,305806000,R,90835000,R,13810000,R,36266000,R,2829000,R,33437000,R,73352000,Z,0,R,39567000,Z,0,R,41758000,R,601394000,Z,0,R,276073000,Z,0,R,58428465,Z,0,Z,0,R,16511000,R,23832000,R,565535,R,375410000,R,976804000,Z,0,R,1153000,Z,0,R,0,R,1153000,R,977957000,R,377629373,R,230697064,R,155862036,R,70871141,R,12497405,R,4146436,R,60375862,R,27949516,R,106566964,R,40188420,R,79257579,R,64809924,R,60040941,R,134221488,R,25454850,Z,0,Z,0,Z,0,Z,0,R,42296352,R,0,R,1028748000,R,464117351,R,173914293,R,45032946,R,73860000,R,29339000,R,242484410,1 ,R,1927000,Z,0,Z,0,Z,0,R,5000,Z,0,Z,0,R,268000,R,58428465,R,6113658,R,6332917,R,28313,R,4632397,R,122287191,R,197822941,R,110055000,R,27727000,R,137782000,R,60040941,1 ,R,172110000,R,176554000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110680,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,729272000,R,741252000,R,54667000,R,285377000,R,16239000,R,269138000,R,199397000,R,2052067000,R,738433000,Z,0,R,91376000,R,4891841000,Z,0,R,359207000,Z,0,R,58221121,Z,0,Z,0,R,115872000,R,60462000,R,8722879,R,602485000,R,5494326000,Z,0,R,12299000,Z,0,R,408880000,R,421179000,R,5915505000,R,809309567,R,804776374,R,911718774,R,404946573,R,22839771,R,9857085,R,764142115,R,269805841,R,150522491,R,56418403,R,224689773,R,193680157,R,76158282,R,326013470,R,66070343,R,1891374989,R,737712081,Z,0,Z,0,R,525389768,R,0,R,5702159000,R,2543266857,R,1000275923,R,95368429,R,308448000,R,112075000,R,1642724791,1 ,R,406598000,R,844319000,R,5831000,R,354038000,R,113541000,R,932379000,R,278510000,R,321525000,R,58221121,R,21166460,R,1895986,Z,0,R,16374591,R,167468968,R,265127126,R,148340014,R,40628830,R,188968844,R,76158282,1 ,R,745690000,R,799390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110705,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,469129000,R,126531000,R,9666000,R,62424000,R,1698000,R,60726000,R,153596000,Z,0,R,9190000,Z,0,R,45524000,R,876060000,Z,0,R,242810000,Z,0,R,44927112,Z,0,Z,0,R,105523000,R,23399000,R,19888,R,416679000,R,1292739000,Z,0,Z,0,Z,0,R,0,R,0,R,1292739000,R,378328684,R,238613830,R,212371726,R,93327429,R,16068684,R,5349527,R,87632538,R,41540584,R,111823431,R,54426237,R,87300634,R,53269112,R,96517968,R,190536409,R,54987565,Z,0,Z,0,Z,0,Z,0,R,49186926,R,0,R,1229767000,R,541514284,R,197320693,R,54019699,R,86905000,R,37441000,R,312566324,1 ,R,13243000,Z,0,Z,0,Z,0,R,1876000,Z,0,Z,0,Z,0,R,44927112,R,7092975,R,14056052,Z,0,R,11641914,R,105844766,R,183562819,R,87044851,Z,0,R,87044851,R,96517968,1 ,R,214006000,R,251550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,110714,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,295335000,R,76677000,R,9005000,R,29344000,R,2082000,R,27262000,R,119093000,Z,0,R,34680000,Z,0,R,19558000,R,583692000,Z,0,R,211081000,Z,0,R,31621000,Z,0,Z,0,R,15237000,R,18438000,R,493000,R,276870000,R,860562000,Z,0,R,351000,Z,0,R,0,R,351000,R,860913000,R,207302849,R,144773970,R,124678550,R,55247011,R,44232572,R,14909526,R,52626770,R,27893958,R,99178784,R,35886527,R,61424819,R,54323935,R,46218635,R,165909573,R,37867841,Z,0,Z,0,Z,0,Z,0,R,134774448,R,0,R,936347000,R,370902768,R,131276855,R,41458468,R,64194000,R,22965000,R,305549909,1 ,R,43859000,Z,0,Z,0,Z,0,R,7920000,Z,0,Z,0,Z,0,R,31620563,R,4228485,R,14457001,Z,0,R,3222043,R,98668919,R,152197011,R,79312463,R,26665913,R,105978376,R,46218635,1 ,R,103886000,R,110406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,126614,R,936403093,R,1758396361,R,419072284,R,2177468645,R,3113871738,R,51008855,R,56574348,R,334718347,R,391292695,R,758140054,R,454220293,R,1212360347,R,1603653042,R,42237733,R,1250018745,R,174098043,Z,0,R,94873030,R,1518989818,R,196219006,R,0,R,2369166030,R,647147201,R,348416524,R,3560948761,R,1408340517,R,0,R,0,R,1760706962,R,1702032683,R,58674279,R,1572779924,R,-112464385,R,1518989818,R,703950757,R,422684758,R,58057653,R,79829862,R,2489708,R,77340154,R,248985614,R,0,R,40339527,R,0,R,22872601,R,1576720772,R,0,R,0,R,0,R,23282819,R,0,R,0,R,85769593,R,3446669,R,12261014,R,124760095,R,1701480867,R,1612242,R,10689539,R,0,R,46924314,R,59226095,R,1760706962,R,607748280,R,315851452,R,434258834,R,178330591,R,17656233,R,6413506,R,148215565,R,80575391,R,67775271,R,30394936,R,136500816,R,51050716,R,15405183,R,273364808,R,80631714,R,0,R,0,R,0,R,0,R,1107693,R,0,R,1702032683,R,743248306,R,288901262,R,90964951,R,110606043,R,36613851,R,431698270,2 ,A,,A,,A,,A,,A,,A,,A,,A,,R,23282819,R,5707822,R,7667888,R,2169,R,17265528,R,96816667,R,150742893,R,130375562,R,4962148,R,135337710,R,15405183,2 ,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
