year,UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02   ,XF2C12,F2C12,XF2C121,F2C121,XF2C122,F2C122,XF2C13,F2C13,XF2C131,F2C131,XF2C132,F2C132,XF2C14,F2C14,XF2C141,F2C141,XF2C142,F2C142,XF2C15,F2C15,XF2C151,F2C151,XF2C152,F2C152,XF2C16,F2C16,XF2C161,F2C161,XF2C162,F2C162,XF2C17,F2C17,XF2C171,F2C171,XF2C172,F2C172,F2H02,XF2H03,F2H03,XF2H03A,F2H03A,XF2H03B,F2H03B,XF2H03C,F2H03C,XF2H03D,F2H03D,XF2I01,F2I01,XF2I02,F2I02,XF2I03,F2I03,XF2I04,F2I04,XF2I05,F2I05,XF2I06,F2I06,XF2I07,F2I07   
1819,110404,R,3426502000,R,1070767000,R,0,R,5596206000,R,2401332000,R,866412000,R,486982000,R,2707892000,R,1831436000,R,876456000,R,3194874000,R,73256000,R,1271906000,R,600825000,R,193459000,R,0,R,2139446000,R,1068679000,R,3473863000,R,3462003872,R,-23016128,R,-11157000,R,3206030000,R,1000,R,3194874000,R,552000,R,6806000,R,164000,R,0,R,28405000,R,35700000,R,71627000,R,71075000,R,0,R,71075000,R,44379000,R,44379000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,317539000,R,317539000,R,0,R,0,R,164000,R,164000,R,0,R,0,R,0,R,0,R,0,R,0,R,170382000,R,73277000,R,58100000,R,39005000,R,131753000,R,34648000,R,58100000,R,39005000,R,38629000,R,38629000,R,0,R,0,R,0,R,0,R,0,R,0,R,157526000,R,23930000,R,61851000,R,71745000,R,0,R,0,R,50363000,R,50363000,R,0,R,0,R,2744953000,R,2744953000,R,0,R,0,R,-11443000,R,-17805000,R,6362000,R,0,R,3473863000,R,3236800000,R,126313000,R,110750000,R,0,R,149610000,R,-149610000,Z,0,R,3473863000,R,3386410000,R,-23297000,R,110750000,R,235824596,R,120666629,R,257982335,R,86834310,R,0,R,0,R,44730605,R,23672765,R,25914081,R,11329002,R,86955908,R,45844940,R,39151705,R,9578290,R,0,R,0,R,0,R,2744953336,R,0,R,26491306,R,21666113,R,3462003872,R,319592049,R,74428856,R,0,R,72805000,R,29627577,R,2965550390, 1,R,2907002000,R,2987001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,121150,R,1274057000,R,447788000,R,0,R,1962710000,R,567486000,R,421404000,R,851662000,R,543562000,R,413915000,R,129647000,R,1395224000,R,96936000,R,543187000,R,52484000,R,12808000,R,493000,R,705908000,R,258120000,R,441344000,R,390985000,R,-22985000,R,27374000,R,1367850000,R,0,R,1395224000,R,3556000,R,727000,R,3704000,R,0,R,21862000,R,98579000,R,128428000,R,121168000,R,0,R,121168000,R,264363000,R,264363000,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,3157000,R,3157000,R,0,R,0,R,60000,R,60000,Z,0,Z,0,R,361000,R,361000,Z,0,Z,0,R,30826000,R,13811000,R,9530000,R,7485000,R,28740000,R,13809000,R,7446000,R,7485000,R,2086000,R,2000,R,2084000,R,0,Z,0,Z,0,Z,0,Z,0,R,18141000,R,23783000,R,745000,R,-6387000,R,1520000,R,1520000,R,48146000,R,48146000,R,0,R,0,R,0,R,0,R,0,R,0,R,74770000,R,64106000,R,3506000,R,7158000,R,441344000,R,419307000,R,13781000,R,8256000,R,0,R,6993000,R,-6993000,Z,0,R,441344000,R,426300000,R,6788000,R,8256000,R,104072000,R,59017000,R,3082000,R,1425000,R,20216000,R,2594000,R,79156000,R,27434000,R,66547000,R,23777000,R,84484000,R,38797000,R,33428000,R,5519000,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,R,390985000,R,158563000,R,49059000,R,26780000,R,27560000,R,12953000,R,116070000, 1,R,904142000,R,917550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,122931,R,1207660000,R,937936000,R,0,R,2352075000,R,575164000,R,408181000,R,747949000,R,1028962000,R,346174000,R,682788000,R,1776911000,R,83589000,R,852767000,R,218235000,R,95535000,R,109632000,R,1359758000,R,421822000,R,505496000,R,397074000,R,8000,R,108430000,R,1668481000,R,0,R,1776911000,R,2841000,R,479000,R,4395000,R,0,R,17774000,R,89816000,R,115305000,R,107590000,R,0,R,107590000,R,271180000,R,271180000,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3306000,R,3306000,R,0,R,0,R,306000,R,306000,Z,0,Z,0,R,1030000,R,1030000,Z,0,Z,0,R,101868000,R,6146000,R,77766000,R,17956000,R,100364000,R,4642000,R,77766000,R,17956000,R,1504000,R,1504000,R,0,R,0,R,0,R,0,Z,0,Z,0,R,62887000,R,7025000,R,56193000,R,-331000,R,0,R,0,R,44314000,R,44314000,R,0,R,0,R,0,R,0,Z,0,Z,0,R,20605000,R,18411000,R,1865000,R,329000,R,505496000,R,351718000,R,135824000,R,17954000,R,0,R,0,Z,0,Z,0,R,505496000,R,351718000,R,135824000,R,17954000,R,156072000,R,88234000,R,6049000,R,2135000,R,13175000,R,6593000,R,59069000,R,20452000,R,67400000,R,24097000,R,61494000,R,25871000,R,33815000,R,2296000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,397074000,R,169678000,R,55086000,R,32692000,R,47597000,R,16020000,R,76001000, 1,R,979248000,R,1019760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,123961,R,6351236000,R,4363842000,R,0,R,13139364000,R,3951202000,R,1702215000,R,4279003000,R,4909159000,R,2812402000,R,2096757000,R,9188162000,R,201409000,R,5604531000,R,1161533000,R,253250000,R,0,R,7220723000,R,2856881000,R,5458031000,R,5609162000,R,9181000,R,-141950000,R,9269531000,R,60581000,R,9188162000,R,20557724,R,0,R,0,R,0,R,101768000,R,500770000,R,623095724,R,602538000,R,0,R,602538000,R,1575446000,R,1575446000,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,476313000,R,476313000,R,0,R,0,R,37552000,R,37552000,R,0,R,0,R,19878000,R,19878000,R,0,R,0,R,484078000,R,317164000,R,79334000,R,87580000,R,446762000,R,279848000,R,79334000,R,87580000,R,37316000,R,37316000,R,0,R,0,R,0,R,0,Z,0,Z,0,R,304393000,R,148176000,R,155014000,R,1203000,R,157850000,R,157850000,R,372584000,R,372584000,R,1530555000,R,1530555000,R,359763000,R,359763000,R,0,R,0,R,139619000,R,139619000,R,0,R,0,R,5458031000,R,5134900000,R,234348000,R,88783000,R,0,R,0,R,0,R,0,R,5458031000,R,5134900000,R,234348000,R,88783000,R,2368261114,R,1224434000,R,460820000,R,201605000,R,70507797,R,4692000,R,76391000,R,18932000,R,295378000,R,97005000,R,791502378,R,206602000,R,319107000,R,56239000,R,0,R,1227194711,R,568714000,R,0,R,0,R,0,R,0,R,5609162000,R,2378223000,R,675720000,R,200594000,R,279783000,R,62648000,R,2012194000, 1,R,5544267000,R,5739565000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,130794,R,37060058000,R,5251449000,R,0,R,44428125000,R,12186374000,R,3775372000,R,5892357000,R,26349394000,R,4308367000,R,22041027000,R,32241751000,R,137053000,R,7124734000,R,614278000,R,537296000,R,0,R,8413361000,R,3161912000,R,4517772511,R,3872681139,R,-660455372,R,-15364000,R,32257115000,R,0,R,32241751000,R,5464112,R,29404990,R,736879,R,0,R,16904030,R,396320893,R,448830904,R,343251558,R,0,R,343251558,R,293971856,R,293971856,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,611989000,R,611989000,R,0,R,0,R,31359710,R,31359710,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,807463289,R,212967254,R,594496035,R,0,R,627281999,R,32785964,R,594496035,R,0,R,180181290,R,180181290,R,0,R,0,R,0,R,0,Z,0,Z,0,R,1468349125,R,257480613,R,1210868512,Z,0,R,1045091231,R,1045091231,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,259548300,R,-669484593,R,929032893,R,0,R,4517772511,R,1783375071,R,2734397440,Z,0,R,0,R,1112851000,R,-1112851000,Z,0,R,4517772511,R,2896226071,R,1621546440,R,0,R,939350388,R,447830281,R,574753966,R,220236796,R,78443827,R,10017974,R,1525346182,R,797175807,R,377321254,R,83807729,R,271886177,R,134802781,R,0,R,0,R,105579345,R,0,R,0,R,0,R,0,R,0,R,0,R,3872681139,R,1693871368,R,521361535,R,342883537,R,256124337,R,88627370,R,969812992, 1,R,29444936000,R,30314816000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,130943,R,1833449444,R,1706808506,R,0,R,4042249412,R,1469924633,R,718623497,R,1365973993,R,1206350786,R,455250345,R,751100441,R,2572324779,R,137751257,R,1932603394,R,599642657,R,202421634,Z,0,R,2872418942,R,1165610436,R,1172000982,R,1093586846,R,-17869763,R,60544373,R,2511780407,R,-1,R,2572324779,R,12939535,R,2743430,R,13445734,R,0,R,2536317,R,169335176,R,201000192,R,185078186,R,0,R,185078186,R,455052310,R,455052310,R,0,R,0,R,3122420,R,3122420,R,0,R,0,R,122506886,R,122320320,R,186566,R,0,R,0,R,0,R,0,R,0,R,123311978,R,123311978,R,0,R,0,R,33601261,R,33601261,R,0,R,0,R,0,R,0,R,0,R,0,R,96914189,R,43382255,R,38172215,R,15359719,R,55293334,R,1761400,R,38172215,R,15359719,R,41620855,R,41620855,R,0,R,0,R,12573093,R,9572093,R,0,R,3001000,R,125741419,R,98385478,R,25519576,R,1836365,R,26125774,R,26125774,R,137575582,R,137575582,R,0,R,0,R,0,R,0,R,0,R,0,R,35476070,R,30554419,R,2753479,R,2168172,R,1172000982,R,1083003890,R,66631836,R,22365256,R,0,R,21739773,R,-21739773,R,0,R,1172000982,R,1104743663,R,44892063,R,22365256,R,489597089,R,249022339,R,156712031,R,64195726,R,52083797,R,26382953,R,84701237,R,38298053,R,43779630,R,18562686,R,117893712,R,55394308,R,133417316,R,9412306,R,7705414,R,0,R,0,R,0,R,0,R,7696620,R,0,R,1093586846,R,461268371,R,167869197,R,70075651,R,74304450,R,28772024,R,291297153, 1,R,1413197459,R,1466069934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,131159,R,965178000,R,874567000,R,0,R,2051392000,R,763538000,R,634333000,R,1031556000,R,256298000,R,129393000,R,126905000,R,1287854000,R,51551000,R,1021206000,R,302996000,R,74590000,R,0,R,1450343000,R,575776000,R,670631000,R,626446000,R,0,R,44185000,R,1281986000,R,-38317000,R,1287854000,R,6031000,R,2105000,R,0,R,0,R,11334000,R,151211000,R,170681000,R,163545000,R,0,R,163545000,R,427988000,R,427988000,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,24668000,R,24668000,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,70335000,R,55990000,R,7691000,R,6654000,R,65834000,R,51489000,R,7691000,R,6654000,R,4501000,R,4501000,R,0,R,0,Z,0,Z,0,Z,0,Z,0,R,26023000,R,17753000,R,7323000,R,947000,R,0,R,0,R,108002000,R,108002000,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,13615000,R,13615000,R,0,R,0,R,670631000,R,648016000,R,15014000,R,7601000,R,0,R,0,R,0,R,0,R,670631000,R,648016000,R,15014000,R,7601000,R,216894000,R,99270000,R,66475000,R,39934000,R,30006000,R,10777000,R,73298000,R,37782000,R,55979000,R,25217000,R,89159000,R,48179000,R,94635000,R,5515000,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,R,626446000,R,266674000,R,72645000,R,43641000,R,40513000,R,24823000,R,178150000, 1,R,684065000,R,705027000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,131469,R,2306287000,R,1780440000,R,7945000,R,4748048000,R,2392402000,R,1575143000,R,1668158000,R,687488000,R,294377000,R,393111000,R,2355646000,R,198523000,R,2294245000,R,261578000,R,24766000,R,0,R,2779112000,R,998672000,R,1519761000,R,1533747000,R,0,R,-13986000,R,2395117000,R,-25485000,R,2355646000,R,8551000,R,5476000,R,44000,R,0,R,10846000,R,337109000,R,362026000,R,333821000,R,2384000,R,336205000,R,774143000,R,774143000,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,160672000,R,160672000,R,0,R,0,R,1359000,R,1359000,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,97508000,R,63439000,R,32614000,R,1455000,R,53148000,R,19079000,R,32614000,R,1455000,R,44360000,R,44360000,R,0,R,0,Z,0,Z,0,Z,0,Z,0,R,65107000,R,65955000,R,-432000,R,-416000,Z,0,Z,0,R,119752000,R,119752000,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,301220000,R,301204000,R,0,R,16000,R,1519761000,R,1486524000,R,32182000,R,1055000,R,0,R,54344000,R,-54296000,R,-48000,R,1519761000,R,1540868000,R,-22114000,R,1007000,R,558209000,R,296473000,R,210673000,R,83134000,R,0,R,0,R,204637000,R,96671000,R,107351000,R,47860000,R,130056000,R,65557000,R,91317000,R,4317000,R,17270000,R,0,R,0,R,0,R,0,R,214234000,R,130868000,R,1533747000,R,724880000,R,137091000,R,78291000,R,90372000,R,70593000,R,432520000, 1,R,1798810000,R,1778559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,131496,R,1842891000,R,1077336000,R,0,R,3581321000,R,1858134000,R,1347684000,R,-172666000,R,1895853000,R,1379690000,R,516163000,R,1723187000,R,91672000,R,1752097000,R,102036000,R,42605000,R,73841000,R,2062251000,R,984915000,R,1395067000,R,1472674000,R,0,R,-77607000,R,1800794000,R,0,R,1723187000,R,4845000,R,3350000,R,34000,R,65000,R,25535000,R,187168000,R,220997000,R,162973000,R,49729000,R,212702000,R,648204000,R,648204000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,120763000,R,120763000,R,0,R,0,R,0,R,0,R,0,R,0,R,4290000,R,4290000,R,0,R,0,R,261396000,R,160833000,R,35100000,R,65463000,R,146601000,R,46038000,R,35100000,R,65463000,R,114795000,R,114795000,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,R,38423000,R,38423000,R,140451000,R,140451000,R,0,R,0,R,0,R,0,R,0,R,0,R,181540000,R,203352000,R,-21812000,R,0,R,1395067000,R,1316316000,R,13288000,R,65463000,R,0,R,0,R,0,R,0,R,1395067000,R,1316316000,R,13288000,R,65463000,R,525441000,R,255720000,R,235133000,R,85421000,R,13593000,R,3496000,R,193224000,R,82650000,R,137261000,R,40082000,R,127534000,R,67017000,R,55277000,R,18781000,R,88000,R,0,R,0,R,0,R,0,R,185123000,R,15058000,R,1472674000,R,568225000,R,134550000,R,103554000,R,57819000,R,44395000,R,564131000, 1,R,1769557000,R,1822484000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,131520,R,750622000,R,541698000,R,0,R,1595463000,R,924387000,R,448576000,R,217376000,R,453700000,R,148426000,R,305274000,R,671076000,R,40759000,R,904299000,R,474073000,R,23305000,R,174252000,R,1616688000,R,1074990000,R,935673000,R,850589000,R,-81543000,R,3541000,R,667535000,R,0,R,671076000,R,13818000,R,1882000,R,0,R,0,R,6690000,R,105851000,R,128241000,R,111935000,R,0,R,111935000,R,142365000,R,142365000,R,0,R,0,R,235456000,R,232051000,R,3405000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,48791000,R,48791000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,53579000,R,45798000,R,2930000,R,4851000,R,44353000,R,23782000,R,20044000,R,527000,R,2364000,R,2364000,R,32550000,R,32550000,R,238161000,R,238161000,R,27965000,R,27965000,Z,0,Z,0,R,110089000,R,96618000,R,12607000,R,864000,R,935673000,R,890445000,R,38986000,R,6242000,R,0,R,8276000,R,-8276000,Z,0,R,935673000,R,898721000,R,30710000,R,6242000,R,218158000,R,122571000,R,42925000,R,12858000,R,12495000,R,5352000,R,53599000,R,18020000,R,34090000,R,11572000,R,164356000,R,31109000,R,40043000,R,5981000,R,0,R,247692000,R,133023000,R,32432000,R,13512000,R,4799000,R,2659000,R,850589000,R,356657000,R,81534000,R,59773000,R,47167000,R,27450000,R,278008000, 1,R,688562000,R,692832000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
