year,UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
2022,100858, 2,12,1,1,999,R,4478,R,2125,R,2353,R,7,R,2,R,5,R,106,R,63,R,43,R,252,R,126,R,126,R,162,R,63,R,99,R,4,R,2,R,2,R,3744,R,1769,R,1975,R,129,R,52,R,77,R,5,R,1,R,4,R,69,R,47,R,22
2022,100858, 3,13,1,1,999,R,3616,R,1634,R,1982,R,4,R,1,R,3,R,86,R,46,R,40,R,174,R,81,R,93,R,124,R,46,R,78,R,4,R,2,R,2,R,3076,R,1388,R,1688,R,95,R,36,R,59,R,5,R,1,R,4,R,48,R,33,R,15
2022,100858, 4,20,1,1,999,R,570,R,292,R,278,R,1,R,0,R,1,R,11,R,8,R,3,R,43,R,22,R,21,R,27,R,13,R,14,R,0,R,0,R,0,R,468,R,242,R,226,R,18,R,7,R,11,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858, 6,10,2,2,10 ,R,4487,R,2129,R,2358,R,7,R,2,R,5,R,106,R,63,R,43,R,253,R,126,R,127,R,162,R,63,R,99,R,4,R,2,R,2,R,3750,R,1771,R,1979,R,130,R,53,R,77,R,5,R,1,R,4,R,70,R,48,R,22
2022,100858, 7,11,2,2,45 ,R,9,R,4,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,R,2,R,4,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,1,R,1,R,0
2022,100858, 8,12,2,2,50 ,R,4478,R,2125,R,2353,R,7,R,2,R,5,R,106,R,63,R,43,R,252,R,126,R,126,R,162,R,63,R,99,R,4,R,2,R,2,R,3744,R,1769,R,1975,R,129,R,52,R,77,R,5,R,1,R,4,R,69,R,47,R,22
2022,100858, 9,13,2,2,29A,R,3616,R,1634,R,1982,R,4,R,1,R,3,R,86,R,46,R,40,R,174,R,81,R,93,R,124,R,46,R,78,R,4,R,2,R,2,R,3076,R,1388,R,1688,R,95,R,36,R,59,R,5,R,1,R,4,R,48,R,33,R,15
2022,100858,12,16,2,2,18A,R,3616,R,1634,R,1982,R,4,R,1,R,3,R,86,R,46,R,40,R,174,R,81,R,93,R,124,R,46,R,78,R,4,R,2,R,2,R,3076,R,1388,R,1688,R,95,R,36,R,59,R,5,R,1,R,4,R,48,R,33,R,15
2022,100858,13,17,2,2,19 ,R,2501,R,978,R,1523,R,2,R,0,R,2,R,59,R,29,R,30,R,91,R,36,R,55,R,87,R,25,R,62,R,1,R,0,R,1,R,2160,R,846,R,1314,R,62,R,19,R,43,R,4,R,0,R,4,R,35,R,23,R,12
2022,100858,14,18,2,2,20 ,R,961,R,559,R,402,R,1,R,1,R,0,R,24,R,15,R,9,R,66,R,37,R,29,R,29,R,16,R,13,R,2,R,1,R,1,R,800,R,467,R,333,R,28,R,13,R,15,R,1,R,1,R,0,R,10,R,8,R,2
2022,100858,15,19,2,2,21 ,R,154,R,97,R,57,R,1,R,0,R,1,R,3,R,2,R,1,R,17,R,8,R,9,R,8,R,5,R,3,R,1,R,1,R,0,R,116,R,75,R,41,R,5,R,4,R,1,R,0,R,0,R,0,R,3,R,2,R,1
2022,100858,16,20,2,2,30 ,R,570,R,292,R,278,R,1,R,0,R,1,R,11,R,8,R,3,R,43,R,22,R,21,R,27,R,13,R,14,R,0,R,0,R,0,R,468,R,242,R,226,R,18,R,7,R,11,R,0,R,0,R,0,R,2,R,0,R,2
2022,100858,40,11,1,1,999,R,9,R,4,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,R,2,R,4,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,1,R,1,R,0
2022,100858,41,31,1,1,999,R,41,R,23,R,18,Z,0,Z,0,Z,0,R,4,R,4,R,0,R,9,R,7,R,2,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,22,R,10,R,12,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,100858,42,32,1,1,999,R,251,R,176,R,75,R,2,R,1,R,1,R,5,R,5,R,0,R,26,R,16,R,10,R,8,R,3,R,5,R,0,R,0,R,0,R,178,R,129,R,49,R,13,R,8,R,5,R,0,R,0,R,0,R,19,R,14,R,5
2022,100858,43,31,2,2,22 ,R,41,R,23,R,18,Z,0,Z,0,Z,0,R,4,R,4,R,0,R,9,R,7,R,2,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,22,R,10,R,12,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,100858,44,32,2,2,23 ,R,251,R,176,R,75,R,2,R,1,R,1,R,5,R,5,R,0,R,26,R,16,R,10,R,8,R,3,R,5,R,0,R,0,R,0,R,178,R,129,R,49,R,13,R,8,R,5,R,0,R,0,R,0,R,19,R,14,R,5
2022,110404, 2,12,1,1,999,R,235,R,128,R,107,Z,0,Z,0,Z,0,R,76,R,37,R,39,R,4,R,3,R,1,R,30,R,25,R,5,Z,0,Z,0,Z,0,R,70,R,38,R,32,R,30,R,13,R,17,Z,0,Z,0,Z,0,R,25,R,12,R,13
