year,UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
20,100858,R,3835,R,0,R,3835,R,1908,R,50,R,2979,R,78,R,0,R,3835,R,74,R,25,R,3053,R,80,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110404,R,264,R,1,R,263,R,212,R,81,R,242,R,92,R,0,R,263,R,2,R,0,R,244,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110635,R,4127,R,0,R,4127,R,3074,R,74,R,3772,R,91,R,0,R,4127,R,55,R,16,R,3827,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110644,R,5169,R,2,R,5167,R,3144,R,61,R,4467,R,86,R,0,R,5167,R,82,R,19,R,4549,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110653,R,5065,R,2,R,5063,R,3423,R,68,R,4221,R,83,Z,0,R,5063,R,47,R,14,R,4268,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110662,R,5609,R,3,R,5606,R,4309,R,77,R,5074,R,91,R,0,R,5606,R,61,R,13,R,5135,R,92,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110671,R,4001,R,4,R,3997,R,2191,R,55,R,2979,R,75,R,0,R,3997,R,63,R,12,R,3042,R,76,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110680,R,4573,R,0,R,4573,R,2817,R,62,R,3928,R,86,R,0,R,4573,R,104,R,86,R,4032,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110705,R,4722,R,0,R,4722,R,3216,R,68,R,3865,R,82,Z,0,R,4722,R,71,R,18,R,3936,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,110714,R,3818,R,3,R,3815,R,1874,R,49,R,2841,R,74,R,0,R,3815,R,69,R,5,R,2910,R,76,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,121150,R,787,R,0,R,787,R,574,R,73,R,655,R,83,Z,0,R,787,R,6,R,1,R,661,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,122931,R,1276,R,0,R,1276,R,1072,R,84,R,1155,R,91,R,0,R,1276,R,7,R,1,R,1162,R,91,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,123961,R,3308,R,6,R,3302,R,2534,R,77,R,3035,R,92,R,0,R,3302,R,30,R,8,R,3065,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
