year,UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
2020,100858, 1,R,647,R,1,R,646,R,434,R,0,R,434,R,668,R,0,R,668,R,504,R,0,R,504,R,3237,R,2,R,3235,R,2642,R,0,R,2642,R,4552,R,3,R,4549,R,3580,R,0,R,3580
2020,100858, 2,R,647,R,1,R,646,R,434,R,0,R,434,R,668,R,0,R,668,R,504,R,0,R,504,R,3237,R,2,R,3235,R,2642,R,0,R,2642,R,4552,R,3,R,4549,R,3580,R,0,R,3580
2020,110404, 1,R,37,R,0,R,37,R,34,R,0,R,34,R,3,R,0,R,3,R,2,R,0,R,2,R,186,R,1,R,185,R,170,R,0,R,170,R,226,R,1,R,225,R,206,R,0,R,206
2020,110404, 2,R,37,R,0,R,37,R,34,R,0,R,34,R,3,R,0,R,3,R,2,R,0,R,2,R,186,R,1,R,185,R,170,R,0,R,170,R,226,R,1,R,225,R,206,R,0,R,206
2020,110635, 1,R,1424,R,0,R,1424,R,1265,R,0,R,1265,R,502,R,0,R,502,R,463,R,0,R,463,R,3505,R,0,R,3505,R,3287,R,0,R,3287,R,5431,R,0,R,5431,R,5015,R,0,R,5015
2020,110635, 2,R,1424,Z,0,R,1424,R,1265,R,0,R,1265,R,502,Z,0,R,502,R,463,R,0,R,463,R,3505,Z,0,R,3505,R,3287,R,0,R,3287,R,5431,R,0,R,5431,R,5015,R,0,R,5015
2020,110644, 1,R,2001,R,0,R,2001,R,1651,R,0,R,1651,R,681,R,1,R,680,R,586,R,0,R,586,R,2671,R,1,R,2670,R,2378,R,0,R,2378,R,5353,R,2,R,5351,R,4615,R,0,R,4615
2020,110644, 2,R,2001,R,0,R,2001,R,1651,R,0,R,1651,R,681,R,1,R,680,R,586,R,0,R,586,R,2671,R,1,R,2670,R,2378,R,0,R,2378,R,5353,R,2,R,5351,R,4615,R,0,R,4615
2020,110653, 1,R,2308,R,0,R,2308,R,1914,R,0,R,1914,R,869,R,0,R,869,R,758,R,0,R,758,R,2247,R,4,R,2243,R,1934,R,0,R,1934,R,5424,R,4,R,5420,R,4606,R,0,R,4606
2020,110653, 2,R,2308,R,0,R,2308,R,1914,R,0,R,1914,R,869,R,0,R,869,R,758,R,0,R,758,R,2247,R,4,R,2243,R,1934,R,0,R,1934,R,5424,R,4,R,5420,R,4606,R,0,R,4606
2020,110662, 1,R,1724,R,0,R,1724,R,1521,R,0,R,1521,R,635,R,0,R,635,R,576,R,0,R,576,R,3394,R,4,R,3390,R,3151,R,0,R,3151,R,5753,R,4,R,5749,R,5248,R,0,R,5248
2020,110662, 2,R,1724,R,0,R,1724,R,1521,R,0,R,1521,R,635,R,0,R,635,R,576,R,0,R,576,R,3394,R,4,R,3390,R,3151,R,0,R,3151,R,5753,R,4,R,5749,R,5248,R,0,R,5248
2020,110671, 1,R,2219,R,1,R,2218,R,1706,R,0,R,1706,R,606,R,0,R,606,R,488,R,0,R,488,R,1447,R,0,R,1447,R,1107,R,0,R,1107,R,4272,R,1,R,4271,R,3301,R,0,R,3301
2020,110671, 2,R,2219,R,1,R,2218,R,1706,R,0,R,1706,R,606,R,0,R,606,R,488,R,0,R,488,R,1447,R,0,R,1447,R,1107,R,0,R,1107,R,4272,R,1,R,4271,R,3301,R,0,R,3301
2020,110680, 1,R,1642,R,0,R,1642,R,1380,R,0,R,1380,R,604,R,0,R,604,R,541,R,0,R,541,R,2667,R,0,R,2667,R,2359,R,0,R,2359,R,4913,R,0,R,4913,R,4280,R,0,R,4280
2020,110680, 2,R,1642,Z,0,R,1642,R,1380,R,0,R,1380,R,604,Z,0,R,604,R,541,R,0,R,541,R,2667,Z,0,R,2667,R,2359,R,0,R,2359,R,4913,R,0,R,4913,R,4280,R,0,R,4280
2020,110705, 1,R,1809,R,0,R,1809,R,1467,R,0,R,1467,R,626,R,0,R,626,R,518,R,0,R,518,R,2290,R,0,R,2290,R,1983,R,0,R,1983,R,4725,R,0,R,4725,R,3968,R,0,R,3968
2020,110705, 2,R,1809,Z,0,R,1809,R,1467,R,0,R,1467,R,626,Z,0,R,626,R,518,R,0,R,518,R,2290,Z,0,R,2290,R,1983,R,0,R,1983,R,4725,R,0,R,4725,R,3968,R,0,R,3968
2020,110714, 1,R,1627,R,6,R,1621,R,1200,R,0,R,1200,R,618,R,0,R,618,R,474,R,0,R,474,R,1774,R,5,R,1769,R,1354,R,0,R,1354,R,4019,R,11,R,4008,R,3028,R,0,R,3028
2020,110714, 2,R,1627,R,6,R,1621,R,1200,R,0,R,1200,R,618,R,0,R,618,R,474,R,0,R,474,R,1774,R,5,R,1769,R,1354,R,0,R,1354,R,4019,R,11,R,4008,R,3028,R,0,R,3028
2020,121150, 1,R,101,R,0,R,101,R,90,R,0,R,90,R,195,R,0,R,195,R,181,R,0,R,181,R,359,R,0,R,359,R,309,R,0,R,309,R,655,R,0,R,655,R,580,R,0,R,580
2020,121150, 2,R,101,Z,0,R,101,R,90,R,0,R,90,R,195,Z,0,R,195,R,181,R,0,R,181,R,359,Z,0,R,359,R,309,R,0,R,309,R,655,R,0,R,655,R,580,R,0,R,580
2020,122931, 1,R,143,R,0,R,143,R,130,R,0,R,130,R,201,R,0,R,201,R,181,R,0,R,181,R,974,R,2,R,972,R,899,R,0,R,899,R,1318,R,2,R,1316,R,1210,R,0,R,1210
2020,122931, 2,R,143,R,0,R,143,R,130,R,0,R,130,R,201,R,0,R,201,R,181,R,0,R,181,R,974,R,2,R,972,R,899,R,0,R,899,R,1318,R,2,R,1316,R,1210,R,0,R,1210
2020,123961, 1,R,571,R,1,R,570,R,517,R,0,R,517,R,386,R,0,R,386,R,356,R,0,R,356,R,2136,R,11,R,2125,R,1954,R,0,R,1954,R,3093,R,12,R,3081,R,2827,R,0,R,2827
2020,123961, 2,R,571,R,1,R,570,R,517,R,0,R,517,R,386,R,0,R,386,R,356,R,0,R,356,R,2136,R,11,R,2125,R,1954,R,0,R,1954,R,3093,R,12,R,3081,R,2827,R,0,R,2827
2020,126614, 1,R,954,R,2,R,952,R,628,R,0,R,628,R,840,R,3,R,837,R,603,R,0,R,603,R,4019,R,14,R,4005,R,2968,R,0,R,2968,R,5813,R,19,R,5794,R,4199,R,0,R,4199
2020,126614, 2,R,954,R,2,R,952,R,628,R,0,R,628,R,840,R,3,R,837,R,603,R,0,R,603,R,4019,R,14,R,4005,R,2968,R,0,R,2968,R,5813,R,19,R,5794,R,4199,R,0,R,4199
2020,126775, 1,R,140,R,0,R,140,R,111,R,0,R,111,R,215,R,0,R,215,R,169,R,0,R,169,R,643,R,0,R,643,R,560,R,0,R,560,R,998,R,0,R,998,R,840,R,0,R,840
2020,126775, 2,R,140,Z,0,R,140,R,111,R,0,R,111,R,215,Z,0,R,215,R,169,R,0,R,169,R,643,Z,0,R,643,R,560,R,0,R,560,R,998,R,0,R,998,R,840,R,0,R,840
2020,129020, 1,R,678,R,1,R,677,R,506,R,3,R,509,R,899,R,1,R,898,R,744,R,9,R,753,R,2000,R,4,R,1996,R,1695,R,8,R,1703,R,3577,R,6,R,3571,R,2945,R,20,R,2965
2020,129020, 2,R,669,R,1,R,668,R,506,R,0,R,506,R,888,R,1,R,887,R,744,R,0,R,744,R,1989,R,4,R,1985,R,1695,R,0,R,1695,R,3546,R,6,R,3540,R,2945,R,0,R,2945
2020,129020, 3,R,9,Z,0,R,9,Z,0,R,3,R,3,R,11,Z,0,R,11,Z,0,R,9,R,9,R,11,Z,0,R,11,Z,0,R,8,R,8,R,31,R,0,R,31,R,0,R,20,R,20
2020,130794, 1,R,196,R,0,R,196,R,185,R,0,R,185,R,25,R,0,R,25,R,24,R,0,R,24,R,1139,R,2,R,1137,R,1100,R,0,R,1100,R,1360,R,2,R,1358,R,1309,R,0,R,1309
2020,130794, 2,R,196,R,0,R,196,R,185,R,0,R,185,R,25,R,0,R,25,R,24,R,0,R,24,R,1139,R,2,R,1137,R,1100,R,0,R,1100,R,1360,R,2,R,1358,R,1309,R,0,R,1309
2020,130943, 1,R,715,R,0,R,715,R,434,R,62,R,496,R,1128,R,0,R,1128,R,955,R,1,R,956,R,2663,R,0,R,2663,R,2113,R,152,R,2265,R,4506,R,0,R,4506,R,3502,R,215,R,3717
2020,130943, 2,R,595,Z,0,R,595,R,434,R,0,R,434,R,1127,Z,0,R,1127,R,955,R,0,R,955,R,2443,Z,0,R,2443,R,2113,R,0,R,2113,R,4165,R,0,R,4165,R,3502,R,0,R,3502
2020,130943, 3,R,120,Z,0,R,120,Z,0,R,62,R,62,R,1,Z,0,R,1,Z,0,R,1,R,1,R,220,Z,0,R,220,Z,0,R,152,R,152,R,341,R,0,R,341,R,0,R,215,R,215
2020,131159, 1,R,361,R,0,R,361,R,270,R,0,R,270,R,641,R,0,R,641,R,511,R,0,R,511,R,779,R,0,R,779,R,628,R,0,R,628,R,1781,R,0,R,1781,R,1409,R,0,R,1409
2020,131159, 2,R,361,Z,0,R,361,R,270,R,0,R,270,R,641,Z,0,R,641,R,511,R,0,R,511,R,779,Z,0,R,779,R,628,R,0,R,628,R,1781,R,0,R,1781,R,1409,R,0,R,1409
2020,131469, 1,R,280,R,0,R,280,R,232,R,0,R,232,R,529,R,0,R,529,R,461,R,0,R,461,R,1601,R,3,R,1598,R,1358,R,0,R,1358,R,2410,R,3,R,2407,R,2051,R,0,R,2051
2020,131469, 2,R,280,R,0,R,280,R,232,R,0,R,232,R,529,R,0,R,529,R,461,R,0,R,461,R,1601,R,3,R,1598,R,1358,R,0,R,1358,R,2410,R,3,R,2407,R,2051,R,0,R,2051
2020,131496, 1,R,189,R,0,R,189,R,175,R,0,R,175,R,285,R,0,R,285,R,275,R,0,R,275,R,1101,R,0,R,1101,R,1034,R,0,R,1034,R,1575,R,0,R,1575,R,1484,R,0,R,1484
2020,131496, 2,R,189,Z,0,R,189,R,175,R,0,R,175,R,285,Z,0,R,285,R,275,R,0,R,275,R,1101,Z,0,R,1101,R,1034,R,0,R,1034,R,1575,R,0,R,1575,R,1484,R,0,R,1484
2020,131520, 1,R,703,R,0,R,703,R,414,R,0,R,414,R,300,R,0,R,300,R,193,R,0,R,193,R,464,R,0,R,464,R,332,R,0,R,332,R,1467,R,0,R,1467,R,939,R,0,R,939
2020,131520, 2,R,703,Z,0,R,703,R,414,R,0,R,414,R,300,Z,0,R,300,R,193,R,0,R,193,R,464,Z,0,R,464,R,332,R,0,R,332,R,1467,R,0,R,1467,R,939,R,0,R,939
2020,133951, 1,R,1973,R,12,R,1961,R,1274,R,0,R,1274,R,336,R,5,R,331,R,216,R,0,R,216,R,1473,R,13,R,1460,R,1023,R,0,R,1023,R,3782,R,30,R,3752,R,2513,R,0,R,2513
2020,133951, 2,R,1973,R,12,R,1961,R,1274,R,0,R,1274,R,336,R,5,R,331,R,216,R,0,R,216,R,1473,R,13,R,1460,R,1023,R,0,R,1023,R,3782,R,30,R,3752,R,2513,R,0,R,2513
2020,134097, 1,R,1492,R,2,R,1490,R,1194,R,0,R,1194,R,779,R,0,R,779,R,652,R,0,R,652,R,3800,R,2,R,3798,R,3260,R,0,R,3260,R,6071,R,4,R,6067,R,5106,R,0,R,5106
2020,134097, 2,R,1492,R,2,R,1490,R,1194,R,0,R,1194,R,779,R,0,R,779,R,652,R,0,R,652,R,3800,R,2,R,3798,R,3260,R,0,R,3260,R,6071,R,4,R,6067,R,5106,R,0,R,5106
2020,134130, 1,R,1766,R,3,R,1763,R,1503,R,0,R,1503,R,458,R,1,R,457,R,396,R,0,R,396,R,4262,R,2,R,4260,R,3845,R,0,R,3845,R,6486,R,6,R,6480,R,5744,R,0,R,5744
2020,134130, 2,R,1748,R,3,R,1745,R,1492,R,0,R,1492,R,450,R,1,R,449,R,391,R,0,R,391,R,4175,R,2,R,4173,R,3774,R,0,R,3774,R,6373,R,6,R,6367,R,5657,R,0,R,5657
2020,134130, 3,R,18,Z,0,R,18,R,11,R,0,R,11,R,8,Z,0,R,8,R,5,R,0,R,5,R,87,Z,0,R,87,R,71,R,0,R,71,R,113,R,0,R,113,R,87,R,0,R,87
2020,135726, 1,R,310,R,0,R,310,R,243,R,0,R,243,R,308,R,0,R,308,R,260,R,0,R,260,R,1434,R,0,R,1434,R,1198,R,0,R,1198,R,2052,R,0,R,2052,R,1701,R,0,R,1701
2020,135726, 2,R,310,Z,0,R,310,R,243,R,0,R,243,R,308,Z,0,R,308,R,260,R,0,R,260,R,1434,Z,0,R,1434,R,1198,R,0,R,1198,R,2052,R,0,R,2052,R,1701,R,0,R,1701
2020,137351, 1,R,1683,R,1,R,1682,R,1214,R,0,R,1214,R,976,R,0,R,976,R,690,R,0,R,690,R,1974,R,0,R,1974,R,1508,R,0,R,1508,R,4633,R,1,R,4632,R,3412,R,0,R,3412
2020,137351, 2,R,1683,R,1,R,1682,R,1214,R,0,R,1214,R,976,R,0,R,976,R,690,R,0,R,690,R,1974,R,0,R,1974,R,1508,R,0,R,1508,R,4633,R,1,R,4632,R,3412,R,0,R,3412
2020,139658, 1,R,244,R,0,R,244,R,212,R,0,R,212,R,187,R,0,R,187,R,171,R,0,R,171,R,933,R,7,R,926,R,842,R,0,R,842,R,1364,R,7,R,1357,R,1225,R,0,R,1225
2020,139658, 2,R,244,R,0,R,244,R,212,R,0,R,212,R,187,R,0,R,187,R,171,R,0,R,171,R,933,R,7,R,926,R,842,R,0,R,842,R,1364,R,7,R,1357,R,1225,R,0,R,1225
2020,139755, 1,R,360,R,0,R,360,R,310,R,0,R,310,R,300,R,0,R,300,R,265,R,0,R,265,R,2137,R,8,R,2129,R,1955,R,0,R,1955,R,2797,R,8,R,2789,R,2530,R,0,R,2530
2020,139755, 2,R,360,R,0,R,360,R,310,R,0,R,310,R,300,R,0,R,300,R,265,R,0,R,265,R,2137,R,8,R,2129,R,1955,R,0,R,1955,R,2797,R,8,R,2789,R,2530,R,0,R,2530
2020,139959, 1,R,1049,R,0,R,1049,R,835,R,11,R,846,R,491,R,0,R,491,R,406,R,5,R,411,R,3700,R,0,R,3700,R,3276,R,35,R,3311,R,5240,R,0,R,5240,R,4517,R,51,R,4568
2020,139959, 2,R,1049,Z,0,R,1049,R,835,R,11,R,846,R,491,Z,0,R,491,R,406,R,5,R,411,R,3700,Z,0,R,3700,R,3276,R,35,R,3311,R,5240,R,0,R,5240,R,4517,R,51,R,4568
2020,144050, 1,R,151,R,0,R,151,R,142,R,0,R,142,R,156,R,1,R,155,R,151,R,0,R,151,R,1138,R,0,R,1138,R,1093,R,0,R,1093,R,1445,R,1,R,1444,R,1386,R,0,R,1386
2020,144050, 2,R,151,R,0,R,151,R,142,R,0,R,142,R,156,R,1,R,155,R,151,R,0,R,151,R,1138,R,0,R,1138,R,1093,R,0,R,1093,R,1445,R,1,R,1444,R,1386,R,0,R,1386
2020,145600, 1,R,1664,R,4,R,1660,R,1028,R,0,R,1028,R,532,R,0,R,532,R,344,R,0,R,344,R,815,R,1,R,814,R,536,R,0,R,536,R,3011,R,5,R,3006,R,1908,R,0,R,1908
2020,145600, 2,R,1664,R,4,R,1660,R,1028,R,0,R,1028,R,532,R,0,R,532,R,344,R,0,R,344,R,815,R,1,R,814,R,536,R,0,R,536,R,3011,R,5,R,3006,R,1908,R,0,R,1908
2020,145637, 1,R,1476,R,0,R,1476,R,1186,R,0,R,1186,R,1110,R,1,R,1109,R,940,R,0,R,940,R,4340,R,3,R,4337,R,3841,R,0,R,3841,R,6926,R,4,R,6922,R,5967,R,0,R,5967
2020,145637, 2,R,1476,R,0,R,1476,R,1186,R,0,R,1186,R,1110,R,1,R,1109,R,940,R,0,R,940,R,4340,R,3,R,4337,R,3841,R,0,R,3841,R,6926,R,4,R,6922,R,5967,R,0,R,5967
2020,147767, 1,R,251,R,0,R,251,R,233,R,0,R,233,R,373,R,0,R,373,R,355,R,0,R,355,R,1420,R,3,R,1417,R,1350,R,0,R,1350,R,2044,R,3,R,2041,R,1938,R,0,R,1938
2020,147767, 2,R,251,R,0,R,251,R,233,R,0,R,233,R,373,R,0,R,373,R,355,R,0,R,355,R,1420,R,3,R,1417,R,1350,R,0,R,1350,R,2044,R,3,R,2041,R,1938,R,0,R,1938
2020,151351, 1,R,1416,R,5,R,1411,R,950,R,1,R,951,R,1235,R,1,R,1234,R,963,R,0,R,963,R,5046,R,6,R,5040,R,4218,R,0,R,4218,R,7697,R,12,R,7685,R,6131,R,1,R,6132
2020,151351, 2,R,1413,R,5,R,1408,R,947,R,1,R,948,R,1234,R,1,R,1233,R,962,R,0,R,962,R,5045,R,6,R,5039,R,4217,R,0,R,4217,R,7692,R,12,R,7680,R,6126,R,1,R,6127
2020,151351, 3,R,3,Z,0,R,3,R,3,R,0,R,3,R,1,Z,0,R,1,R,1,R,0,R,1,R,1,Z,0,R,1,R,1,R,0,R,1,R,5,R,0,R,5,R,5,R,0,R,5
2020,152080, 1,R,220,R,0,R,220,R,206,R,0,R,206,R,412,R,1,R,411,R,402,R,0,R,402,R,1379,R,2,R,1377,R,1330,R,0,R,1330,R,2011,R,3,R,2008,R,1938,R,0,R,1938
2020,152080, 2,R,220,R,0,R,220,R,206,R,0,R,206,R,412,R,1,R,411,R,402,R,0,R,402,R,1379,R,2,R,1377,R,1330,R,0,R,1330,R,2011,R,3,R,2008,R,1938,R,0,R,1938
2020,160472, 4,R,28,Z,0,R,28,A,,A,,R,21,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,28,R,0,R,28,A,,A,,R,21
2020,160755, 1,R,160,R,0,R,160,R,124,R,0,R,124,R,258,R,1,R,257,R,208,R,0,R,208,R,1229,R,2,R,1227,R,1078,R,0,R,1078,R,1647,R,3,R,1644,R,1410,R,0,R,1410
2020,160755, 2,R,160,R,0,R,160,R,124,R,0,R,124,R,258,R,1,R,257,R,208,R,0,R,208,R,1229,R,2,R,1227,R,1078,R,0,R,1078,R,1647,R,3,R,1644,R,1410,R,0,R,1410
2020,162928, 1,R,171,R,2,R,169,R,157,R,0,R,157,R,264,R,0,R,264,R,252,R,0,R,252,R,1035,R,5,R,1030,R,972,R,0,R,972,R,1470,R,7,R,1463,R,1381,R,0,R,1381
2020,162928, 2,R,171,R,2,R,169,R,157,R,0,R,157,R,264,R,0,R,264,R,252,R,0,R,252,R,1035,R,5,R,1030,R,972,R,0,R,972,R,1470,R,7,R,1463,R,1381,R,0,R,1381
2020,163286, 1,R,591,R,0,R,591,R,484,R,0,R,484,R,870,R,0,R,870,R,728,R,0,R,728,R,2685,R,2,R,2683,R,2383,R,11,R,2394,R,4146,R,2,R,4144,R,3595,R,11,R,3606
2020,163286, 2,R,591,R,0,R,591,R,484,R,0,R,484,R,870,R,0,R,870,R,728,R,0,R,728,R,2665,R,2,R,2663,R,2377,R,0,R,2377,R,4126,R,2,R,4124,R,3589,R,0,R,3589
2020,163286, 3,R,0,Z,0,R,0,R,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,R,0,R,20,Z,0,R,20,R,6,R,11,R,17,R,20,R,0,R,20,R,6,R,11,R,17
2020,164924, 1,R,273,R,0,R,273,R,249,R,0,R,249,R,520,R,0,R,520,R,479,R,0,R,479,R,1547,R,6,R,1541,R,1412,R,0,R,1412,R,2340,R,6,R,2334,R,2140,R,0,R,2140
2020,164924, 2,R,273,R,0,R,273,R,249,R,0,R,249,R,520,R,0,R,520,R,479,R,0,R,479,R,1547,R,6,R,1541,R,1412,R,0,R,1412,R,2340,R,6,R,2334,R,2140,R,0,R,2140
2020,164988, 1,R,554,R,2,R,552,R,492,R,0,R,492,R,910,R,1,R,909,R,798,R,0,R,798,R,2451,R,11,R,2440,R,2182,R,1,R,2183,R,3915,R,14,R,3901,R,3472,R,1,R,3473
2020,164988, 2,R,554,R,2,R,552,R,492,R,0,R,492,R,910,R,1,R,909,R,798,R,0,R,798,R,2451,R,11,R,2440,R,2182,R,1,R,2183,R,3915,R,14,R,3901,R,3472,R,1,R,3473
2020,165015, 1,R,158,R,0,R,158,R,142,R,0,R,142,R,160,R,0,R,160,R,143,R,0,R,143,R,540,R,4,R,536,R,477,R,0,R,477,R,858,R,4,R,854,R,762,R,0,R,762
2020,165015, 2,R,158,R,0,R,158,R,142,R,0,R,142,R,160,R,0,R,160,R,143,R,0,R,143,R,540,R,4,R,536,R,477,R,0,R,477,R,858,R,4,R,854,R,762,R,0,R,762
