year,UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL1A,LEVEL1B,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,CALSYS,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,OPENADMP,VET1,VET2,VET3,VET4,VET5,VET9,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBRES1,LIBRES2,LIBRES3,LIBRES4,LIBRES5,LIBRES6,LIBRES9,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DSTNUGC,DSTNUGP,DSTNUGN,DSTNGC,DSTNGP,DSTNGN,DISTCRS,DISTPGS,DSTNCED1,DSTNCED2,DSTNCED3,DISTNCED,DISAB,XDISABPC,DISABPCT,ALLONCAM,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 ,PEO7ISTR,NONCRDT1,NONCRDT2,NONCRDT3,NONCRDT4,NONCRDT5,NONCRDT6,NONCRDT7,NONCRDT8,NONCRDT9,SLO521,SLOA,SLOB,PRMPGM,TUITVRY1,TUITVRY2,TUITVRY3,CONFNO4,ENRHSST,ENRHSST1,ENRHSST2
2020,100858,0,1,1,0,0,0,1,2,0,-2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,2,2,R,8 ,2,1,1,R,4823,2,A,.,R,8192,R,5586,A,.,R,50,R,60,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,,,,,,,,,,,,,,,,,,,,,
2020,110404,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,1,1,1,2,2,1,-2,-2,2,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2,2,R,6 ,2,2,1,R,1547,2,A,.,R,10095,R,7242,A,.,R,75,R,100,1,1,0,0,0,0,0,2,-2,1,197,1,197,1,197,,,,,,,,,,,,,,,,,,,,,
2020,110635,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,R,9 ,2,1,1,R,10104,2,A,.,A,.,A,.,R,20530,R,70,R,120,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127,,,,,,,,,,,,,,,,,,,,,
2020,110644,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,2,1,1,1,1,1,1,1,1,2,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,1,A,. ,2,1,1,R,8284,2,A,.,A,.,A,.,R,17238,R,70,R,120,1,1,0,0,0,0,0,1,105,1,109,1,109,1,109,,,,,,,,,,,,,,,,,,,,,
2020,110653,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,2,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,R,6 ,2,1,1,R,13000,2,A,.,A,.,A,.,R,16677,R,70,R,120,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109,,,,,,,,,,,,,,,,,,,,,
2020,110662,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,1,1,1,1,1,1,1,1,2,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,2,R,4 ,2,1,1,R,19093,1,R,19,A,.,A,.,R,17599,R,70,R,120,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127,,,,,,,,,,,,,,,,,,,,,
2020,110671,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,1,A,. ,2,1,1,R,7400,2,A,.,A,.,A,.,R,16261,R,70,R,105,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109,,,,,,,,,,,,,,,,,,,,,
2020,110680,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2,1,A,. ,2,1,1,R,17598,2,A,.,A,.,A,.,R,15336,R,70,R,105,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109,,,,,,,,,,,,,,,,,,,,,
2020,110705,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,1,1,1,1,-2,-2,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,-2,0,1,1,1,1,0,1,1,1,1,1,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,2,R,5 ,2,1,1,R,9665,1,R,19,A,.,A,.,R,15903,R,70,R,120,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109,,,,,,,,,,,,,,,,,,,,,
2020,110714,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,1,1,1,1,-2,-2,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2,2,R,11 ,2,1,1,R,9291,2,A,.,A,.,A,.,R,18866,R,70,R,120,1,1,0,0,0,0,0,2,-2,1,170,2,-2,1,170,,,,,,,,,,,,,,,,,,,,,
