year,UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
2020,100858,R,10080,R,1716,R,420,R,10080,R,1716,R,420,R,30240,R,1716,R,1260,R,10080,R,1716,R,560,R,10080,R,1716,R,560,R,30240,R,1716,R,1680,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,10323,R,12282,R,20403,R,12282,Y,.,Y,.,Y,.,Y,.,R,10582,R,14216,R,23662,R,20216,Y,.,Y,.,Y,.,Y,.,R,9336,R,1632,R,10968,R,9624,R,1652,R,11276,R,9816,R,1676,R,11492,R,10080,R,1716,R,11796,.,.,R,9336,R,1632,R,10968,R,9624,R,1652,R,11276,R,9816,R,1676,R,11492,R,10080,R,1716,R,11796,.,.,R,28008,R,1632,R,29640,R,28872,R,1652,R,30524,R,29448,R,1676,R,31124,R,30240,R,1716,R,31956,.,.,R,1200,R,1200,R,1200,R,1200,R,13332,R,13332,R,13600,R,13778,R,5782,R,5782,R,5904,R,5904,R,13332,R,13332,R,13600,R,13778,R,5782,R,5782,R,5904,R,5904,R,5782,R,5782,R,5904,R,5904
2020,110404,R,54570,R,2292,A,.,R,54570,R,2292,A,.,R,54570,R,2292,A,.,R,54570,R,2079,R,486,R,54570,R,2079,R,486,R,54570,R,2079,R,486,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,48111,R,1797,R,49908,R,50487,R,1875,R,52362,R,52506,R,2094,R,54600,R,54570,R,2292,R,56862,.,.,R,48111,R,1797,R,49908,R,50487,R,1875,R,52362,R,52506,R,2094,R,54600,R,54570,R,2292,R,56862,.,.,R,48111,R,1797,R,49908,R,50487,R,1875,R,52362,R,52506,R,2094,R,54600,R,54570,R,2292,R,56862,.,.,R,1323,R,1323,R,1428,R,1428,R,14796,R,15525,R,16644,R,17337,R,2874,R,2874,R,2091,R,2091,R,13293,R,13779,R,14631,R,16578,R,4248,R,4248,R,4311,R,4641,R,4383,R,4365,R,4698,R,4164
2020,110635,R,11442,R,2870,A,.,R,11442,R,2870,A,.,R,41196,R,2870,A,.,R,11442,R,2803,A,.,R,11442,R,2803,A,.,R,26544,R,2803,A,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,35214,R,2803,R,47459,R,2803,R,31418,R,2803,R,43263,R,2803,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,52078,R,2803,R,54737,R,2803,R,11502,R,2668,R,14170,R,11442,R,2742,R,14184,R,11442,R,2811,R,14253,R,11442,R,2870,R,14312,.,.,R,11502,R,2668,R,14170,R,11442,R,2742,R,14184,R,11442,R,2811,R,14253,R,11442,R,2870,R,14312,.,.,R,39516,R,2668,R,42184,R,40434,R,2742,R,43176,R,41196,R,2811,R,44007,R,41196,R,2870,R,44066,.,.,R,891,R,849,R,870,R,1091,R,17549,R,18222,R,19105,R,20530,R,4379,R,4811,R,5148,R,5595,R,13605,R,14246,R,14771,R,15638,R,4581,R,5017,R,5359,R,5874,R,11738,R,12441,R,13025,R,14084
2020,110644,R,11442,R,3155,A,.,R,11442,R,3155,A,.,R,41196,R,3155,A,.,R,11442,R,2156,A,.,R,11442,R,2156,A,.,R,26544,R,2156,A,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,35218,R,2156,R,47463,R,2156,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,27504,R,2156,R,39749,R,2156,R,48408,R,2156,R,58387,R,2156,R,11502,R,2917,R,14419,R,11442,R,2960,R,14402,R,11442,R,3053,R,14495,R,11442,R,3155,R,14597,.,.,R,11502,R,2917,R,14419,R,11442,R,2960,R,14402,R,11442,R,3053,R,14495,R,11442,R,3155,R,14597,.,.,R,39516,R,2917,R,42433,R,40434,R,2960,R,43394,R,41196,R,3053,R,44249,R,41196,R,3155,R,44351,.,.,R,1253,R,1136,R,1158,R,1178,R,16136,R,15645,R,15775,R,17238,R,3921,R,3994,R,4507,R,4638,R,9792,R,10228,R,10588,R,11050,R,4383,R,4467,R,4856,R,5073,R,11385,R,11733,R,12360,R,13260
2020,110653,R,11442,R,2311,A,.,R,11442,R,2311,A,.,R,41196,R,2311,A,.,R,11442,R,1912,A,.,R,11442,R,1912,A,.,R,26544,R,1912,A,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,35220,R,1912,R,47465,R,1912,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,48138,R,1912,R,53737,R,1912,R,11502,R,2236,R,13738,R,11442,R,2258,R,13700,R,11442,R,2285,R,13727,R,11442,R,2311,R,13753,.,.,R,11502,R,2236,R,13738,R,11442,R,2258,R,13700,R,11442,R,2285,R,13727,R,11442,R,2311,R,13753,.,.,R,39516,R,2236,R,41752,R,40434,R,2258,R,42692,R,41196,R,2285,R,43481,R,41196,R,2311,R,43507,.,.,R,1357,R,1363,R,1390,R,1361,R,14861,R,15263,R,16135,R,16677,R,3902,R,3935,R,4111,R,4250,R,11897,R,12424,R,12861,R,14034,R,4904,R,4968,R,5184,R,5116,R,10904,R,11203,R,11633,R,12466
2020,110662,R,11442,R,1807,A,.,R,11442,R,1807,A,.,R,41196,R,1807,A,.,R,11442,R,1587,A,.,R,11442,R,1587,A,.,R,26544,R,1587,A,.,Y,.,Y,.,Y,.,Y,.,R,39996,R,1587,R,50639,R,1587,R,37620,R,1587,R,49865,R,1587,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,48138,R,1587,R,53737,R,1587,R,11502,R,1759,R,13261,R,11442,R,1784,R,13226,R,11442,R,1798,R,13240,R,11442,R,1807,R,13249,.,.,R,11502,R,1759,R,13261,R,11442,R,1784,R,13226,R,11442,R,1798,R,13240,R,11442,R,1807,R,13249,.,.,R,39516,R,1759,R,41275,R,40434,R,1784,R,42218,R,41196,R,1798,R,42994,R,41196,R,1807,R,43003,.,.,R,1171,R,1450,R,1463,R,1314,R,15441,R,15816,R,16625,R,17599,R,4028,R,4128,R,4465,R,4625,R,13207,R,13808,R,14303,R,15241,R,4655,R,4772,R,5126,R,5284,R,11303,R,11673,R,12256,R,13154
2020,110671,R,11442,R,2417,A,.,R,11442,R,2417,A,.,R,41196,R,2417,A,.,R,11442,R,2142,A,.,R,11442,R,2142,A,.,R,26544,R,2142,A,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,36640,R,2142,R,48876,R,2142,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,11502,R,2415,R,13917,R,11442,R,2385,R,13827,R,11442,R,2411,R,13853,R,11442,R,2582,R,14024,.,.,R,11502,R,2415,R,13917,R,11442,R,2385,R,13827,R,11442,R,2411,R,13853,R,11442,R,2582,R,14024,.,.,R,39516,R,2415,R,41931,R,40434,R,2385,R,42819,R,41196,R,2411,R,43607,R,41196,R,2582,R,43778,.,.,R,1316,R,1404,R,1436,R,1520,R,15542,R,16017,R,16082,R,16261,R,3888,R,3994,R,4016,R,3717,R,10175,R,10618,R,10986,R,11496,R,4625,R,4751,R,4792,R,3147,R,10883,R,11252,R,11512,R,10552
2020,110680,R,11442,R,3206,A,.,R,11442,R,3206,A,.,R,41196,R,3206,A,.,R,11442,R,2087,A,.,R,11442,R,2087,A,.,R,26544,R,2087,A,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,36156,R,2087,R,48401,R,2087,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,39231,R,2087,R,51476,R,2087,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,11502,R,2516,R,14018,R,11442,R,2725,R,14167,R,11442,R,2973,R,14415,R,11442,R,3206,R,14648,.,.,R,11502,R,2516,R,14018,R,11442,R,2725,R,14167,R,11442,R,2973,R,14415,R,11442,R,3206,R,14648,.,.,R,39516,R,2516,R,42032,R,40434,R,2725,R,43159,R,41196,R,2973,R,44169,R,41196,R,3206,R,44402,.,.,R,1198,R,1102,R,1128,R,1124,R,13115,R,13651,R,14271,R,15336,R,3832,R,3918,R,4035,R,4203,R,12652,R,13215,R,13681,R,13749,R,4521,R,4626,R,4760,R,4900,R,11063,R,11418,R,11779,R,12624
2020,110705,R,11442,R,2964,A,.,R,11442,R,2964,A,.,R,41196,R,2964,A,.,R,11442,R,2126,A,.,R,11442,R,2126,A,.,R,26544,R,2126,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11502,R,2949,R,14451,R,11442,R,2949,R,14391,R,11442,R,2949,R,14391,R,11442,R,2964,R,14406,.,.,R,11502,R,2949,R,14451,R,11442,R,2949,R,14391,R,11442,R,2949,R,14391,R,11442,R,2964,R,14406,.,.,R,39516,R,2949,R,42465,R,40434,R,2949,R,43383,R,41196,R,2949,R,44145,R,41196,R,2964,R,44160,.,.,R,1143,R,1157,R,1184,R,1259,R,15169,R,15673,R,15520,R,15903,R,5348,R,5438,R,5670,R,5381,R,11825,R,12370,R,12818,R,13188,R,5706,R,5808,R,6045,R,5916,R,12450,R,12807,R,13276,R,13986
2020,110714,R,11442,R,2583,A,.,R,11442,R,2583,A,.,R,41196,R,2583,A,.,R,11442,R,2408,A,.,R,11442,R,2408,A,.,R,26544,R,2408,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11502,R,2518,R,14020,R,11442,R,2518,R,13960,R,11442,R,2549,R,13991,R,11442,R,2583,R,14025,.,.,R,11502,R,2518,R,14020,R,11442,R,2518,R,13960,R,11442,R,2549,R,13991,R,11442,R,2583,R,14025,.,.,R,39516,R,2518,R,42034,R,40434,R,2518,R,42952,R,41196,R,2549,R,43745,R,41196,R,2583,R,43779,.,.,R,1152,R,1089,R,1085,R,1162,R,16055,R,16448,R,16951,R,18866,R,4813,R,4720,R,5270,R,5084,R,12199,R,12757,R,13216,R,14453,R,5187,R,5102,R,5442,R,5602,R,12008,R,12182,R,12755,R,13467
