year,UNITID,OMCHRT,XOMRCHRT,OMRCHRT,XOMEXCLS,OMEXCLS,XOMACHRT,OMACHRT,XOMCERT4,OMCERT4,XOMASSC4,OMASSC4,XOMBACH4,OMBACH4,XOMAWDN4,OMAWDN4,XOMAWDP4,OMAWDP4,XOMCERT6,OMCERT6,XOMASSC6,OMASSC6,XOMBACH6,OMBACH6,XOMAWDN6,OMAWDN6,XOMAWDP6,OMAWDP6,XOMCERT8,OMCERT8,XOMASSC8,OMASSC8,XOMBACH8,OMBACH8,XOMAWDN8,OMAWDN8,XOMENRYI,OMENRYI,XOMENRAI,OMENRAI,XOMENRUN,OMENRUN,XOMNOAWD,OMNOAWD,XOMAWDP8,OMAWDP8,XOMENRTP,OMENRTP,XOMENRYP,OMENRYP,XOMENRAP,OMENRAP,XOMENRUP,OMENRUP 
2023,100858,10,R,4897,R,7,R,4890,R,0,R,0,R,2683,R,2683,R,55,R,0,R,0,R,3938,R,3938,R,81,R,0,R,0,R,4001,R,4001,R,16,R,653,R,220,R,889,R,82,R,14,R,0,R,13,R,4
2023,100858,11,R,628,R,1,R,627,R,0,R,0,R,261,R,261,R,42,R,0,R,0,R,411,R,411,R,66,R,0,R,0,R,424,R,424,R,4,R,134,R,65,R,203,R,68,R,22,R,1,R,21,R,10
2023,100858,12,R,4269,R,6,R,4263,R,0,R,0,R,2422,R,2422,R,57,R,0,R,0,R,3527,R,3527,R,83,R,0,R,0,R,3577,R,3577,R,12,R,519,R,155,R,686,R,84,R,12,R,0,R,12,R,4
2023,100858,20,R,48,R,1,R,47,R,0,R,0,R,12,R,12,R,26,R,0,R,0,R,25,R,25,R,53,R,0,R,0,R,29,R,29,R,0,R,13,R,5,R,18,R,62,R,28,R,0,R,28,R,11
2023,100858,21,R,5,R,0,R,5,R,0,R,0,R,1,R,1,R,20,R,0,R,0,R,2,R,2,R,40,R,0,R,0,R,2,R,2,R,0,R,2,R,1,R,3,R,40,R,40,R,0,R,40,R,20
2023,100858,22,R,43,R,1,R,42,R,0,R,0,R,11,R,11,R,26,R,0,R,0,R,23,R,23,R,55,R,0,R,0,R,27,R,27,R,0,R,11,R,4,R,15,R,64,R,26,R,0,R,26,R,10
2023,100858,30,R,1346,R,3,R,1343,R,0,R,0,R,928,R,928,R,69,R,0,R,0,R,1021,R,1021,R,76,R,0,R,0,R,1033,R,1033,R,2,R,203,R,105,R,310,R,77,R,15,R,0,R,15,R,8
2023,100858,31,R,405,R,1,R,404,R,0,R,0,R,256,R,256,R,63,R,0,R,0,R,287,R,287,R,71,R,0,R,0,R,290,R,290,R,2,R,75,R,37,R,114,R,72,R,19,R,0,R,19,R,9
2023,100858,32,R,941,R,2,R,939,R,0,R,0,R,672,R,672,R,72,R,0,R,0,R,734,R,734,R,78,R,0,R,0,R,743,R,743,R,0,R,128,R,68,R,196,R,79,R,14,R,0,R,14,R,7
2023,100858,40,R,174,R,0,R,174,R,0,R,0,R,79,R,79,R,45,R,0,R,0,R,102,R,102,R,59,R,0,R,0,R,107,R,107,R,0,R,35,R,32,R,67,R,61,R,20,R,0,R,20,R,18
2023,100858,41,R,44,R,0,R,44,R,0,R,0,R,21,R,21,R,48,R,0,R,0,R,26,R,26,R,59,R,0,R,0,R,27,R,27,R,0,R,11,R,6,R,17,R,61,R,25,R,0,R,25,R,14
2023,100858,42,R,130,R,0,R,130,R,0,R,0,R,58,R,58,R,45,R,0,R,0,R,76,R,76,R,58,R,0,R,0,R,80,R,80,R,0,R,24,R,26,R,50,R,62,R,18,R,0,R,18,R,20
2023,100858,50,R,6465,R,11,R,6454,R,0,R,0,R,3702,R,3702,R,57,R,0,R,0,R,5086,R,5086,R,79,R,0,R,0,R,5170,R,5170,R,18,R,904,R,362,R,1284,R,80,R,14,R,0,R,14,R,6
2023,100858,51,R,1082,R,2,R,1080,R,0,R,0,R,539,R,539,R,50,R,0,R,0,R,726,R,726,R,67,R,0,R,0,R,743,R,743,R,6,R,222,R,109,R,337,R,69,R,21,R,1,R,21,R,10
2023,100858,52,R,5383,R,9,R,5374,R,0,R,0,R,3163,R,3163,R,59,R,0,R,0,R,4360,R,4360,R,81,R,0,R,0,R,4427,R,4427,R,12,R,682,R,253,R,947,R,82,R,13,R,0,R,13,R,5
2023,110404,10,R,241,R,1,R,240,R,0,R,0,R,207,R,207,R,86,R,0,R,0,R,223,R,223,R,93,R,0,R,0,R,229,R,229,R,0,R,6,R,5,R,11,R,95,R,3,R,0,R,3,R,2
2023,110404,11,R,27,R,1,R,26,R,0,R,0,R,21,R,21,R,81,R,0,R,0,R,23,R,23,R,88,R,0,R,0,R,23,R,23,R,0,R,1,R,2,R,3,R,88,R,4,R,0,R,4,R,8
