year,UNITID,ARANK,XSAINSTT,SAINSTT,XSAINSTM,SAINSTM,XSAINSTW,SAINSTW,XSA_9MCT,SA_9MCT,XSA_9MCM,SA_9MCM,XSA_9MCW,SA_9MCW,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSA09MOT,SA09MOT,XSA09MOM,SA09MOM,XSA09MOW,SA09MOW,XSA10MOT,SA10MOT,XSA10MOM,SA10MOM,XSA10MOW,SA10MOW,XSA11MOT,SA11MOT,XSA11MOM,SA11MOM,XSA11MOW,SA11MOW,XSA12MOT,SA12MOT,XSA12MOM,SA12MOM,XSA12MOW,SA12MOW,XSAEQ9OT,SAEQ9OT,XSAEQ9OM,SAEQ9OM,XSAEQ9OW,SAEQ9OW,XSAEQ9AT,SAEQ9AT,XSAEQ9AM,SAEQ9AM,XSAEQ9AW,SAEQ9AW,XSA09MAT,SA09MAT,XSA09MAM,SA09MAM,XSA09MAW,SA09MAW,XSA10MAT,SA10MAT,XSA10MAM,SA10MAM,XSA10MAW,SA10MAW,XSA11MAT,SA11MAT,XSA11MAM,SA11MAM,XSA11MAW,SA11MAW,XSA12MAT,SA12MAT,XSA12MAM,SA12MAM,XSA12MAW,SA12MAW 
2021,100858,1,R,395,R,290,R,105,R,0,Z,0,Z,0,R,395,R,290,R,105,R,249,R,185,R,64,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,146,R,105,R,41,R,61498271,R,46690137,R,14808134,R,34831386,R,26583891,R,8247495,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,26666885,R,20106246,R,6560639,R,54831550,R,41663576,R,13167974,R,138814,R,143668,R,125409,R,139885,R,143697,R,128867,A,,A,,A,,A,,A,,A,,R,182650,R,191488,R,160016
2021,100858,2,R,406,R,229,R,177,R,0,Z,0,Z,0,R,406,R,229,R,177,R,308,R,183,R,125,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,98,R,46,R,52,R,43964641,R,25598265,R,18366376,R,30899526,R,19413810,R,11485716,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,13065115,R,6184455,R,6880660,R,40698362,R,24052151,R,16646211,R,100242,R,105031,R,94046,R,100323,R,106086,R,91886,A,,A,,A,,A,,A,,A,,R,133318,R,134445,R,132320
2021,100858,3,R,391,R,211,R,180,R,0,Z,0,Z,0,R,391,R,211,R,180,R,283,R,169,R,114,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,108,R,42,R,66,R,36073250,R,20020050,R,16053200,R,24930080,R,15646070,R,9284010,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,11143170,R,4373980,R,6769190,R,33287458,R,18926555,R,14360903,R,85134,R,89699,R,79783,R,88092,R,92580,R,81439,A,,A,,A,,A,,A,,A,,R,103178,R,104142,R,102563
2021,100858,4,R,68,R,28,R,40,R,0,Z,0,Z,0,R,68,R,28,R,40,R,55,R,24,R,31,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,13,R,4,R,9,R,3706272,R,1474112,R,2232160,R,2705462,R,1184222,R,1521240,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1000810,R,289890,R,710920,R,3456070,R,1401640,R,2054430,R,50825,R,50059,R,51361,R,49190,R,49343,R,49072,A,,A,,A,,A,,A,,A,,R,76985,R,72473,R,78991
2021,100858,5,R,170,R,78,R,92,R,0,Z,0,Z,0,R,170,R,78,R,92,R,159,R,74,R,85,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,11,R,4,R,7,R,10844683,R,5466553,R,5378130,R,9835353,R,5012613,R,4822740,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1009330,R,453940,R,555390,R,10592351,R,5353068,R,5239283,R,62308,R,68629,R,56949,R,61858,R,67738,R,56738,A,,A,,A,,A,,A,,A,,R,91757,R,113485,R,79341
2021,100858,6,R,13,R,7,R,6,R,0,Z,0,Z,0,R,13,R,7,R,6,R,13,R,7,R,6,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,494470,R,267220,R,227250,R,494470,R,267220,R,227250,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,494470,R,267220,R,227250,R,38036,R,38174,R,37875,R,38036,R,38174,R,37875,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,100858,7,R,1443,R,843,R,600,R,0,R,0,R,0,R,1443,R,843,R,600,R,1067,R,642,R,425,R,0,R,0,R,0,R,0,R,0,R,0,R,376,R,201,R,175,R,156581587,R,99516337,R,57065250,R,103696277,R,68107826,R,35588451,R,0,R,0,R,0,R,0,R,0,R,0,R,52885310,R,31408511,R,21476799,R,143360260,R,91664209,R,51696050,R,99349,R,108736,R,86160,R,97185,R,106087,R,83738,A,,A,,A,,A,,A,,A,,R,140652,R,156261,R,122725
2021,110404,1,R,265,R,212,R,53,R,0,Z,0,Z,0,R,265,R,212,R,53,R,1,R,1,Z,0,R,0,Z,0,Z,0,R,264,R,211,R,53,R,0,Z,0,Z,0,R,69994941,R,56348540,R,13646401,R,276000,R,276000,Z,0,R,0,Z,0,Z,0,R,69718941,R,56072540,R,13646401,R,0,Z,0,Z,0,R,57306094,R,46143338,R,11162756,R,216249,R,217657,R,210618,R,276000,R,276000,A,,A,,A,,A,,R,264087,R,265747,R,257479,A,,A,,A,
2021,110404,3,R,44,R,26,R,18,R,0,Z,0,Z,0,R,44,R,26,R,18,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,44,R,26,R,18,R,0,Z,0,Z,0,R,7542500,R,4593000,R,2949500,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,7542500,R,4593000,R,2949500,R,0,Z,0,Z,0,R,6169765,R,3757074,R,2412691,R,140222,R,144503,R,134038,A,,A,,A,,A,,A,,A,,R,171420,R,176654,R,163861,A,,A,,A,
2021,110404,4,R,27,R,20,R,7,R,0,Z,0,Z,0,R,27,R,20,R,7,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,27,R,20,R,7,R,0,Z,0,Z,0,R,2098360,R,1632440,R,465920,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,2098360,R,1632440,R,465920,R,0,Z,0,Z,0,R,1716458,R,1335336,R,381123,R,63573,R,66767,R,54446,A,,A,,A,,A,,A,,A,,R,77717,R,81622,R,66560,A,,A,,A,
2021,110404,5,R,20,R,11,R,9,R,0,Z,0,Z,0,R,20,R,11,R,9,R,20,R,11,R,9,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1969466,R,1256711,R,712755,R,1969466,R,1256711,R,712755,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1969466,R,1256711,R,712755,R,98473,R,114246,R,79195,R,98473,R,114246,R,79195,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,110404,6,R,4,R,1,R,3,R,0,Z,0,Z,0,R,4,R,1,R,3,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,4,R,1,R,3,R,0,Z,0,Z,0,R,375494,R,142463,R,233031,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,375494,R,142463,R,233031,R,0,Z,0,Z,0,R,307154,R,116535,R,190619,R,76789,R,116535,R,63540,A,,A,,A,,A,,A,,A,,R,93874,R,142463,R,77677,A,,A,,A,
2021,110404,7,R,360,R,270,R,90,R,0,R,0,R,0,R,360,R,270,R,90,R,21,R,12,R,9,R,0,R,0,R,0,R,339,R,258,R,81,R,0,R,0,R,0,R,81980761,R,63973154,R,18007607,R,2245466,R,1532711,R,712755,R,0,R,0,R,0,R,79735295,R,62440443,R,17294852,R,0,R,0,R,0,R,67468937,R,52608993,R,14859944,R,187414,R,194848,R,165110,R,106927,R,127726,R,79195,A,,A,,A,,R,235207,R,242017,R,213517,A,,A,,A,
2021,110635,1,R,848,R,547,R,301,R,0,R,0,R,0,R,848,R,547,R,301,R,820,R,533,R,287,R,0,R,0,R,0,R,0,R,0,R,0,R,28,R,14,R,14,R,188700384,R,124935299,R,63765085,R,182881384,R,121775599,R,61105785,R,0,R,0,R,0,R,0,R,0,R,0,R,5819000,R,3159700,R,2659300,R,187245634,R,124145374,R,63100260,R,220809,R,226957,R,209635,R,223026,R,228472,R,212912,A,,A,,A,,A,,A,,A,,R,207821,R,225693,R,189950
2021,110635,2,R,359,R,201,R,158,R,0,R,0,R,0,R,359,R,201,R,158,R,351,R,198,R,153,R,0,R,0,R,0,R,0,R,0,R,0,R,8,R,3,R,5,R,53639200,R,31544600,R,22094600,R,52758400,R,31214200,R,21544200,R,0,R,0,R,0,R,0,R,0,R,0,R,880800,R,330400,R,550400,R,53419000,R,31462000,R,21957000,R,148799,R,156527,R,138968,R,150309,R,157647,R,140812,A,,A,,A,,A,,A,,A,,R,110100,R,110133,R,110080
2021,110635,3,R,294,R,145,R,149,R,0,R,0,R,0,R,294,R,145,R,149,R,261,R,134,R,127,R,0,R,0,R,0,R,0,R,0,R,0,R,33,R,11,R,22,R,35961418,R,18294018,R,17667400,R,32759618,R,17069818,R,15689800,R,0,R,0,R,0,R,0,R,0,R,0,R,3201800,R,1224200,R,1977600,R,35160968,R,17987968,R,17173000,R,119595,R,124055,R,115255,R,125516,R,127387,R,123542,A,,A,,A,,A,,A,,A,,R,97024,R,111291,R,89891
2021,110635,4,R,1,R,1,R,0,R,0,R,0,Z,0,R,1,R,1,R,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,1,R,1,Z,0,R,68000,R,68000,R,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,68000,R,68000,Z,0,R,51000,R,51000,R,0,R,51000,R,51000,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,68000,R,68000,A,
2021,110635,5,R,264,R,124,R,140,R,0,R,0,R,0,R,264,R,124,R,140,R,260,R,122,R,138,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,2,R,2,R,26900312,R,13483797,R,13416515,R,26373476,R,13143509,R,13229967,R,0,R,0,R,0,R,0,R,0,R,0,R,526836,R,340288,R,186548,R,26768603,R,13398725,R,13369878,R,101396,R,108054,R,95499,R,101436,R,107734,R,95869,A,,A,,A,,A,,A,,A,,R,131709,R,170144,R,93274
2021,110635,6,R,25,R,4,R,21,R,0,R,0,R,0,R,25,R,4,R,21,R,6,R,1,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,19,R,3,R,16,R,2517531,R,330414,R,2187117,R,623184,R,81638,R,541546,R,0,R,0,R,0,R,0,R,0,R,0,R,1894347,R,248776,R,1645571,R,2043944,R,268220,R,1775724,R,81758,R,67055,R,84558,R,103864,R,81638,R,108309,A,,A,,A,,A,,A,,A,,R,99702,R,82925,R,102848
2021,110635,7,R,1791,R,1022,R,769,R,0,R,0,R,0,R,1791,R,1022,R,769,R,1698,R,988,R,710,R,0,R,0,R,0,R,0,R,0,R,0,R,93,R,34,R,59,R,307786845,R,188656128,R,119130717,R,295396062,R,183284764,R,112111298,R,0,R,0,R,0,R,0,R,0,R,0,R,12390783,R,5371364,R,7019419,R,304689149,R,187313287,R,117375862,R,170122,R,183281,R,152634,R,173967,R,185511,R,157903,A,,A,,A,,A,,A,,A,,R,133234,R,157981,R,118973
