year,UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
2019,100858,R,3900,R,258068652,R,50,R,4359057,R,218,R,14151644,R,133,R,8339965,R,540,R,69358481,R,413,R,26083475,R,595,R,36608912,R,651,R,41814589,R,34,R,3027730,R,329,R,12774319,R,3,R,135630,R,574,R,23131788,R,309,R,15743531,R,51,R,2539531
2019,110404,R,2698,R,226768760,R,607,R,36274628,Z,0,Z,0,R,40,R,2813277,R,309,R,50928056,R,268,R,25816342,R,663,R,63415851,R,91,R,9134955,R,5,R,388319,R,258,R,9605949,Z,0,Z,0,R,324,R,19609976,R,123,R,8303714,R,10,R,477693
2019,110635,R,8607,R,739990768,R,1339,R,93076390,R,32,R,3409926,R,1001,R,76249975,R,631,R,105419768,R,1720,R,162250871,R,1023,R,100032518,R,545,R,49555270,R,155,R,14243997,R,886,R,45167649,R,1,R,123600,R,952,R,62333127,R,236,R,22554536,R,86,R,5573141
2019,110644,R,7694,R,559600242,R,1000,R,60102337,R,19,R,1793383,R,651,R,44245472,R,480,R,73835163,R,1036,R,84718800,R,1283,R,98814398,R,363,R,24739980,R,376,R,32127633,R,1114,R,55158701,R,9,R,831951,R,962,R,55205470,R,325,R,23180895,R,76,R,4846059
2019,110653,R,4666,R,372987602,R,560,R,35782737,R,9,R,684750,R,365,R,24651235,R,514,R,81318452,R,1242,R,95578882,R,585,R,50864539,R,130,R,9980671,R,104,R,9727320,R,554,R,25487714,Z,0,Z,0,R,352,R,20009300,R,183,R,13586096,R,68,R,5315906
2019,110662,R,10620,R,814392237,R,726,R,48081206,R,27,R,2822687,R,734,R,53791606,R,908,R,140117727,R,3155,R,238494625,R,1241,R,102820787,R,438,R,38132422,R,242,R,20094506,R,1563,R,70255110,R,10,R,801742,R,845,R,47776285,R,451,R,32802754,R,280,R,18400780
2019,110671,R,2878,R,210789001,R,332,R,19874337,R,12,R,989440,R,382,R,25113197,R,223,R,34033805,R,430,R,35099700,R,281,R,23475591,R,130,R,9780626,R,92,R,6507691,R,394,R,19223724,R,5,R,395556,R,416,R,23815828,R,137,R,10084856,R,44,R,2394650
2019,110680,R,8574,R,656660909,R,794,R,55226860,R,23,R,2286954,R,747,R,47900370,R,482,R,80979657,R,1423,R,119527565,R,1219,R,104420796,R,348,R,26500962,R,599,R,56289906,R,1379,R,67203584,R,14,R,1713603,R,1158,R,68630755,R,295,R,20391263,R,93,R,5588634
2019,110705,R,3617,R,265442529,R,438,R,25255954,R,1,R,97098,R,399,R,26211563,R,325,R,43080174,R,523,R,40577372,R,465,R,41400936,R,151,R,11022937,R,77,R,7275136,R,495,R,26344852,R,5,R,487153,R,524,R,29852311,R,152,R,10137122,R,62,R,3699921
2019,110714,R,2713,R,208321401,R,268,R,18478888,Z,0,Z,0,R,368,R,23166619,R,239,R,35590702,R,421,R,34122499,R,358,R,31331137,R,83,R,5962642,R,44,R,3891795,R,402,R,20493964,R,3,R,177480,R,393,R,25632492,R,89,R,6722421,R,45,R,2750762
