year,UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
1819,100858,R,678,R,7696901,R,11352,R,122,R,1233267,R,10109,R,800,R,8930168,R,11163,R,10,R,35750,R,3575,R,25,R,97148,R,3886,R,35,R,132898,R,3797
1819,110404,R,1,R,23672,R,23672,R,0,R,0,A,,R,1,R,23672,R,23672,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,110635,R,125,R,1831918,R,14655,R,129,R,5607934,R,43472,R,254,R,7439852,R,29291,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,110644,R,91,R,1303313,R,14322,R,39,R,1304482,R,33448,R,130,R,2607795,R,20060,R,1,R,4300,R,4300,R,2,R,4455,R,2228,R,3,R,8755,R,2918
1819,110653,R,84,R,932077,R,11096,R,42,R,1192799,R,28400,R,126,R,2124876,R,16864,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,110662,R,115,R,1059301,R,9211,R,141,R,7175978,R,50893,R,256,R,8235279,R,32169,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,110671,R,55,R,652606,R,11866,R,20,R,475529,R,23776,R,75,R,1128135,R,15042,R,2,R,5643,R,2822,R,0,R,0,A,,R,2,R,5643,R,2822
1819,110680,R,152,R,4164254,R,27396,R,62,R,2464597,R,39752,R,214,R,6628851,R,30976,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,110705,R,51,R,576192,R,11298,R,2,R,14438,R,7219,R,53,R,590630,R,11144,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,110714,R,48,R,500858,R,10435,R,5,R,71840,R,14368,R,53,R,572698,R,10806,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
1819,121150,R,98,R,1408605,R,14374,R,104,R,1292984,R,12433,R,202,R,2701589,R,13374,R,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,
