year,UNITID,SISCAT,FACSTAT,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2019,100858,  1, 0,0,R,1425,R,840,R,585,R,7,R,4,R,3,R,154,R,111,R,43,R,65,R,25,R,40,R,62,R,34,R,28,R,1,Z,0,R,1,R,1043,R,605,R,438,R,18,R,10,R,8,R,6,R,6,Z,0,R,69,R,45,R,24
2019,100858,100,10,0,R,1425,R,840,R,585,R,7,R,4,R,3,R,154,R,111,R,43,R,65,R,25,R,40,R,62,R,34,R,28,R,1,Z,0,R,1,R,1043,R,605,R,438,R,18,R,10,R,8,R,6,R,6,Z,0,R,69,R,45,R,24
2019,100858,101,10,1,R,403,R,302,R,101,R,6,R,4,R,2,R,67,R,56,R,11,R,12,R,8,R,4,R,15,R,10,R,5,Z,0,Z,0,Z,0,R,301,R,222,R,79,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2019,100858,102,10,2,R,394,R,223,R,171,R,1,Z,0,R,1,R,42,R,27,R,15,R,18,R,6,R,12,R,12,R,9,R,3,Z,0,Z,0,Z,0,R,310,R,173,R,137,R,6,R,4,R,2,R,2,R,2,Z,0,R,3,R,2,R,1
2019,100858,103,10,3,R,375,R,194,R,181,Z,0,Z,0,Z,0,R,36,R,25,R,11,R,22,R,7,R,15,R,23,R,11,R,12,R,1,Z,0,R,1,R,232,R,109,R,123,R,9,R,5,R,4,R,3,R,3,Z,0,R,49,R,34,R,15
2019,100858,104,10,4,R,78,R,39,R,39,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,65,R,34,R,31,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,5,R,2,R,3
2019,100858,105,10,5,R,165,R,76,R,89,Z,0,Z,0,Z,0,R,6,R,1,R,5,R,11,R,4,R,7,R,11,R,3,R,8,Z,0,Z,0,Z,0,R,128,R,63,R,65,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,5,R,4
2019,100858,106,10,6,R,10,R,6,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,4,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,2,R,1,R,1
2019,100858,200,20,0,R,718,R,489,R,229,R,7,R,4,R,3,R,99,R,76,R,23,R,24,R,13,R,11,R,23,R,15,R,8,R,0,R,0,R,0,R,555,R,373,R,182,R,4,R,3,R,1,R,2,R,2,R,0,R,4,R,3,R,1
2019,100858,201,20,1,R,391,R,298,R,93,R,6,R,4,R,2,R,66,R,55,R,11,R,12,R,8,R,4,R,15,R,10,R,5,Z,0,Z,0,Z,0,R,290,R,219,R,71,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
