year,UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2019,100858,10000,100, 0, 1,R,283,R,130,R,153,R,1,Z,0,R,1,R,7,R,4,R,3,R,30,R,9,R,21,R,17,R,5,R,12,R,1,R,1,Z,0,R,195,R,94,R,101,R,1,R,1,Z,0,R,2,R,1,R,1,R,29,R,15,R,14
2019,100858,20000,200, 0, 2,R,115,R,61,R,54,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,7,R,3,R,4,R,9,R,3,R,6,Z,0,Z,0,Z,0,R,72,R,40,R,32,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,19,R,10,R,9
2019,100858,21000,210, 0,-2,R,108,R,57,R,51,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,6,R,2,R,4,R,8,R,3,R,5,Z,0,Z,0,Z,0,R,67,R,37,R,30,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,19,R,10,R,9
2019,100858,21010,210,10,-2,R,108,R,57,R,51,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,6,R,2,R,4,R,8,R,3,R,5,Z,0,Z,0,Z,0,R,67,R,37,R,30,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,19,R,10,R,9
2019,100858,21020,210,20,-2,R,5,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2019,100858,21030,210,30,-2,R,49,R,29,R,20,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,3,R,1,R,2,R,5,R,3,R,2,Z,0,Z,0,Z,0,R,27,R,17,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,R,6,R,4
2019,100858,21040,210,40,-2,R,54,R,23,R,31,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,3,R,1,R,2,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,36,R,16,R,20,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,8,R,3,R,5
2019,100858,21043,210,43,-2,R,54,R,23,R,31,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,3,R,1,R,2,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,36,R,16,R,20,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,8,R,3,R,5
2019,100858,22000,220, 0,-2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2019,100858,23000,230, 0,-2,R,6,R,4,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,4,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
