year,UNITID,STAFFCAT,FTPT,OCCUPCAT,SABDTYPE,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2023,100858,1100,1,100,-2,R,7194,R,3308,R,3886,R,25,R,14,R,11,R,310,R,181,R,129,R,812,R,271,R,541,R,225,R,97,R,128,R,2,R,2,R,0,R,5404,R,2503,R,2901,R,94,R,45,R,49,R,61,R,30,R,31,R,261,R,165,R,96
2023,100858,1200,1,200,-2,R,2052,R,1125,R,927,R,8,R,4,R,4,R,206,R,140,R,66,R,112,R,34,R,78,R,74,R,32,R,42,R,0,R,0,R,0,R,1458,R,795,R,663,R,30,R,15,R,15,R,13,R,10,R,3,R,151,R,95,R,56
2023,100858,1210,1,210,-2,R,1726,R,993,R,733,R,7,R,3,R,4,R,197,R,134,R,63,R,73,R,27,R,46,R,65,R,32,R,33,R,0,R,0,R,0,R,1261,R,717,R,544,R,25,R,13,R,12,R,13,R,10,R,3,R,85,R,57,R,28
2023,100858,1220,1,220,-2,R,118,R,68,R,50,Z,0,Z,0,Z,0,R,9,R,6,R,3,R,3,R,2,R,1,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,37,R,23,R,14,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,65,R,37,R,28
2023,100858,1230,1,230,-2,R,208,R,64,R,144,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,36,R,5,R,31,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,160,R,55,R,105,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2023,100858,1250,1,250,-2,R,255,R,55,R,200,Z,0,Z,0,Z,0,R,5,R,2,R,3,R,50,R,4,R,46,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,189,R,46,R,143,Z,0,Z,0,Z,0,R,4,Z,0,R,4,R,2,R,1,R,1
2023,100858,1260,1,260,-2,R,64,R,20,R,44,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,14,R,1,R,13,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,46,R,17,R,29,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2023,100858,1261,1,261,-2,R,13,R,7,R,6,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,11,R,6,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,1262,1,262,-2,R,25,R,5,R,20,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,22,R,5,R,17,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,1263,1,263,-2,R,26,R,8,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,R,1,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,13,R,6,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2023,100858,1270,1,270,-2,R,191,R,35,R,156,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,36,R,3,R,33,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,143,R,29,R,114,Z,0,Z,0,Z,0,R,4,Z,0,R,4,R,1,Z,0,R,1
2023,100858,1300,1,300,-2,R,649,R,320,R,329,R,2,R,1,R,1,R,17,R,8,R,9,R,55,R,20,R,35,R,15,R,8,R,7,Z,0,Z,0,Z,0,R,550,R,278,R,272,R,6,R,3,R,3,R,2,R,1,R,1,R,2,R,1,R,1
2023,100858,1310,1,310,-2,R,750,R,269,R,481,R,3,R,2,R,1,R,20,R,9,R,11,R,69,R,19,R,50,R,19,R,9,R,10,Z,0,Z,0,Z,0,R,619,R,221,R,398,R,8,R,5,R,3,R,6,R,2,R,4,R,6,R,2,R,4
2023,100858,1320,1,320,-2,R,801,R,426,R,375,R,1,R,1,Z,0,R,38,R,13,R,25,R,57,R,27,R,30,R,35,R,21,R,14,Z,0,Z,0,Z,0,R,560,R,291,R,269,R,11,R,7,R,4,R,7,R,4,R,3,R,92,R,62,R,30
2023,100858,1330,1,330,-2,R,773,R,271,R,502,R,1,Z,0,R,1,R,8,R,4,R,4,R,109,R,33,R,76,R,24,R,7,R,17,R,2,R,2,Z,0,R,611,R,220,R,391,R,10,R,3,R,7,R,7,R,2,R,5,R,1,Z,0,R,1
