sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for Academic Library Data File: Fiscal year 2018,,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,AL2018,,,,,,,,
Introduction,4,  Provisional release:,November 2019,,,,,,,,
Introduction,5,Filename,AL2018_RV,,,,,,,,
Introduction,6,  Final/revised release:,February 2021,,,,,,,,
Introduction,7,,,,,,,,,,
Introduction,8,Overview,"The Academic Library survey became part of the Integrated Postsecondary Education Data system in collection year 2014-15.   Data include characteristics of the library, collections, expenditures, and services.   These data are only applicable for degree-granting institutions.  Degree-granting institutions with total expenditures over $100,000 dollars will have expenditure data. In 2016-17 the types of collections was expanded to collect information on physical and electronic serials.",,,,,,,,
Introduction,9,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,
Introduction,10,,,,,,,,,,
Introduction,11,Contents of spreadsheet,,,,,,,,,
Introduction,12,,,,,,,,,,
Introduction,13,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,14,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,15,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,16,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,17,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,18,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,19,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,160100,LCOLELYN,N,2,Disc,,Is the Library collection entirely electronic
varlist,3,160105,LPBOOKS,N,8,Cont,XLPBOOKS,Number of physical books
varlist,4,160110,LEBOOKS,N,8,Cont,XLEBOOKS,Number of digital/electronic books
varlist,5,160115,LEDATAB,N,8,Cont,XLEDATAB,Number of digital/electronic databases
varlist,6,160120,LPMEDIA,N,8,Cont,XLPMEDIA,Number of physical media
varlist,7,160125,LEMEDIA,N,8,Cont,XLEMEDIA,Number of digital/electronic media
varlist,8,160300,LPSERIA,N,8,Cont,XLPSERIA,Number of physical serials
varlist,9,160305,LESERIA,N,8,Cont,XLESERIA,Number of electronic serials
varlist,10,160130,LPCLLCT,N,8,Cont,XLPCOLLC,"Total physical library collections (books, media and serials)"
varlist,11,160135,LECLLCT,N,8,Cont,XLECOLLC,"Total electronic library collections (books, databases, media and serials)"
varlist,12,160136,LTCLLCT,N,8,Cont,XLTCLLCT,Total library collections (physical and electronic)
varlist,13,160140,LPCRCLT,N,8,Cont,XLPCRCLT,Total physical library circulations (books and media)
varlist,14,160145,LECRCLT,N,8,Cont,XLECRCLT,Total digital/electronic circulations (books and media)
varlist,15,160146,LTCRCLT,N,8,Cont,XLTCRCLT,Total library circulations (physical and digital/electronic)
varlist,16,160310,LILLDYN,N,2,Disc,,Does institution have interlibrary loan services ?
varlist,17,160210,LILLDPR,N,8,Cont,XLILLDPR,Total interlibrary loans and documents provided to other libraries
varlist,18,160215,LILLDRC,N,8,Cont,XLILLDRC,Total interlibrary loans and documents received
varlist,19,160150,LBRANCH,N,3,Cont,XLBRANCH,Number of branches and independent libraries
varlist,20,160155,LSALWAG,N,12,Cont,XSALWAG,Total salaries and wages from the library budget
varlist,21,160160,LFRNGBYN,N,2,Disc,,Are staff fringe benefits paid out of the library budget
varlist,22,160165,LFRNGBN,N,12,Cont,XLFRNGBN,Total fringe benefits
varlist,23,160170,LEXMSBB,N,12,Cont,XLEXMSBB,"One-time purchases of books, serial backfiles, and other materials"
varlist,24,160175,LEXMSCS,N,12,Cont,XLEXMSCS,Ongoing commitments to subscriptions
varlist,25,160180,LEXMSOT,N,12,Cont,XLEXMSOT,Other materials/services expenditures
varlist,26,160185,LEXMSTL,N,12,Cont,XLEXMSTL,Total materials/services expenditures
varlist,27,160190,LEXOMPS,N,12,Cont,XLEXOMPS,Preservation services
varlist,28,160195,LEXOMOT,N,12,Cont,XLEXOMOT,Other operation and maintenance expenditures
varlist,29,160200,LEXOMTL,N,12,Cont,XLEXOMTL,Total operations and maintenance expenditures
