sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for Academic Library Data File: Fiscal year 2021,,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,AL2021,,,,,,,,
Introduction,4, Provisional release:,December 2022,,,,,,,,
Introduction,5,Filename,AL2021_RV,,,,,,,,
Introduction,6,  Final/revised release:,December 2023,,,,,,,,
Introduction,7,,,,,,,,,,
Introduction,8,Overview,"The Academic Library survey became part of the Integrated Postsecondary Education Data system in collection year 2014-15.   Data include characteristics of the library, collections, expenditures and services. The number of full-time equivalent staff employed by the library were added this fiscal year.  Library data are only applicable for degree-granting institutions.  Degree-granting institutions with total expenditures over $100,000 dollars will have expenditure data. In 2016-17 the types of collections was expanded to collect information on physical and electronic serials.",,,,,,,,
Introduction,9,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,,,,,,,,,,,
Introduction,10,,,,,,,,,,
Introduction,11,Contents of spreadsheet,,,,,,,,,
Introduction,12,,,,,,,,,,
Introduction,13,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,14,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,15,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,16,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,17,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,18,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,19,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,160153,LEXP100K,N,2,Disc,,"Were annual total library expenses greater than or equal to $100,000"
varlist,3,160100,LCOLELYN,N,2,Disc,,Is the Library collection entirely electronic
varlist,4,160105,LPBOOKS,N,8,Cont,XLPBOOKS,Number of physical books
varlist,5,160110,LEBOOKS,N,8,Cont,XLEBOOKS,Number of digital/electronic books
varlist,6,160115,LEDATAB,N,8,Cont,XLEDATAB,Number of digital/electronic databases
varlist,7,160120,LPMEDIA,N,8,Cont,XLPMEDIA,Number of physical media
varlist,8,160125,LEMEDIA,N,8,Cont,XLEMEDIA,Number of digital/electronic media
varlist,9,160300,LPSERIA,N,8,Cont,XLPSERIA,Number of physical serials
varlist,10,160305,LESERIA,N,8,Cont,XLESERIA,Number of electronic serials
varlist,11,160130,LPCLLCT,N,8,Cont,XLPCOLLC,"Total physical library collections (books, media and serials)"
varlist,12,160135,LECLLCT,N,8,Cont,XLECOLLC,"Total electronic library collections (books, databases, media and serials)"
varlist,13,160136,LTCLLCT,N,8,Cont,XLTCLLCT,Total library collections (physical and electronic)
varlist,14,160140,LPCRCLT,N,8,Cont,XLPCRCLT,Total physical library circulations (books and media)
varlist,15,160145,LECRCLT,N,8,Cont,XLECRCLT,Total digital/electronic circulations (books and media)
varlist,16,160146,LTCRCLT,N,8,Cont,XLTCRCLT,Total library circulations (physical and digital/electronic)
varlist,17,160310,LILLDYN,N,2,Disc,,Does institution have interlibrary loan services ?
varlist,18,160210,LILLDPR,N,8,Cont,XLILLDPR,Total interlibrary loans and documents provided to other libraries
varlist,19,160215,LILLDRC,N,8,Cont,XLILLDRC,Total interlibrary loans and documents received
varlist,20,160325,LILSYN,N,2,Disc,,Does  institution have Library Staff?
varlist,21,160330,LSTOTAL,N,5,Cont,XLSTOTAL,Total library FTE staff
varlist,22,160335,LSLIBRN,N,5,Cont,XLSLIBRN,Librarians FTE staff
varlist,23,160340,LSOPROF,N,5,Cont,XLSOPROF,Other professional FTE staff
varlist,24,160345,LSOPAID,N,5,Cont,XLSOPAID,All other paid FTE staff (Except Student Assistants)
varlist,25,160350,LSSTAST,N,5,Cont,XLSSTAST,Student assistants FTE
varlist,26,160150,LBRANCH,N,3,Cont,XLBRANCH,Number of branches and independent libraries
varlist,27,160155,LSALWAG,N,12,Cont,XSALWAG,Total salaries and wages from the library budget
varlist,28,160160,LFRNGBYN,N,2,Disc,,Are staff fringe benefits paid out of the library budget
varlist,29,160165,LFRNGBN,N,12,Cont,XLFRNGBN,Total fringe benefits
varlist,30,160170,LEXMSBB,N,12,Cont,XLEXMSBB,"One-time purchases of books, serial backfiles, and other materials"
varlist,31,160175,LEXMSCS,N,12,Cont,XLEXMSCS,Ongoing commitments to subscriptions
varlist,32,160180,LEXMSOT,N,12,Cont,XLEXMSOT,Other materials/services expenditures
varlist,33,160185,LEXMSTL,N,12,Cont,XLEXMSTL,Total materials/services expenditures
varlist,34,160190,LEXOMPS,N,12,Cont,XLEXOMPS,Preservation services
varlist,35,160195,LEXOMOT,N,12,Cont,XLEXOMOT,Other operation and maintenance expenditures
varlist,36,160200,LEXOMTL,N,12,Cont,XLEXOMTL,Total operations and maintenance expenditures
varlist,37,160205,LEXPTOT,N,12,Cont,XLEXPTOT,"Total expenditures (salaries/wages, benefits, materials/services, and operations/maintenance)"
varlist,38,160206,LSWMSOM,N,12,Cont,,"Salaries/wages, materials/services, and operations/maintenance"
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
varlist,44,,,,,,,
varlist,45,,,,,,,
varlist,46,,,,,,,
varlist,47,,,,,,,
varlist,48,,,,,,,
varlist,49,,,,,,,
varlist,50,,,,,,,
varlist,51,,,,,,,
varlist,52,,,,,,,
varlist,53,,,,,,,
varlist,54,,,,,,,
varlist,55,,,,,,,
varlist,56,,,,,,,
varlist,57,,,,,,,
varlist,58,,,,,,,
varlist,59,,,,,,,
varlist,60,,,,,,,
varlist,61,,,,,,,
varlist,62,,,,,,,
varlist,63,,,,,,,
varlist,64,,,,,,,
varlist,65,,,,,,,
varlist,66,,,,,,,
varlist,67,,,,,,,
varlist,68,,,,,,,
varlist,69,,,,,,,
varlist,70,,,,,,,
varlist,71,,,,,,,
varlist,72,,,,,,,
varlist,73,,,,,,,
varlist,74,,,,,,,
varlist,75,,,,,,,
varlist,76,,,,,,,
varlist,77,,,,,,,
varlist,78,,,,,,,
varlist,79,,,,,,,
varlist,80,,,,,,,
varlist,81,,,,,,,
varlist,82,,,,,,,
varlist,83,,,,,,,
varlist,84,,,,,,,
varlist,85,,,,,,,
varlist,86,,,,,,,
varlist,87,,,,,,,
varlist,88,,,,,,,
varlist,89,,,,,,,
varlist,90,,,,,,,
varlist,91,,,,,,,
varlist,92,,,,,,,
varlist,93,,,,,,,
varlist,94,,,,,,,
varlist,95,,,,,,,
varlist,96,,,,,,,
varlist,97,,,,,,,
varlist,98,,,,,,,
varlist,99,,,,,,,
varlist,100,,,,,,,
varlist,101,,,,,,,
varlist,102,,,,,,,
varlist,103,,,,,,,
varlist,104,,,,,,,
varlist,105,,,,,,,
varlist,106,,,,,,,
varlist,107,,,,,,,
varlist,108,,,,,,,
varlist,109,,,,,,,
varlist,110,,,,,,,
varlist,111,,,,,,,
varlist,112,,,,,,,
varlist,113,,,,,,,
varlist,114,,,,,,,
varlist,115,,,,,,,
varlist,116,,,,,,,
varlist,117,,,,,,,
varlist,118,,,,,,,
varlist,119,,,,,,,
varlist,120,,,,,,,
varlist,121,,,,,,,
varlist,122,,,,,,,
varlist,123,,,,,,,
varlist,124,,,,,,,
varlist,125,,,,,,,
varlist,126,,,,,,,
varlist,127,,,,,,,
varlist,128,,,,,,,
varlist,129,,,,,,,
varlist,130,,,,,,,
varlist,131,,,,,,,
varlist,132,,,,,,,
varlist,133,,,,,,,
varlist,134,,,,,,,
varlist,135,,,,,,,
varlist,136,,,,,,,
varlist,137,,,,,,,
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,160153,LEXP100K,"Were annual total library expenses greater than or equal to $100,000?

Library expenses - Funds expended by the library (regardless of when received) from its regular budget and from all other sources; e.g., research grants, special projects, gifts and endowments, and fees for services."
Description,3,160100,LCOLELYN,"Institution selects  """"Yes"""" if  library collection is comprised entirely of digital/electronic items and selects """"No"""" if  library collection is comprised of both physical and digital/electronic items. 

Library collections comprise of documents held locally and remote resources for which permanentor temporary access rights have been acquired.  Access rights may be acquired by the library itself, by a consortium and/or through external funding.  Acquisition is to be understood as securing rights and including it on the OPAC (online public access catalog) or other databases of the library."
Description,4,160105,LPBOOKS,"The number of volumes held in the library collection. Volume is a single physical unit of any printed, typewritten, handwritten, mimeographed, or processed work, distinguished from other units by a separate binding, encasement, portfolio, or other clear distinction, which has been cataloged, classified, and made ready for use, and which is typically the unit used to charge circulation transactions."
Description,5,160110,LEBOOKS,"The number of digital/electronic book units held locally and remote units for which permanent or temporary access rights have been acquired. E-books that are available as part of a database are excluded. E-books are digital documents (including those digitized by the library), licensed or not, where searchable text is prevalent, and which can be seen in analogy to a printed book (monograph). Include non-serial government documents."
Description,6,160115,LEDATAB,"The number of licensed digital/electronic databases in the library collection. A database is collection of electronically stored data or unit records (facts, bibliographic data, and texts) with a common user interface and software for the retrieval and manipulation of the data. The data or records are usually collected with a particular intent and relate to a defined topic."
Description,7,160120,LPMEDIA,"The number of units of media materials  that are displayed by visual projection or magnification, or through sound reproduction, or both, including sound recordings, motion pictures and video recordings, and graphic materials. Microforms are excluded. Prior to fiscal year 2014, media materials were not categorized as physical or digital materials separately."
Description,8,160125,LEMEDIA,"The number of units of downloadable media materials featuring video, graphics, or sound, including streaming media and graphic materials that the library has selected as part of its collection. Image databases (ARTStor, AP Photo Archives) are excluded."
