sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for enrollment in selected major fields of study, by race/ethnicity, gender, attendance status, and level of student: Fall 2020",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EF2020CP,,,,,,,,
Introduction,4,  Provisional release:,December 2021,,,,,,,,
Introduction,5,Filename,EF2020CP_RV,,,,,,,,
Introduction,6,  Final/revised release:,November 2022,,,,,,,,
Introduction,7,,
Introduction,8,Overview,"This file contains the number of students enrolled in the fall, by race/ethnicity, gender, attendance (full- or part-time) status and level of student for selected major fields of study.  Major field of studies included are Education, Engineering, Biological Sciences/Life Sciences, Mathematics, Physical Sciences, Business Management and Administrative Services, Law, Dentistry, and Medicine. This data file contains enrollment data for 4-year institutions only.  Institutions with traditional academic year calendar systems (semester, quarter, trimester or  4-1-4) report their enrollment as of October 15 or the official fall reporting date of the institution. Institutions with calendar systems that differ by program or allow continuous enrollment report students that are enrolled at any time between August 1 and October 31. This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the major field of study, attendance status and level of student (EFCIPLEV).   Each record will contain the total enrollment,  enrollment for men and women, and the total enrollment and enrollment for men and women for all nine race/ethnicity categories. 
",,,,,,,,
Introduction,9,Note:,"Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) Web Tables.  Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,
Introduction,10,,,,,,,,,,
Introduction,11,Contents of spreadsheet,,,,,,,,,
Introduction,12,,,,,,,,,,
Introduction,13,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,14,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,15,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,16,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,17,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,18,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,19,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,24544,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,21126,EFCIPLEV,N,3,Disc,,Major field of study
varlist,3,21994,CIPCODE,A,7,Disc,,CIP Code for major field of study
varlist,4,21995,LINE,N,2,Disc,,Level of student (original line number on survey form)
varlist,5,21996,SECTION,N,1,Disc,,Attendance status of student
varlist,6,21997,LSTUDY,N,1,Disc,,Level of student
varlist,7,21246,EFTOTLT,N,6,Cont,XEFTOTLT,Grand total
varlist,8,21201,EFTOTLM,N,6,Cont,XEFTOTLM,Total men
varlist,9,21206,EFTOTLW,N,6,Cont,XEFTOTLW,Total women
varlist,10,24504,EFAIANT,N,6,Cont,XEFAIANT,American Indian or Alaska Native total
varlist,11,24506,EFAIANM,N,6,Cont,XEFAIANM,American Indian or Alaska Native men
varlist,12,24508,EFAIANW,N,6,Cont,XEFAIANW,American Indian or Alaska Native women
varlist,13,24510,EFASIAT,N,6,Cont,XEFASIAT,Asian total
varlist,14,24512,EFASIAM,N,6,Cont,XEFASIAM,Asian men
varlist,15,24514,EFASIAW,N,6,Cont,XEFASIAW,Asian women
varlist,16,24516,EFBKAAT,N,6,Cont,XEFBKAAT,Black or African American total
varlist,17,24518,EFBKAAM,N,6,Cont,XEFBKAAM,Black or African American men
varlist,18,24520,EFBKAAW,N,6,Cont,XEFBKAAW,Black or African American women
varlist,19,24522,EFHISPT,N,6,Cont,XEFHISPT,Hispanic total
varlist,20,24524,EFHISPM,N,6,Cont,XEFHISPM,Hispanic men
varlist,21,24526,EFHISPW,N,6,Cont,XEFHISPW,Hispanic women
varlist,22,24528,EFNHPIT,N,6,Cont,XEFNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,23,24530,EFNHPIM,N,6,Cont,XEFNHPIM,Native Hawaiian or Other Pacific Islander men
varlist,24,24532,EFNHPIW,N,6,Cont,XEFNHPIW,Native Hawaiian or Other Pacific Islander women
varlist,25,24534,EFWHITT,N,6,Cont,XEFWHITT,White total
varlist,26,24536,EFWHITM,N,6,Cont,XEFWHITM,White men
varlist,27,24538,EFWHITW,N,6,Cont,XEFWHITW,White women
varlist,28,24540,EF2MORT,N,6,Cont,XEF2MORT,Two or more races total
varlist,29,24542,EF2MORM,N,6,Cont,XEF2MORM,Two or more races men
varlist,30,24544,EF2MORW,N,6,Cont,XEF2MORW,Two or more races women
varlist,31,21241,EFUNKNT,N,6,Cont,XEFUNKNT,Race/ethnicity unknown total
varlist,32,21191,EFUNKNM,N,6,Cont,XEFUNKNM,Race/ethnicity unknown men
varlist,33,21196,EFUNKNW,N,6,Cont,XEFUNKNW,Race/ethnicity unknown women
varlist,34,21211,EFNRALT,N,6,Cont,XEFNRALT,Nonresident alien total
varlist,35,21131,EFNRALM,N,6,Cont,XEFNRALM,Nonresident alien men
varlist,36,21136,EFNRALW,N,6,Cont,XEFNRALW,Nonresident alien women
varlist,37,,,,,,,
varlist,38,,,,,,,
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
varlist,44,,,,,,,
varlist,45,,,,,,,
varlist,46,,,,,,,
varlist,47,,,,,,,
varlist,48,,,,,,,
