sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for enrollment in selected major fields of study, by race/ethnicity, gender, attendance status, and level of student: Fall 2022",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EF2022CP,,,,,,,,
Introduction,4,  Provisional release:,January 2024,,,,,,,,
Introduction,5,Filename,EF2022CP_RV,,,,,,,,
Introduction,6,  Final release:,December 2024,,,,,,,,
Introduction,7,,
Introduction,8,Overview,"This file contains the number of students enrolled in the fall, by race/ethnicity, gender, attendance (full- or part-time) status and level of student for selected major fields of study.  Major field of studies included are Education, Engineering, Biological Sciences/Life Sciences, Mathematics, Physical Sciences, Business Management and Administrative Services, Law, Dentistry, and Medicine. This data file contains enrollment data for 4-year institutions only.  Institutions with traditional academic year calendar systems (semester, quarter, trimester or  4-1-4) report their enrollment as of October 15 or the official fall reporting date of the institution. Institutions with calendar systems that differ by program or allow continuous enrollment report students that are enrolled at any time between August 1 and October 31. This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the major field of study, attendance status and level of student (EFCIPLEV).   Each record will contain the total enrollment,  enrollment for men and women, and the total enrollment and enrollment for men and women for all nine race/ethnicity categories. 
",,,,,,,,
Introduction,9,Note:,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Provisional release),,,,,,,,
Introduction,14,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Provisional release)",,,,,,,,
Introduction,15,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Final/revised release),,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Final/revised release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,24544,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,21126,EFCIPLEV,N,3,Disc,,Major field of study
varlist,3,21994,CIPCODE,A,7,Disc,,CIP Code for major field of study
varlist,4,21995,LINE,N,2,Disc,,Level of student (original line number on survey form)
varlist,5,21996,SECTION,N,1,Disc,,Attendance status of student
varlist,6,21997,LSTUDY,N,1,Disc,,Level of student
varlist,7,21246,EFTOTLT,N,6,Cont,XEFTOTLT,Grand total
varlist,8,21201,EFTOTLM,N,6,Cont,XEFTOTLM,Total men
varlist,9,21206,EFTOTLW,N,6,Cont,XEFTOTLW,Total women
varlist,10,24504,EFAIANT,N,6,Cont,XEFAIANT,American Indian or Alaska Native total
varlist,11,24506,EFAIANM,N,6,Cont,XEFAIANM,American Indian or Alaska Native men
varlist,12,24508,EFAIANW,N,6,Cont,XEFAIANW,American Indian or Alaska Native women
varlist,13,24510,EFASIAT,N,6,Cont,XEFASIAT,Asian total
varlist,14,24512,EFASIAM,N,6,Cont,XEFASIAM,Asian men
varlist,15,24514,EFASIAW,N,6,Cont,XEFASIAW,Asian women
varlist,16,24516,EFBKAAT,N,6,Cont,XEFBKAAT,Black or African American total
varlist,17,24518,EFBKAAM,N,6,Cont,XEFBKAAM,Black or African American men
varlist,18,24520,EFBKAAW,N,6,Cont,XEFBKAAW,Black or African American women
varlist,19,24522,EFHISPT,N,6,Cont,XEFHISPT,Hispanic total
varlist,20,24524,EFHISPM,N,6,Cont,XEFHISPM,Hispanic men
varlist,21,24526,EFHISPW,N,6,Cont,XEFHISPW,Hispanic women
varlist,22,24528,EFNHPIT,N,6,Cont,XEFNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,23,24530,EFNHPIM,N,6,Cont,XEFNHPIM,Native Hawaiian or Other Pacific Islander men
varlist,24,24532,EFNHPIW,N,6,Cont,XEFNHPIW,Native Hawaiian or Other Pacific Islander women
varlist,25,24534,EFWHITT,N,6,Cont,XEFWHITT,White total
varlist,26,24536,EFWHITM,N,6,Cont,XEFWHITM,White men
varlist,27,24538,EFWHITW,N,6,Cont,XEFWHITW,White women
varlist,28,24540,EF2MORT,N,6,Cont,XEF2MORT,Two or more races total
varlist,29,24542,EF2MORM,N,6,Cont,XEF2MORM,Two or more races men
varlist,30,24544,EF2MORW,N,6,Cont,XEF2MORW,Two or more races women
varlist,31,21241,EFUNKNT,N,6,Cont,XEFUNKNT,Race/ethnicity unknown total
varlist,32,21191,EFUNKNM,N,6,Cont,XEFUNKNM,Race/ethnicity unknown men
varlist,33,21196,EFUNKNW,N,6,Cont,XEFUNKNW,Race/ethnicity unknown women
varlist,34,21211,EFNRALT,N,6,Cont,XEFNRALT,U.S. Nonresident total
varlist,35,21131,EFNRALM,N,6,Cont,XEFNRALM,U.S. Nonresident men
varlist,36,21136,EFNRALW,N,6,Cont,XEFNRALW,U.S. Nonresident women
Description,0,varnumber,varname,longDescription
Description,1,24544,UNITID,Unique identification number of the institution
Description,2,21126,EFCIPLEV,"Fall enrollment by race/ethnicity - Major field of study
Identifies enrollment byr major field of study for the selected programs/fields..
Note: these are the only fields of study required from 4-year institutions for the Office for Civil Rights. 
 13.0000 Education 
 14.0000 Engineering 
 22.0101 Law (LL.B., J.D.) 
 26.0000 Biological Sciences/Life Sciences 
 27.0000 Mathematics 
 40.0000 Physical Sciences 
 51.0401 Dentistry (D.D.S., D.M.D.) 
 51.1201 Medicine (M.D.) 
 52.0000 Business Management & Admin. Services 
 Classification of instructional program (CIP code) 
Related glossary links
CIP CODE -  A six-digit code in the form xx.xxxx that identifies instructional program 
specialties within educational institutions."
Description,3,21994,CIPCODE,CIP Code for major field of study
Description,4,21995,LINE,Level of student (original line number on survey form)
Description,5,21996,SECTION,Attendance status of student - Defines full and part-time status of student
Description,6,21997,LSTUDY,Level of student
Description,7,21246,EFTOTLT,"Grand total men and women enrolled for credit during the fall.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award.
NOTE: Enrollment reported is of the institution's official fall reporting date or October 15.
Applicable to four-year institutions"
Description,8,21201,EFTOTLM,"Grand total men enrolled for credit during the fall.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award.
NOTE: Enrollment reported is of the institution's official fall reporting date or October 15.
Applicable to four-year institutions"
Description,9,21206,EFTOTLW,"Grand total women enrolled for credit durning the fall.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award.
NOTE: Enrollment reported is of the institution's official fall reporting date or October 15.
Applicable to four-year institutions"
Description,10,24504,EFAIANT,"American Indian or Alaska Native men and women enrolled for credit during the fall.

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,11,24506,EFAIANM,"American Indian or Alaska Native men enrolled for credit during the fall.

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,12,24508,EFAIANW,"American Indian or Alaska Native women enrolled for credit during the fall.

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,13,24510,EFASIAT,"Asian men and women enrolled for credit during the fall.

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,14,24512,EFASIAM,"Asian men enrolled for credit during the fall.

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,15,24514,EFASIAW,"Asian women enrolled for credit during the fall.

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,16,24516,EFBKAAT,"Black or African American men and women enrolled for credit during the fall.

Black or African American - A person having origins in any of the black racial groups of Africa.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,17,24518,EFBKAAM,"Black or African American men enrolled for credit during the fall.

Black or African American - A person having origins in any of the black racial groups of Africa.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,18,24520,EFBKAAW,"Black or African American women enrolled for credit during the fall.

Black or African American - A person having origins in any of the black racial groups of Africa.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,19,24522,EFHISPT,"Hispanic or Latino men and women enrolled for credit during the fall.

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,20,24524,EFHISPM,"Hispanic or Latino men enrolled for credit during the fall.

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,21,24526,EFHISPW,"Hispanic or Latino women enrolled for credit during the fall

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,22,24528,EFNHPIT,"Native Hawaiian or Other Pacific Islanders men and women enrolled for credit during the fall.

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,23,24530,EFNHPIM,"Native Hawaiian or Other Pacific Islanders men enrolled for credit during the fall.

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,24,24532,EFNHPIW,"Native Hawaiian or Other Pacific Islanders women enrolled for credit during the fall.

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,25,24534,EFWHITT,"White men and women enrolled for credit during the fall.

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,26,24536,EFWHITM,"White men enrolled for credit during the fall.

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,27,24538,EFWHITW,"White women enrolled for credit during the fall.

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,28,24540,EF2MORT,"Men and women of two or more races enrolled for credit during the fall.  

Two or more races - Category used by institutions to report persons who selected more than one race.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,29,24542,EF2MORM,"Men of two or more races enrolled for credit during the fall.  

Two or more races - Category used by institutions to report persons who selected more than one race.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
Description,30,24544,EF2MORW,"Women of two or more races enrolled for credit during the 12-month period.  

Two or more races - Category used by institutions to report persons who selected more than one race.

CREDIT - Recognition of attendance or performance in an instructional activity (course or program) that can be applied by a recipient toward the requirements for a degree, diploma, certificate, or other formal award. 

NOTE: Enrollment reported is of the institution^s official fall reporting date or October 15."
