sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for residence and migration of first-time undergraduate students: Fall 2023,,,,,,,,,
Introduction,1,(Provisional release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EF2023C
Introduction,4,Overview,"This file contains the number of first-time freshmen by state of residence, along with data on the number who graduated from high school the previous year.  Institutions with traditional academic year calendar systems (semester, quarter, trimester or  4-1-4) report their enrollment as of October 15 or the official fall reporting date of the institution. Institutions with calendar systems that differ by program or allow continuous enrollment report students that are enrolled at any time between August 1 and October 31. This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the state of residence (EFCSTATE).   
",,,,,,,,
Introduction,5,Note,Submission of enrollment of first-time undergraduate students by residency is mandatory in even-numbered years and optional in odd-numbered years. Do not use these data in odd-numbered years to produce national or state estimates as data will not be available from all institutions. Data in optional years are provided to allow users to compare institutional level data among reporting institutions.,,,,,,,,
Introduction,6,,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.",,,,,,,,
Introduction,7,Contents of spreadsheet,,,,,,,,,
Introduction,8,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,9,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,10,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.,,,,,,,,
Introduction,11,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,12,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
Varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
Varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
Varlist,2,20546,EFCSTATE,N,2,Disc,,State of residence when student was first admitted
Varlist,3,21993,LINE,N,3,Disc,,State of residence  (original line number on survey form)
Varlist,4,20551,EFRES01,N,6,Cont,XEFRES01,First-time degree/certificate-seeking undergraduate students
Varlist,5,20556,EFRES02,N,6,Cont,XEFRES02,First-time degree/certificate-seeking undergraduate students who graduated from high school in the past 12 months
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,20546,EFCSTATE,"Residence of First-time Freshmen 
State of residence of first-time, first-year degree-seeking student, when first admitted,
state codes are consistent with state fips codes.

STATE OF RESIDENCE - A person’s permanent address as determined by such evidence as a driver’s license or voter registration. For entering freshmen, state of residence may be the legal state of residence of a parent or guardian."
Description,3,21993,LINE,State of residence (original line number on survey form)
Description,4,20551,EFRES01,"Residence of first-time freshmen

First-time degree/certificate-seeking undergraduate students only.

FIRST-TIME STUDENT (UNDERGRADUATE) -A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 

DEGREE/CERTIFICATE-SEEKING STUDENTS - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
Description,5,20556,EFRES02,"Residence of first-time freshmen

First-time degree/certificate-seeking undergraduate students who graduated from high school in the past 12 months

FIRST-TIME STUDENT (UNDERGRADUATE) -A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 

DEGREE/CERTIFICATE-SEEKING STUDENTS - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
Frequencies,0,varnumber,varname,codevalue,valuelabel,frequency,percent
Frequencies,1,20546,EFCSTATE,99,"All first-time degree/certificate seeking undergraduates, total",2192,5.43
Frequencies,2,20546,EFCSTATE,58,US total,2167,5.36
Frequencies,3,20546,EFCSTATE,1,Alabama,599,1.48
Frequencies,4,20546,EFCSTATE,2,Alaska,392,0.97
Frequencies,5,20546,EFCSTATE,4,Arizona,824,2.04
Frequencies,6,20546,EFCSTATE,5,Arkansas,513,1.27
Frequencies,7,20546,EFCSTATE,6,California,1204,2.98
Frequencies,8,20546,EFCSTATE,8,Colorado,891,2.21
Frequencies,9,20546,EFCSTATE,9,Connecticut,655,1.62
Frequencies,10,20546,EFCSTATE,10,Delaware,440,1.0900000000000001
Frequencies,11,20546,EFCSTATE,11,District of Columbia,343,0.85
Frequencies,12,20546,EFCSTATE,12,Florida,1203,2.98
Frequencies,13,20546,EFCSTATE,13,Georgia,983,2.4300000000000002
Frequencies,14,20546,EFCSTATE,15,Hawaii,494,1.22
Frequencies,15,20546,EFCSTATE,16,Idaho,421,1.04
Frequencies,16,20546,EFCSTATE,17,Illinois,999,2.4700000000000002
Frequencies,17,20546,EFCSTATE,18,Indiana,743,1.84
Frequencies,18,20546,EFCSTATE,19,Iowa,489,1.21
Frequencies,19,20546,EFCSTATE,20,Kansas,540,1.34
Frequencies,20,20546,EFCSTATE,21,Kentucky,618,1.53
Frequencies,21,20546,EFCSTATE,22,Louisiana,607,1.5
Frequencies,22,20546,EFCSTATE,23,Maine,395,0.98
Frequencies,23,20546,EFCSTATE,24,Maryland,807,2
Frequencies,24,20546,EFCSTATE,25,Massachusetts,698,1.73
Frequencies,25,20546,EFCSTATE,26,Michigan,801,1.98
Frequencies,26,20546,EFCSTATE,27,Minnesota,682,1.69
Frequencies,27,20546,EFCSTATE,28,Mississippi,406,1.01
Frequencies,28,20546,EFCSTATE,29,Missouri,753,1.86
Frequencies,29,20546,EFCSTATE,30,Montana,348,0.86
