sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for graduation rate data, 200% of normal time to complete - cohort year 2012 (4-year institutions) - cohort year 2016 (less than 4-year institutions) : 2020",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,Filename,GR200_20,,,,,,,,
Introduction,3,  Provisional release:,October 2021,,,,,,,,
Introduction,4,Filename,GR200_20_RV,,,,,,,,
Introduction,5,  Final/revised release:,October 2022,,,,,,,,
Introduction,6,,,,,,,,,,
Introduction,7,Overview,"This file contains the graduation rate status as of August 31, 2020 for the cohort of full-time, first-time degree/certificate-seeking undergraduates. Data for four year institutions include the number of bachelor degree-seeking students who were enrolled in 2012, the number of bachelor degree seeking students who completed a bachelor's degree within 100, 150  or 200 percent of normal time.  Data for less than 4-year institutions include the number of full-time, first-time students who were enrolled in 2016, the number of students who completed any degree/certificate within 100, 150, or 200 percent of normal time.   
",,,,,,,,
Introduction,8,,,,,,,,,,
Introduction,9,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match the First Look Web tables based on provisional data. ",,,,,,,,
Introduction,10,,,,,,,,,,
Introduction,11,Contents of spreadsheet,,,,,,,,,
Introduction,12,,,,,,,,,,
Introduction,13,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,14,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,15,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,81281,BAREVCT,N,6,Cont,XBAREVCT,"Revised bachelor's degree-seeking cohort, (cohort year 2012)"
varlist,3,81286,BAEXCLU,N,6,Cont,XBAEXCLU,Exclusions from bachelor's degree-seeking cohort within 150% percent of normal time
varlist,4,81291,BAAC150,N,6,Cont,XBAAC150,Adjusted bachelor's degree-seeking cohort within 150% of normal time
varlist,5,81296,BANC100,N,6,Cont,XBANC100,Number completed a bachelor's degree within 100% of normal time (4-years)
varlist,6,81301,BAGR100,N,6,Cont,XBAGR100,4-year Graduation rate - bachelor's degree within 100% of normal time
varlist,7,81306,BANC150,N,6,Cont,XBANC150,Number completed a bachelor's degree within 150% of normal time (6-years)
varlist,8,81311,BAGR150,N,6,Cont,XBAGR150,6-year Graduation rate - bachelor's degree within 150% of normal time
varlist,9,81316,BAAEXCL,N,6,Cont,XBAAEXCL,Additional exclusions from bachelor's degree-seeking cohort
varlist,10,81321,BAAC200,N,6,Cont,XBAAC200,Adjusted bachelor's degree-seeking cohort within 200% of normal time
varlist,11,81326,BANC200A,N,6,Cont,XBANC20A,Number completed a bachelor's degree between 150% and 200% of normal time
varlist,12,81338,BASTEND,N,6,Cont,XBASTEND,Still enrolled
varlist,13,81331,BANC200,N,6,Cont,XBANC200,Number completed a bachelor's degree within 200% of normal time (8-years)
varlist,14,81336,BAGR200,N,6,Cont,XBAGR200,8-year Graduation rate - bachelor's degree within 200% of normal time
varlist,15,81341,L4REVCT,N,6,Cont,XL4REVCT,"Revised degree/certificate-seeking cohort, (cohort year 2016)"
varlist,16,81346,L4EXCLU,N,6,Cont,XL4EXCLU,Exclusions from degree/certificate-seeking cohort within 150% percent of normal time
varlist,17,81351,L4AC150,N,6,Cont,XL4AC150,Adjusted degree/certificate-seeking cohort within 150% of normal time
varlist,18,81356,L4NC100,N,6,Cont,XL4NC100,Number completed a degree/certificate within 100% of normal time
varlist,19,81361,L4GR100,N,6,Cont,XL4GR100,Graduation rate - degree/certificate within 100% of normal time
varlist,20,81366,L4NC150,N,6,Cont,XL4NC150,Number completed a degree/certificate  within 150% of normal time
varlist,21,81371,L4GR150,N,6,Cont,XL4GR150,Graduation rate - degree/certificate within 150% of normal time
varlist,22,81376,L4AEXCL,N,6,Cont,XL4AEXCL,Additional exclusions from degree/certificate-seeking cohort
