sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for graduation rate data, 150% of normal time to complete - cohort year 2015 (4-year) and cohort year 2018 (2-year) institutions:  2021",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,Filename,GR2021,,,,,,,,
Introduction,3,  Provisional release:,October 2022,,,,,,,,
Introduction,4,Filename,GR2021_RV,,,,,,,,
Introduction,5,  Final/revised release:,November 2023
Introduction,6,
Introduction,7,Overview,"This file contains the graduation rate status as of August 31, 2021 for the cohort of full-time, first-time degree/certificate-seeking undergraduates in both four year and two year institutions. Data for four year institutions include the number of bachelor degree-seeking students who were enrolled in 2015, the number of bachelor degree seeking students who completed any degree/certificate within 150 percent of normal time, the number who completed a bachelor's degree within 100, 125 or 150 percent of normal time, and the number of bachelor's degree-seeking students who transferred out.   Data for students seeking a degree/certificate other than a bachelor's degree are also included for four year institutions. Data for two year institutions include the number of full-time, first-time students who were enrolled in 2018, the number of students who completed any degree/certificate within 100 or 150 percent of normal time and the number of students who transferred out.   This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the cohort and graduation status within the cohort (GRTYPE).  Each record will contain the above data by gender and race/ethnicity. Note: The number of students who completed a degree/certificate within 100 percent of normal time is not available by race/ethnicity and gender.
",,,,,,,,
Introduction,8,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match the First Look Web tables based on provisional data. ",,,,,,,,
Introduction,9,Contents of spreadsheet,,,,,,,,,
Introduction,10,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,11,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,12,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,13,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,14,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,15,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,16,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,80176,GRTYPE,N,4,Disc,,Cohort data
varlist,3,80900,CHRTSTAT,N,2,Disc,,Graduation rate status in cohort
varlist,4,80902,SECTION,N,1,Disc,,Section of survey form
varlist,5,80901,COHORT,N,1,Disc,,Cohort
varlist,6,80903,LINE,A,3,Disc,,Original line number of survey form
varlist,7,80296,GRTOTLT,N,6,Cont,XGRTOTLT,Grand total
varlist,8,80251,GRTOTLM,N,6,Cont,XGRTOTLM,Total men
varlist,9,80256,GRTOTLW,N,6,Cont,XGRTOTLW,Total women
varlist,10,81176,GRAIANT,N,6,Cont,XGRAIANT,American Indian or Alaska Native total
varlist,11,81111,GRAIANM,N,6,Cont,XGRAIANM,American Indian or Alaska Native men
varlist,12,81116,GRAIANW,N,6,Cont,XGRAIANW,American Indian or Alaska Native women
varlist,13,81181,GRASIAT,N,6,Cont,XGRASIAT,Asian total
varlist,14,81121,GRASIAM,N,6,Cont,XGRASIAM,Asian men
varlist,15,81126,GRASIAW,N,6,Cont,XGRASIAW,Asian women
varlist,16,81186,GRBKAAT,N,6,Cont,XGRBKAAT,Black or African American total
varlist,17,81131,GRBKAAM,N,6,Cont,XGRBKAAM,Black or African American men
varlist,18,81136,GRBKAAW,N,6,Cont,XGRBKAAW,Black or African American women
varlist,19,81171,GRHISPT,N,6,Cont,XGRHISPT,Hispanic total
varlist,20,81101,GRHISPM,N,6,Cont,XGRHISPM,Hispanic men
varlist,21,81106,GRHISPW,N,6,Cont,XGRHISPW,Hispanic women
varlist,22,81191,GRNHPIT,N,6,Cont,XGRNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,23,81141,GRNHPIM,N,6,Cont,XGRNHPIM,Native Hawaiian or Other Pacific Islander men
varlist,24,81146,GRNHPIW,N,6,Cont,XGRNHPIW,Native Hawaiian or Other Pacific Islander women
varlist,25,81196,GRWHITT,N,6,Cont,XGRWHITT,White total
varlist,26,81151,GRWHITM,N,6,Cont,XGRWHITM,White men
varlist,27,81156,GRWHITW,N,6,Cont,XGRWHITW,White women
varlist,28,81201,GR2MORT,N,6,Cont,XGR2MORT,Two or more races total
varlist,29,81161,GR2MORM,N,6,Cont,XGR2MORM,Two or more races men
varlist,30,81166,GR2MORW,N,6,Cont,XGR2MORW,Two or more races women
varlist,31,80291,GRUNKNT,N,6,Cont,XGRUNKNT,Race/ethnicity unknown total
varlist,32,80241,GRUNKNM,N,6,Cont,XGRUNKNM,Race/ethnicity unknown men
varlist,33,80246,GRUNKNW,N,6,Cont,XGRUNKNW,Race/ethnicity unknown women
varlist,34,80261,GRNRALT,N,6,Cont,XGRNRALT,Nonresident alien total
varlist,35,80181,GRNRALM,N,6,Cont,XGRNRALM,Nonresident alien men
varlist,36,80186,GRNRALW,N,6,Cont,XGRNRALW,Nonresident alien women
varlist,37,,,,,,,
varlist,38,,,,,,,
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
