sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for graduation rate data, 150% of normal time to complete - cohort year 2016 (4-year) and cohort year 2019 (2-year) institutions:  2022",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,Filename,GR2022
Introduction,3, Provisional release:,December 2023
Introduction,4,Filename,GR2022_RV
Introduction,5, Final release:,September 2024
Introduction,6,Overview,"This file contains the graduation rate status as of August 31, 2022 for the cohort of full-time, first-time degree/certificate-seeking undergraduates in both four year and two year institutions. Data for four year institutions include the number of bachelor degree-seeking students who were enrolled in 2016, the number of bachelor degree seeking students who completed any degree/certificate within 150 percent of normal time, the number who completed a bachelor's degree within 100, 125 or 150 percent of normal time, and the number of bachelor's degree-seeking students who transferred out.   Data for students seeking a degree/certificate other than a bachelor's degree are also included for four year institutions. Data for two year institutions include the number of full-time, first-time students who were enrolled in 2019, the number of students who completed any degree/certificate within 100 or 150 percent of normal time and the number of students who transferred out.   This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the cohort and graduation status within the cohort (GRTYPE).  Each record will contain the above data by gender and race/ethnicity. Note: The number of students who completed a degree/certificate within 100 percent of normal time is not available by race/ethnicity and gender.
",,,,,,,,
Introduction,7,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  ",,,,,,,,
Introduction,8,Contents of spreadsheet,,,,,,,,,
Introduction,9,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,10,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,11,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable. (Provisional release),,,,,,,,
Introduction,12,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Provisional release)",,,,,,,,
Introduction,13,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable. (Final/revised release),,,,,,,,
Introduction,14,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Final/revised release)",,,,,,,,
Introduction,15,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,80176,GRTYPE,N,4,Disc,,Cohort data
varlist,3,80900,CHRTSTAT,N,2,Disc,,Graduation rate status in cohort
varlist,4,80902,SECTION,N,1,Disc,,Section of survey form
varlist,5,80901,COHORT,N,1,Disc,,Cohort
varlist,6,80903,LINE,A,3,Disc,,Original line number of survey form
varlist,7,80296,GRTOTLT,N,6,Cont,XGRTOTLT,Grand total
varlist,8,80251,GRTOTLM,N,6,Cont,XGRTOTLM,Total men
varlist,9,80256,GRTOTLW,N,6,Cont,XGRTOTLW,Total women
varlist,10,81176,GRAIANT,N,6,Cont,XGRAIANT,American Indian or Alaska Native total
varlist,11,81111,GRAIANM,N,6,Cont,XGRAIANM,American Indian or Alaska Native men
varlist,12,81116,GRAIANW,N,6,Cont,XGRAIANW,American Indian or Alaska Native women
varlist,13,81181,GRASIAT,N,6,Cont,XGRASIAT,Asian total
varlist,14,81121,GRASIAM,N,6,Cont,XGRASIAM,Asian men
varlist,15,81126,GRASIAW,N,6,Cont,XGRASIAW,Asian women
varlist,16,81186,GRBKAAT,N,6,Cont,XGRBKAAT,Black or African American total
varlist,17,81131,GRBKAAM,N,6,Cont,XGRBKAAM,Black or African American men
varlist,18,81136,GRBKAAW,N,6,Cont,XGRBKAAW,Black or African American women
varlist,19,81171,GRHISPT,N,6,Cont,XGRHISPT,Hispanic total
varlist,20,81101,GRHISPM,N,6,Cont,XGRHISPM,Hispanic men
varlist,21,81106,GRHISPW,N,6,Cont,XGRHISPW,Hispanic women
varlist,22,81191,GRNHPIT,N,6,Cont,XGRNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,23,81141,GRNHPIM,N,6,Cont,XGRNHPIM,Native Hawaiian or Other Pacific Islander men
varlist,24,81146,GRNHPIW,N,6,Cont,XGRNHPIW,Native Hawaiian or Other Pacific Islander women
varlist,25,81196,GRWHITT,N,6,Cont,XGRWHITT,White total
varlist,26,81151,GRWHITM,N,6,Cont,XGRWHITM,White men
varlist,27,81156,GRWHITW,N,6,Cont,XGRWHITW,White women
varlist,28,81201,GR2MORT,N,6,Cont,XGR2MORT,Two or more races total
varlist,29,81161,GR2MORM,N,6,Cont,XGR2MORM,Two or more races men
varlist,30,81166,GR2MORW,N,6,Cont,XGR2MORW,Two or more races women
varlist,31,80291,GRUNKNT,N,6,Cont,XGRUNKNT,Race/ethnicity unknown total
varlist,32,80241,GRUNKNM,N,6,Cont,XGRUNKNM,Race/ethnicity unknown men
varlist,33,80246,GRUNKNW,N,6,Cont,XGRUNKNW,Race/ethnicity unknown women
varlist,34,80261,GRNRALT,N,6,Cont,XGRNRALT,U.S. Nonresident total
varlist,35,80181,GRNRALM,N,6,Cont,XGRNRALM,U.S. Nonresident men
varlist,36,80186,GRNRALW,N,6,Cont,XGRNRALW,U.S. Nonresident women
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,80176,GRTYPE,"Cohort status defines the graduation status students of the cohort.
NORMAL TIME TO COMPLETION - The amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs. 
COMPLETERS WITHIN 150% (OF NORMAL TIME) - Students (within a cohort or subcohort) who completed their program within 150% of the normal time to completion. See Normal Time.
BACHELOR'S DEGREE - An award (baccalaureate or equivalent degree, as determined by the Secretary, U.S. Department of Education) that normally requires at least 4 but NOT more than 5 years of full-time equivalent college-level work. This includes ALL bachelor's degrees conferred in a 5-year COOPERATIVE (WORK-STUDY PLAN) PROGRAM. A cooperative plan provides for alternate class attendance and employment in business, industry, or government; thus, it allows students to combine actual work experience with their college studies. Also, includes bachelor's degrees in which the normal 4 years of work are completed in 3 years
TOTAL TRANSFER-OUT STUDENTS (NON-COMPLETERS) - Total number of students from the cohort or subcohort who transferred out at any time within 150% of normal time to completion. A transfer-out student is a student who has not completed or graduated from the program in which he or she was enrolled, but who has subsequently enrolled at another eligible institution in any program for which the reporting institution provided substantial preparation. 
EXCLUSIONS - Students from the cohort or subcohort who left the institution for any of the following reasons: died or were totally and permanently disabled; to serve in the armed forces; to serve with a foreign aid service of the Federal Government, such as the Peace Corps; or to serve on official church missions."
Description,3,80900,CHRTSTAT,Graduation rate status in cohort
Description,4,80902,SECTION,Section of survey form
Description,5,80901,COHORT,Cohort
Description,6,80903,LINE,Original line number of survey form
Description,7,80296,GRTOTLT,Grand total (men and women) in cohort
Description,8,80251,GRTOTLM,Grand total men in cohort
Description,9,80256,GRTOTLW,Grand total women in cohort
Description,10,81176,GRAIANT,"American Indian or Alaska Native men and women in cohort.

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment."
Description,11,81111,GRAIANM,"American Indian or Alaska Native men in cohort.

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment."
Description,12,81116,GRAIANW,"American Indian or Alaska Native women in cohort

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment."
Description,13,81181,GRASIAT,"Asian men and women in cohort.

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam."
Description,14,81121,GRASIAM,"Asian men in cohort.

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam."
Description,15,81126,GRASIAW,"Asian women in cohort.

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam."
Description,16,81186,GRBKAAT,"Black or African American women in cohort.

Black or African American - A person having origins in any of the black racial groups of Africa."
Description,17,81131,GRBKAAM,"Black or African American men in cohort.

Black or African American - A person having origins in any of the black racial groups of Africa."
Description,18,81136,GRBKAAW,"Black or African American women in cohort.

Black or African American - A person having origins in any of the black racial groups of Africa."
Description,19,81171,GRHISPT,"Hispanic or Latino men and women in cohort.

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race."
Description,20,81101,GRHISPM,"Hispanic or Latino men in cohort.

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race."
Description,21,81106,GRHISPW,"Hispanic or Latino women in cohort.

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race."
Description,22,81191,GRNHPIT,"Native Hawaiian or Other Pacific Islanders men and women in cohort.

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands."
Description,23,81141,GRNHPIM,"Native Hawaiian or Other Pacific Islanders men in cohort.

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands."
Description,24,81146,GRNHPIW,"Native Hawaiian or Other Pacific Islanders women in cohort.

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands."
Description,25,81196,GRWHITT,"White men and women in cohort.

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa."
Description,26,81151,GRWHITM,"White men in cohort.

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa."
Description,27,81156,GRWHITW,"White women in cohort.

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa."
Description,28,81201,GR2MORT,"Men and women of two or more races in cohort.  

Two or more races - Category used by institutions to report persons who selected more than one race."
Description,29,81161,GR2MORM,"Men of two or more races in cohort.  

Two or more races - Category used by institutions to report persons who selected more than one race."
Description,30,81166,GR2MORW,"Women of two or more races in cohort.  

Two or more races - Category used by institutions to report persons who selected more than one race."
Description,31,80291,GRUNKNT,"Race/ethnicity unknown total
Race/ethnicity unknown - This category is used ONLY if the student did not select a racial/ethnic designation, AND the postsecondary institution finds it impossible to place the student in one of the aforementioned racial/ethnic categories during established enrollment procedures or in any post-enrollment identification or verification process."
Description,32,80241,GRUNKNM,"Race/ethnicity unknown men in cohort
Race/ethnicity unknown - This category is used ONLY if the student did not select a racial/ethnic designation, AND the postsecondary institution finds it impossible to place the student in one of the aforementioned racial/ethnic categories during established enrollment procedures or in any post-enrollment identification or verification process."
Description,33,80246,GRUNKNW,"Race/ethnicity unknown women in cohort
Race/ethnicity unknown - This category is used ONLY if the student did not select a racial/ethnic designation, AND the postsecondary institution finds it impossible to place the student in one of the aforementioned racial/ethnic categories during established enrollment procedures or in any post-enrollment identification or verification process."
Description,34,80261,GRNRALT,"U.S. Nonresident total

U.S. Nonresident - A person who is not a citizen or national of the United States and who is in this country on a visa or temporary basis and does not have the right to remain indefinitely.
NOTE - U.S. Nonresidents are included here, rather than in any of the five racial/ethnic categories described below. Resident and other eligible (for financial aid purposes) non-citizens who are not citizens or nationals of the United States and who have been admitted as legal immigrants for the purpose of obtaining permanent resident status (and who hold either a registration card (Form I-551 or I-151), a Temporary Resident Card (Form I-688), or an Arrival-Departure Record (Form I-94) with a notation that conveys legal immigrant status such as Section 207 Refugee, Section 208 Asylee, Conditional Entrant Parolee or Cuban-Haitian) are to be reported in the appropriate racial/ethnic categories along with United States citizens."
Description,35,80181,GRNRALM,"U.S. Nonresident men  in cohort

U.S. Nonresident - A person who is not a citizen or national of the United States and who is in this country on a visa or temporary basis and does not have the right to remain indefinitely.
NOTE - U.S. Nonresidents are included here, rather than in any of the five racial/ethnic categories described below. Resident and other eligible (for financial aid purposes) non-citizens who are not citizens or nationals of the United States and who have been admitted as legal immigrants for the purpose of obtaining permanent resident status (and who hold either a registration card (Form I-551 or I-151), a Temporary Resident Card (Form I-688), or an Arrival-Departure Record (Form I-94) with a notation that conveys legal immigrant status such as Section 207 Refugee, Section 208 Asylee, Conditional Entrant Parolee or Cuban-Haitian) are to be reported in the appropriate racial/ethnic categories along with United States citizens."
Description,36,80186,GRNRALW,"U.S. Nonresident women in cohort

U.S. Nonresident - A person who is not a citizen or national of the United States and who is in this country on a visa or temporary basis and does not have the right to remain indefinitely.
NOTE - U.S. Nonresidents are included here, rather than in any of the five racial/ethnic categories described below. Resident and other eligible (for financial aid purposes) non-citizens who are not citizens or nationals of the United States and who have been admitted as legal immigrants for the purpose of obtaining permanent resident status (and who hold either a registration card (Form I-551 or I-151), a Temporary Resident Card (Form I-688), or an Arrival-Departure Record (Form I-94) with a notation that conveys legal immigrant status such as Section 207 Refugee, Section 208 Asylee, Conditional Entrant Parolee or Cuban-Haitian) are to be reported in the appropriate racial/ethnic categories along with United States citizens."
Frequencies,0,varnumber,varname,codevalue,valuelabel,frequency,percent
Frequencies,1,80176,GRTYPE,40,Total exclusions 4-year schools,597,1.24
Frequencies,2,80176,GRTYPE,2,"4-year institutions, Adjusted cohort (revised cohort minus exclusions)",2287,4.75
Frequencies,3,80176,GRTYPE,3,"4-year institutions, Completers within 150% of normal time",2241,4.6500000000000004
Frequencies,4,80176,GRTYPE,4,"4-year institutions, Transfer-out students",1438,2.99
Frequencies,5,80176,GRTYPE,41,"4-year institutions, noncompleters still enrolled",1589,3.3
Frequencies,6,80176,GRTYPE,42,"4-year institutions, No longer enrolled",2175,4.5199999999999996
Frequencies,7,80176,GRTYPE,6,Bachelor's or equiv subcohort (4-yr institution),2022,4.2
Frequencies,8,80176,GRTYPE,7,Bachelor's or equiv subcohort (4-yr institution) exclusions,525,1.0900000000000001
Frequencies,9,80176,GRTYPE,8,Bachelor's or equiv subcohort (4-yr institution) adjusted cohort (revised cohort minus exclusions),2022,4.2
Frequencies,10,80176,GRTYPE,9,Bachelor's or equiv subcohort (4-yr institution) Completers within 150% of normal time total,1968,4.09
Frequencies,11,80176,GRTYPE,10,Bachelor's or equiv subcohort (4-yr institution) Completers of programs of < 2 yrs (150% of normal time),90,0.19
Frequencies,12,80176,GRTYPE,11,Bachelor's or equiv subcohort (4-yr institution) Completers of programs of 2 but <4 yrs (150% of normal time),499,1.04
Frequencies,13,80176,GRTYPE,12,Bachelor's or equiv subcohort (4-yr institution) Completers of bachelor's or equiv degrees total (150% of normal time),1946,4.04
Frequencies,14,80176,GRTYPE,13,Bachelor's or equiv subcohort (4-yr institution) Completers of bachelor's or equiv degrees in 4 years or less,1878,3.9
Frequencies,15,80176,GRTYPE,14,Bachelor's or equiv subcohort (4-yr institution) Completers of bachelor's or equiv degrees in 5 years,1738,3.61
Frequencies,16,80176,GRTYPE,15,Bachelor's or equiv subcohort (4-yr institution) Completers of bachelor's or equiv degrees in 6 years,1495,3.1
Frequencies,17,80176,GRTYPE,16,Bachelor's or equiv subcohort (4-yr institution) Transfer-out students,1229,2.5499999999999998
Frequencies,18,80176,GRTYPE,43,Bachelor's or equiv subcohort (4-yr institution) noncompleters still enrolled,1372,2.85
Frequencies,19,80176,GRTYPE,44,"Bachelor's or equiv subcohort (4-yr institution), No longer enrolled",1897,3.94
Frequencies,20,80176,GRTYPE,18,Other degree/certif-seeking subcohort (4-yr institution),945,1.96
Frequencies,21,80176,GRTYPE,19,Other degree/certificate-seeking subcohort(4-yr institution) exclusions,100,0.21
Frequencies,22,80176,GRTYPE,20,Other degree/certif-seeking subcohort (4-yr institution) Adjusted cohort (revised cohort minus exclusions),945,1.96
Frequencies,23,80176,GRTYPE,21,Other degree/certif-seeking subcohort (4-yr institution) Completers within 150% of normal time total,866,1.8
Frequencies,24,80176,GRTYPE,22,Other degree/certif-seeking subcohort (4-yr institution) Completers of programs < 2 yrs (150% of normal time),414,0.86
Frequencies,25,80176,GRTYPE,23,Other degree/certif-seeking subcohort (4-yr institution) Completers of programs of 2 but < 4 yrs (150% of normal time),732,1.52
Frequencies,26,80176,GRTYPE,24,Other degree/certif-seeking subcohort (4-yr institution) Completers of bachelor's or equiv degrees (150% of normal time),435,0.9
Frequencies,27,80176,GRTYPE,25,Other degree/certif-seeking subcohort (4-yr institution) Transfer-out students,512,1.06
Frequencies,28,80176,GRTYPE,45,Other degree/certif-seeking subcohort (4-yr institution) noncompleters still enrolled,408,0.85
Frequencies,29,80176,GRTYPE,46,Other degree/certif-seeking subcohort (4-yr institution) No longer enrolled,847,1.76
Frequencies,30,80176,GRTYPE,28,Degree/certificate-seeking subcohort(2-yr institution) exclusions,158,0.33
Frequencies,31,80176,GRTYPE,29,Degree/certif-seeking students ( 2-yr institution) Adjusted cohort (revised cohort minus exclusions),1497,3.11
Frequencies,32,80176,GRTYPE,30,Degree/certif-seeking students ( 2-yr institution) Completers within 150% of normal time total,1487,3.09
Frequencies,33,80176,GRTYPE,31,Degree/certif-seeking students ( 2-yr institution) Completers of programs of < 2 yrs (150% of normal time),1343,2.79
Frequencies,34,80176,GRTYPE,32,Degree/certificate-seeking students ( 2-yr institution) Completers of programs of 2 but < 4 yrs (150% of normal time),1182,2.4500000000000002
Frequencies,35,80176,GRTYPE,35,Degree/certif-seeking students ( 2-yr institution) Completers within 100% of normal time total,1467,3.05
