sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for graduation rate data, 150% of normal time to complete - cohort year 2017 (less than 2-year institutions): 2020",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,,
Introduction,3,Filename,GR2020_L2,,,,,,,,
Introduction,4,  Provisional release:,October 2021,,,,,,,,
Introduction,5,Filename,GR2020_L2_RV,,,,,,,,
Introduction,6,  Final/revised release:,October 2022,,,,,,,,
Introduction,7,Overview,"This file contains the graduation rate status as of August 31, 2020 for the cohort of full-time, first-time degree/certificate-seeking undergraduates enrolled in 2017 for less-than-2-year institutions. Included are the number of students enrolled in 2017 and the number of those students that completed their program in 100 or 150 percent of normal time, or had transferred out. Beginning with 2017, graduation rate data are now available for the subcohorts of Pell grant recipients,  Subsidized Stafford Loan recipients not receiving Pell Grants, and students not receiving Pell grants or subsidized Stafford loans. The number who completed in 150 percent of normal time are included for the subcohorts.
",,,,,,,,
Introduction,8,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match the First Look Web tables based on provisional data. ",,,,,,,,
Introduction,9,Contents of spreadsheet,,,,,,,,,
Introduction,10,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,11,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,12,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,,
Introduction,13,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,14,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,80906,LINE_10,N,6,Cont,XLINE_10,Revised Cohort
varlist,3,80907,LINE_45,N,6,Cont,XLINE_45,Exclusions
varlist,4,80915,LINE_50,N,6,Cont,XLINE_50,Adjusted cohort (revised cohort minus exclusions)
varlist,5,81401,LINE_55,N,6,Cont,XLINE_55,Completers within 100% of normal time
varlist,6,80916,LINE_11,N,6,Cont,XLINE_11,Completers within 150% of normal time
varlist,7,80917,LINE_30,N,6,Cont,XLINE_30,Transfer-out students
varlist,8,80908,LINE_51,N,6,Cont,XLINE_51,Still enrolled
varlist,9,80909,LINE_52,N,6,Cont,XLINE_52,No longer enrolled
varlist,10,81626,PGLIN10,N,6,Cont,XPGLIN10,Pell Grant recipients - revised cohort
varlist,11,81631,PGLIN45,N,6,Cont,XPGLIN45,Pell Grant recipients - exclusions
varlist,12,81636,PGLIN50,N,6,Cont,XPGLIN50,Pell Grant recipients - adjusted  cohort (revised minus exclusions)
varlist,13,81641,PGLIN11,N,6,Cont,XPGLIN11,Pell Grant  recipients - total number that completed an award  within 150% of normal time to completion
varlist,14,81646,SSLIN10,N,6,Cont,XSSLIN10,Subsidized Stafford Loan recipients not receiving Pell Grants - revised cohort
varlist,15,81651,SSLIN45,N,6,Cont,XSSLIN45,Subsidized Stafford Loan recipients not receiving Pell Grants - exclusions
varlist,16,81656,SSLIN50,N,6,Cont,XSSLIN50,Subsidized Stafford Loan recipients not receiving Pell Grants - adjusted cohort (revised minus exclusions)
varlist,17,81661,SSLIN11,N,6,Cont,XSSLIN11,Subsidized Stafford Loan recipients not receiving Pell Grants - total number completed an award within 150% of normal time to completion
varlist,18,81666,NRLIN10,N,6,Cont,XNRLIN10,Did not receive Pell grant or subsidized Stafford loan - revised cohort
varlist,19,81671,NRLIN45,N,6,Cont,XNRLIN45,Did not receive Pell grant or subsidized Stafford loan - exclusions
varlist,20,81676,NRLIN50,N,6,Cont,XNRLIN50,Did not receive Pell grant or subsidized Stafford loan - adjusted cohort
varlist,21,81681,NRLIN11,N,6,Cont,XNRLIN11,Did not receive Pell grant or subsidized Stafford loan -  total number completed an award within 150% of normal time to completion
varlist,22,,,,,,,
varlist,23,,,,,,,
varlist,24,,,,,,,
varlist,25,,,,,,,
varlist,26,,,,,,,
varlist,27,,,,,,,
varlist,28,,,,,,,
varlist,29,,,,,,,
