sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for graduation rate data for Federal Pell Grant recipients and Direct Subsidized Loan recipients, 150% of normal time to complete - cohort year 2016 (4-year) and cohort year 2019 (2-year and less-than-2-year) institutions:  2022",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,Filename,GR2022_PELL_SSL
Introduction,3, Provisional release:,December 2023
Introduction,4,Filename,GR2022_PELL_SSL_RV
Introduction,5, Final release:,September 2024
Introduction,6,,
Introduction,7,Overview,"This file contains the graduation rate status as of August 31, 2022 for three subcohorts of full-time, first-time degree/certificate-seeking undergraduates. The three subcohorts are students who received a Pell grant; students who received a Direct Subsidized loan and did ""NOT"" receive a Pell grant; and students who did not receive either a Pell grant or Direct Subsidized loan. In four year institutions each of the subcohorts will include the number of bachelor degree-seeking students who were enrolled in 2016, the number of bachelor degree seeking students who completed any degree/certificate within 150 percent of normal time, the number who completed a bachelor's degree within 150 percent on normal time.  Data for students seeking a degree/certificate other than a bachelor's degree are also included for four year institutions. Data for two year and less-than 2-year institutions include the number of full-time, first-time students who were enrolled in 2019, the number of students who completed any degree/certificate 150 percent of normal time.   This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the cohort  (PSGRTYPE, see frequencies for details).  Each record will contain  data for each of the financial aid subcohorts.
",,,,,,,,
Introduction,8,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  ",,,,,,,,
Introduction,9,Contents of spreadsheet,,,,,,,,,
Introduction,10,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,11,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,12,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Provisional release),,,,,,,,
Introduction,13,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.  (Provisional release)",,,,,,,,
Introduction,14,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Final/revised release),,,,,,,,
Introduction,15,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.  (Final/revised release)",,,,,,,,
Introduction,16,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,81501,PSGRTYPE,N,3,Disc,,Cohort type
varlist,3,81506,PGREVCT,N,6,Cont,XPGREVCT,Pell Grant recipients - revised cohort
varlist,4,81511,PGEXCLU,N,6,Cont,XPGEXCLU,Pell Grant recipients - exclusions
varlist,5,81516,PGADJCT,N,6,Cont,XPGADJCT,Pell Grant recipients - adjusted  cohort (revised minus exclusions)
varlist,6,81521,PGCMBAC,N,6,Cont,XPGCMBAC,Pell Grant  recipients - number that completed a bachelor's or equivalent degree within 150% of normal time
varlist,7,81526,PGCMOBA,N,6,Cont,XPGCMOBA,Pell Grant  recipients - number that completed an award of less than 4 academic years or equivalent within 150% of normal time
varlist,8,81531,PGCMTOT,N,6,Cont,XPGCMTOT,Pell Grant  recipients - total number that completed an award  within 150% of normal time
varlist,9,81536,SSREVCT,N,6,Cont,XSSREVCT,Direct Subsidized Loan recipients not receiving Pell Grants - revised cohort
varlist,10,81541,SSEXCLU,N,6,Cont,XSSEXCLU,Direct Subsidized Loan recipients not receiving Pell Grants - exclusions
varlist,11,81546,SSADJCT,N,6,Cont,XSSADJCT,Direct Subsidized Loan recipients not receiving Pell Grants - adjusted cohort (revised minus exclusions)
varlist,12,81551,SSCMBAC,N,6,Cont,XSSCMBAC,Direct Subsidized Loan recipients not receiving Pell Grants - number completed a bachelor's or equivalent within 150% of normal time
varlist,13,81556,SSCMOBA,N,6,Cont,XSSCMOBA,Direct Subsidized Loan recipients not receiving Pell Grants - number completed an award of less than 4 academic years within 150% of normal time
varlist,14,81561,SSCMTOT,N,6,Cont,XSSCMTOT,Direct Subsidized Loan recipients not receiving Pell Grants - total number completed an award within 150% of normal time
varlist,15,81566,NRREVCT,N,6,Cont,XNRREVCT,Did not receive Pell grant or Direct Subsidized loan - revised cohort
varlist,16,81571,NREXCLU,N,6,Cont,XNREXCLU,Did not receive Pell grant or Direct Subsidized loan - exclusions
varlist,17,81576,NRADJCT,N,6,Cont,XNRADJCT,Did not receive Pell grant or Direct Subsidized loan - adjusted  cohort (revised minus exclusions)
varlist,18,81581,NRCMBAC,N,6,Cont,XNRCMBAC,Did not receive Pell grant or Direct Subsidized loan - number that completed a bachelor's or equivalent degree within 150% of normal time
varlist,19,81586,NRCMOBA,N,6,Cont,XNRCMOBA,Did not receive Pell grant or Direct Subsidized loan - number that completed an award of less than 4 academic years within 150% of normal time
varlist,20,81591,NRCMTOT,N,6,Cont,XNRCMTOT,Did not receive Pell grant or Direct Subsidized loan - total number that completed an award  within 150% of normal time
varlist,21,81596,TTREVCT,N,6,Cont,XTTREVCT,Total revised cohort
varlist,22,81601,TTEXCLU,N,6,Cont,XTTEXCLU,Total exclusions
varlist,23,81606,TTADJCT,N,6,Cont,XTTADJCT,Total adjusted cohort
varlist,24,81611,TTCMBAC,N,6,Cont,XTTCMBAC,Total number that completed a bachelor's or equivalent degree within 150% of normal time
varlist,25,81616,TTCMOBA,N,6,Cont,XTTCMOBA,Total number that completed an award of less than 4 academic years within 150% of normal time
varlist,26,81621,TTCMTOT,N,6,Cont,XTTCMTOT,Total number that completed an award  within 150% of normal time
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,81501,PSGRTYPE,"This variable describes the four cohorts contained in this data table.

1. Full-time, first-time, degree/certificate-seeking cohort that entered in 2016. This is the sum of the bachelor's and other than bachelor's degree seeking cohort.  (4-year nstitutions)

2.Full-time first-time bachelor's or equivalent degree-seeking subcohort that entered in 2016. (4-year institutions)

3. Full-time first-time other degree/certificate-seeking subcohort that entered in 2016.  (4-year institutions)

4. Full-time, first-time, degree/certificate-seeking cohort that entered in 2019. (2-year and less-than 2-year institutions)

Full-time first-time student (undergraduate) A student who has no prior postsecondary experience (except as noted below) attending any institution for the first time at the undergraduate level. This includes students enrolled in academic or occupational programs. It also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Full-time undergraduate students are enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. 

Bachelor's or equivalent degree-seeking subcohort - A cohort of students who were seeking a bachelor's or equivalent degree upon entry.

Other degree/certificate-seeking subcohort - A subset of students belonging to a GR cohort who were seeking a degree or certificate other than bachelor's degree upon entry."
Description,3,81506,PGREVCT,"Number of students in the cohort/subcohort identified by the cohort type (PSGRTYPE), who were recipients of a Pell Grant in the cohort year. 

Recipients are defined as those students receiving and using their Pell Grant.  These students must receive the award upon entry into the institution.  Students that are recipients of an award at a later point after entry, are not included."
Description,4,81511,PGEXCLU,"Exclusions from the Pell grant cohort within 150% percent of normal time

Exclusions who left institution within 150% of normal time and have neither graduated nor transferred to another institution) because of one of the following documented reasons:

The student is deceased or is totally and permanently disabled and thus unable to return to school. 

The student left school to serve in the armed forces or was called to active duty. ( students already in the military who transfer to another duty station are not included.) 

The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 

The student left school to serve on an official church mission. 

NOTE: Students who leave the institution for one of the above reasons, but return prior to the 150 percent status date of August 31, may still be reported as exclusions."
Description,5,81516,PGADJCT,This is the number of Pell grant recipients in the revised cohort minus the number of exclusions.
Description,6,81521,PGCMBAC,"This is the number of Pell grant recipients of the cohorts specified:  total cohort (PSGRTYPE=1), bachelor's cohort (PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed a bachelor's degree in 150% percent of normal time 6-years (4-year institutions only) 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,7,81526,PGCMOBA,"This is the number of Pell grant recipients of the cohorts specified: total cohort (PSGRTYPE=1), bachelor's cohort (PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed  other than a bachelor's degree including associate degrees or certificates of less-than 4-years in 150% percent of normal time (4-year institutions); or the number of Pell grant recipients in the cohort (PSGRTYPE=4) of two year or less-than-2-year schools that completed an award in 150 percent of normal time to complete. 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,8,81531,PGCMTOT,"This is the number of Pell grant recipients of the cohorts specified: total cohort (PSGRTYPE=1), bachelor's cohort(PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed a bachelor's degree or other than bachelor's degree in 150% percent of normal time (4-year institutions); or the number of Pell grant recipients in the cohort (PSGRTYPE=4) of two year or less-than-2-year schools that completed an award in 150 percent of normal time to complete. 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,9,81536,SSREVCT,"Number of students in the cohort/subcohort identified by the cohort type (PSGRTYPE), who were recipients of a Direct Subsidized loan and did not receive a Pell grant in the cohort year.

Recipients are defined as those students receiving and using their subsidized Stafford loan.  These students must receive the award upon entry into the institution. Students that are recipients of an award at a later point after entry, are not included."
Description,10,81541,SSEXCLU,"Exclusions from the Direct Subsidized loan who did not receive a Pell grant cohort within 150% percent of normal time

Exclusions who left institution within 150% of normal time and have neither graduated nor transferred to another institution) because of one of the following documented reasons:

The student is deceased or is totally and permanently disabled and thus unable to return to school. 

The student left school to serve in the armed forces or was called to active duty. ( students already in the military who transfer to another duty station are not included.) 

The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 

The student left school to serve on an official church mission. 

NOTE: Students who leave the institution for one of the above reasons, but return prior to the 150 percent status date of August 31, may still be reported as exclusions."
Description,11,81546,SSADJCT,This is the number of subsidized Staff loan recipients who did not receive a Pell Grant in the revised cohort minus the number of exclusions.
Description,12,81551,SSCMBAC,"This is the number of Direct Subsidized loan recipients who did not receive a pell grant of the cohorts specified:  total cohort (PSGRTYPE=1), bachelor's cohort (PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed a bachelor's degree in 150% percent of normal time 6-years (4-year institutions only) 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,13,81556,SSCMOBA,"This is the number of Direct Subsidized loan recipients who did not receive a Pell grant of the cohorts specified: total cohort (PSGRTYPE=1), bachelor's cohort (PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed  other than a bachelor's degree including associate degrees or certificates of less-than 4-years in 150% percent of normal time (4-year institutions); or the number of subsidized Stafford loan recipients who did not receive a Pell grant in the cohort (PSGRTYPE=4) of two year or less-than-2-year schools that completed an award in 150 percent of normal time to complete. 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,14,81561,SSCMTOT,"This is the number of Direct Subsidized loan recipients who did not receive a Pell grant of the cohorts specified: total cohort (PSGRTYPE=1), bachelor's cohort(PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed a bachelor's degree or other than bachelor's degree in 150% percent of normal time (4-year institutions); or the number of subsidized Stafford loan recipients who did not receive a Pell grant in the cohort (PSGRTYPE=4) of two year or less-than-2-year schools that completed an award in 150 percent of normal time to complete. 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,15,81566,NRREVCT,"Number of students in the cohort/subcohort identified by the cohort type (PSGRTYPE), who did not receive a Pell grant or a Direct Subsidized loan in the cohort year.

Recipients are defined as those students receiving and using their Pell grant subsidized Stafford loan.  These students must receive the award upon entry into the institution. Students that are recipients of an award at a later point after entry, are not included."
Description,16,81571,NREXCLU,"Exclusions from students not receiving a Pell grant or Direct Subsidized loan cohort within 150% percent of normal time

Exclusions who left institution within 150% of normal time and have neither graduated nor transferred to another institution) because of one of the following documented reasons:

The student is deceased or is totally and permanently disabled and thus unable to return to school. 

The student left school to serve in the armed forces or was called to active duty. ( students already in the military who transfer to another duty station are not included.) 

The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 

The student left school to serve on an official church mission. 

NOTE: Students who leave the institution for one of the above reasons, but return prior to the 150 percent status date of August 31, may still be reported as exclusions."
Description,17,81576,NRADJCT,This is the number of students not receiving a Pell grant or Direct Subsidized loan in the revised cohort minus the number of exclusions.
Description,18,81581,NRCMBAC,"This is the number of students not receiving a Pell grant or Direct Subsidized loan of the cohorts specified:  total cohort (PSGRTYPE=1), bachelor's cohort (PSGRTYPE=2), other than bachelor's cohort (PSGRTYPE=3)  that completed a bachelor's degree in 150% percent of normal time 6-years (4-year institutions only) 

150 percent of normal time to complete - Students who completed their program within 150% of the normal (or expected) time for completion.  Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
