sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for Salary Outlays for Full-time, Nonmedical, Non-Instructional Staff by Occupational Category, Academic year 2020-21",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,SAL2020_NIS
Introduction,4,  Provisional release:,December 2021
Introduction,5,Filename,SAL2020_NIS_RV
Introduction,6,  Final/revised release:,November 2022
Introduction,7,Overview,"This file contains the number and salary outlays for full-time, nonmedical, non-instructional staff by occupational category
 ",,,,,,,,
Introduction,8,,,,,,,,,,
Introduction,9,Note,"Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) Web Tables. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,
Introduction,10,,,,,,,,,,
Introduction,11,Contents of spreadsheet,,,,,,,,,
Introduction,12,,,,,,,,,,
Introduction,13,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,14,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,15,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,40606,SANIN01,N,6,Cont,XSANIN01,Full-time non-instructional staff - number
varlist,3,40611,SANIT01,N,10,Cont,XSANIT01,Full-time non-instructional staff - outlays
varlist,4,40616,SANIN02,N,6,Cont,XSANIN02,Research - number
varlist,5,40621,SANIT02,N,10,Cont,XSANIT02,Research - outlays
varlist,6,40626,SANIN03,N,6,Cont,XSANIN03,Public service - number
varlist,7,40631,SANIT03,N,10,Cont,XSANIT03,Public service - Outlays
varlist,8,40636,SANIN04,N,6,Cont,XSANIN04,"Librarians, Curators, Archivists, and Academic Affairs and Other Education Services  - number"
varlist,9,40641,SANIT04,N,10,Cont,XSANIT04,"Librarians, Curators, Archivists and Academic Affairs and Other Education Services - outlays"
varlist,10,40646,SANIN05,N,6,Cont,XSANIN05,Management - number
varlist,11,40651,SANIT05,N,10,Cont,XSANIT05,Management - outlays
varlist,12,40656,SANIN06,N,6,Cont,XSANIN06,Business and Financial Operations - number
varlist,13,40661,SANIT06,N,10,Cont,XSANIT06,Business and Financial Operations - outlays
varlist,14,40666,SANIN07,N,6,Cont,XSANIN07,"Computer, Engineering, and Science - number"
varlist,15,40671,SANIT07,N,10,Cont,XSANIT07,"Computer, Engineering, and Science - outlays"
varlist,16,40676,SANIN08,N,6,Cont,XSANIN08,"Community, Social  Service, Legal, Arts, Design, Entertainment, Sports and Media - number"
varlist,17,40681,SANIT08,N,10,Cont,XSANIT08,"Community, Social  Service, Legal, Arts, Design, Entertainment, Sports and Media - outlays"
varlist,18,40686,SANIN09,N,6,Cont,XSANIN09,Healthcare Practioners and Technical -number
varlist,19,40691,SANIT09,N,10,Cont,XSANIT09,Healthcare Practioners and Technical - outlays
varlist,20,40696,SANIN10,N,6,Cont,XSANIN10,Service - number
varlist,21,40701,SANIT10,N,10,Cont,XSANIT10,Service - outlays
varlist,22,40706,SANIN11,N,6,Cont,XSANIN11,Sales and related - number
varlist,23,40711,SANIT11,N,10,Cont,XSANIT11,Sales and related - outlays
varlist,24,40716,SANIN12,N,6,Cont,XSANIN12,Office and Administrative Support - number
varlist,25,40721,SANIT12,N,10,Cont,XSANIT12,Office and Administrative Support - outlays
