sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the  Military, Service members and Veteran's Benefit Data File, 2018-19",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,SFAV1819
Introduction,4,  Provisional release:,October 2020
Introduction,5,Filename,SFAV1819_RV
Introduction,6,  Final/revised release:,October 2021
Introduction,7,Overview,"This file contains the number of students, who received either or both Post-9/11 GI Benefits or the Department of Defense Tuition Assistance through the institution. Eligible dependents receiving such benefits are included. Students who received both benefits, are counted in both programs. Total dollar amounts received by students are included. Data reported for the Post-9/11 GI Bill benefit are for the academic year July 1, 2018 to June 30, 2019.  Data reported for the Department of Defense Tuition Assistance are for the academic year October 1, 2018 to September 30, 2019. Data are provided for undergraduate and graduate students.",,,,,,,,
Introduction,8,,,,,,,,,,
Introduction,9,Note:,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web tables based on provisional data. ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,14,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,15,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,72001,UGPO9_N,N,6,Cont,XUGPO9_N,Number receiving Post-9/11 GI Bill Benefits - undergraduate students
varlist,3,72006,UGPO9_T,N,10,Cont,XUGPO9_T,Total amount of Post-9/11 GI Bill Benefits awarded - undergraduate students
varlist,4,72011,UGPO9_A,N,6,Cont,XUGPO9_A,Average amount of Post-9/11 GI Bill Benefits awarded - undergraduate students
varlist,5,72016,GPO9_N,N,6,Cont,XGPO9_N,Number receiving Post-9/11 GI Bill Benefits - graduate students
varlist,6,72021,GPO9_T,N,10,Cont,XGPO9_T,Total amount of Post-9/11 GI Bill Benefits awarded - graduate students
varlist,7,72026,GPO9_A,N,6,Cont,XGPO9_A,Average amount of Post-9/11 GI Bill Benefits awarded - graduate students
varlist,8,72031,PO9_N,N,6,Cont,XPO9_N,Number receiving Post-9/11 GI Bill Benefits - all students
varlist,9,72036,PO9_T,N,10,Cont,XPO9_T,Total amount of Post-9/11 GI Bill Benefits awarded - all students
varlist,10,72041,PO9_A,N,6,Cont,XPO9_A,Average amount of Post-9/11 GI Bill Benefits awarded - all students
varlist,11,72046,UGDOD_N,N,6,Cont,XUGDOD_N,Number receiving Department of Defense Tuition Assistance Program benefits - undergraduate students
varlist,12,72051,UGDOD_T,N,10,Cont,XUGDOD_T,Total amount of Department of Defense Tuition Assistance Program benefits  awarded - undergraduate students
varlist,13,72056,UGDOD_A,N,6,Cont,XUGDOD_A,Average amount of Department of Defense Tuition Assistance Program benefits awarded- undergraduate students
varlist,14,72061,GDOD_N,N,6,Cont,XGDOD_N,Number receiving Department of Defense Tuition Assistance Program benefits - graduate students
varlist,15,72066,GDOD_T,N,10,Cont,XGDOD_T,Total amount of Department of Defense Tuition Assistance Program benefits awarded - graduate students
varlist,16,72071,GDOD_A,N,6,Cont,XGDOD_A,Average amount of Department of Defense Tuition Assistance Program benefits awarded - graduate students
varlist,17,72076,DOD_N,N,6,Cont,XDOD_N,Number receiving Department of Defense Tuition Assistance Program benefits - all students
varlist,18,72081,DOD_T,N,10,Cont,XDOD_T,Total amount of Department of Defense Tuition Assistance Program benefits awarded - all students
varlist,19,72086,DOD_A,N,6,Cont,XDOD_A,Average amount of Department of Defense Tuition Assistance Program benefits awarded - all students
varlist,20,,,,,,,
varlist,21,,,,,,,
varlist,22,,,,,,,
varlist,23,,,,,,,
varlist,24,,,,,,,
varlist,25,,,,,,,
varlist,26,,,,,,,
varlist,27,,,,,,,
varlist,28,,,,,,,
varlist,29,,,,,,,
varlist,30,,,,,,,
varlist,31,,,,,,,
varlist,32,,,,,,,
varlist,33,,,,,,,
varlist,34,,,,,,,
varlist,35,,,,,,,
varlist,36,,,,,,,
varlist,37,,,,,,,
varlist,38,,,,,,,
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
varlist,44,,,,,,,
varlist,45,,,,,,,
varlist,46,,,,,,,
varlist,47,,,,,,,
varlist,48,,,,,,,
varlist,49,,,,,,,
varlist,50,,,,,,,
varlist,51,,,,,,,
varlist,52,,,,,,,
varlist,53,,,,,,,
varlist,54,,,,,,,
varlist,55,,,,,,,
varlist,56,,,,,,,
varlist,57,,,,,,,
varlist,58,,,,,,,
varlist,59,,,,,,,
varlist,60,,,,,,,
varlist,61,,,,,,,
varlist,62,,,,,,,
varlist,63,,,,,,,
varlist,64,,,,,,,
varlist,65,,,,,,,
varlist,66,,,,,,,
varlist,67,,,,,,,
varlist,68,,,,,,,
varlist,69,,,,,,,
varlist,70,,,,,,,
varlist,71,,,,,,,
varlist,72,,,,,,,
varlist,73,,,,,,,
varlist,74,,,,,,,
varlist,75,,,,,,,
varlist,76,,,,,,,
varlist,77,,,,,,,
varlist,78,,,,,,,
varlist,79,,,,,,,
varlist,80,,,,,,,
varlist,81,,,,,,,
varlist,82,,,,,,,
varlist,83,,,,,,,
varlist,84,,,,,,,
varlist,85,,,,,,,
varlist,86,,,,,,,
varlist,87,,,,,,,
varlist,88,,,,,,,
varlist,89,,,,,,,
varlist,90,,,,,,,
varlist,91,,,,,,,
varlist,92,,,,,,,
varlist,93,,,,,,,
varlist,94,,,,,,,
varlist,95,,,,,,,
varlist,96,,,,,,,
varlist,97,,,,,,,
varlist,98,,,,,,,
varlist,99,,,,,,,
varlist,100,,,,,,,
varlist,101,,,,,,,
varlist,102,,,,,,,
varlist,103,,,,,,,
varlist,104,,,,,,,
