sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the  Military, Service members and Veteran's Benefit Data File, 2020-21",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,SFAV2021
Introduction,4,  Provisional release:,October 2022
Introduction,5,Filename,SFAV2021_RV
Introduction,6,  Final/revised release:,November 2023
Introduction,7,Overview,"This file contains the number of students, who received either or both Post-9/11 GI Benefits or the Department of Defense Tuition Assistance through the institution. Eligible dependents receiving such benefits are included. Students who received both benefits, are counted in both programs. Total dollar amounts received by students are included. Data reported for the Post-9/11 GI Bill benefit are for the academic year July 1, 2020 to June 30, 2021.  Data reported for the Department of Defense Tuition Assistance are for the academic year October 1, 2020 to September 30, 2021. Data are provided for undergraduate and graduate students.",,,,,,,,
Introduction,8,,,,,,,,,,
Introduction,9,Note:,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web tables based on provisional data. ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,14,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,15,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,72001,UGPO9_N,N,6,Cont,XUGPO9_N,Number receiving Post-9/11 GI Bill Benefits - undergraduate students
varlist,3,72006,UGPO9_T,N,10,Cont,XUGPO9_T,Total amount of Post-9/11 GI Bill Benefits awarded - undergraduate students
varlist,4,72011,UGPO9_A,N,6,Cont,XUGPO9_A,Average amount of Post-9/11 GI Bill Benefits awarded - undergraduate students
varlist,5,72016,GPO9_N,N,6,Cont,XGPO9_N,Number receiving Post-9/11 GI Bill Benefits - graduate students
varlist,6,72021,GPO9_T,N,10,Cont,XGPO9_T,Total amount of Post-9/11 GI Bill Benefits awarded - graduate students
varlist,7,72026,GPO9_A,N,6,Cont,XGPO9_A,Average amount of Post-9/11 GI Bill Benefits awarded - graduate students
varlist,8,72031,PO9_N,N,6,Cont,XPO9_N,Number receiving Post-9/11 GI Bill Benefits - all students
varlist,9,72036,PO9_T,N,10,Cont,XPO9_T,Total amount of Post-9/11 GI Bill Benefits awarded - all students
varlist,10,72041,PO9_A,N,6,Cont,XPO9_A,Average amount of Post-9/11 GI Bill Benefits awarded - all students
varlist,11,72046,UGDOD_N,N,6,Cont,XUGDOD_N,Number receiving Department of Defense Tuition Assistance Program benefits - undergraduate students
varlist,12,72051,UGDOD_T,N,10,Cont,XUGDOD_T,Total amount of Department of Defense Tuition Assistance Program benefits  awarded - undergraduate students
varlist,13,72056,UGDOD_A,N,6,Cont,XUGDOD_A,Average amount of Department of Defense Tuition Assistance Program benefits awarded- undergraduate students
varlist,14,72061,GDOD_N,N,6,Cont,XGDOD_N,Number receiving Department of Defense Tuition Assistance Program benefits - graduate students
varlist,15,72066,GDOD_T,N,10,Cont,XGDOD_T,Total amount of Department of Defense Tuition Assistance Program benefits awarded - graduate students
varlist,16,72071,GDOD_A,N,6,Cont,XGDOD_A,Average amount of Department of Defense Tuition Assistance Program benefits awarded - graduate students
varlist,17,72076,DOD_N,N,6,Cont,XDOD_N,Number receiving Department of Defense Tuition Assistance Program benefits - all students
varlist,18,72081,DOD_T,N,10,Cont,XDOD_T,Total amount of Department of Defense Tuition Assistance Program benefits awarded - all students
varlist,19,72086,DOD_A,N,6,Cont,XDOD_A,Average amount of Department of Defense Tuition Assistance Program benefits awarded - all students
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,72001,UGPO9_N,"Military Servicemembers and Veteran's Benefits - Number of undergraduate students receiving Post-9/11 GI Bill Benefits   

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,3,72006,UGPO9_T,"Military Servicemembers and Veteran's Benefits - Total amount of Post-9/11 GI Bill Benefits awarded through the institution to undergraduate students  

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,4,72011,UGPO9_A,"Military Servicemembers and Veteran's Benefits - Average amount of Post-9/11 GI Bill Benefits awarded through the institution to undergraduate students
 
Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,5,72016,GPO9_N,"Military Servicemembers and Veteran's Benefits - Number of graduate students receiving Post-9/11 GI Bill Benefits   

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,6,72021,GPO9_T,"Military Servicemembers and Veteran's Benefits - Total amount of Post-9/11 GI Bill Benefits awarded through the institution to graduate students 

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,7,72026,GPO9_A,"Military Servicemembers and Veteran's Benefits - Average amount of Post-9/11 GI Bill Benefits awarded through the institution to graduate students 

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,8,72031,PO9_N,"Military Servicemembers and Veteran's Benefits - Number of all students receiving Post-9/11 GI Bill Benefits   

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,9,72036,PO9_T,"Military Servicemembers and Veteran's Benefits - Total amount of Post-9/11 GI Bill Benefits awarded through the institution to all students  

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,10,72041,PO9_A,"Military Servicemembers and Veteran's Benefits - Average amount of Post-9/11 GI Bill Benefits awarded through the institution to all students  

Student recipients can also include eligible spouse or dependents. For Post-9/11 GI Bill Benefits, matching institutional aid provided through the Yellow Ribbon Program is not included. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Post 9/11 GI Bill is a federal education benefit program for veterans, who served on active duty after September 10, 2001. This Department of Veteran Affairs benefit provides up to 36 months of education benefits at an approved institution for the following college costs: tuition and fees, books and supplies and housing. The tuition and fees payment, which is the cost for an in-state student attending a public institution, is made directly to the postsecondary institution whereas payments for books and supplies and housing are sent directly to the student.

Yellow Ribbon Program is a voluntary program through which participating public and private institutions can provide veterans and eligible beneficiaries additional institutional aid to cover the costs of tuition and fees at their institutions. The Yellow Ribbon Program is a supplementary program to the Post 9/11 GI Bill coverage of in-state tuition and fees. The Department of Veterans Affairs matches the institutional aid provided beyond the in-state tuition and fees, but to certain limit each year."
Description,11,72046,UGDOD_N,"Military Servicemembers and Veteran's Benefits - Number of undergraduate students receiving Department of Defense Tuition Assistance Program benefits 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,12,72051,UGDOD_T,"Military Servicemembers and Veteran's Benefits - Total amount of Department of Defense Tuition Assistance Program benefits awarded through the institution to undergraduate students 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,13,72056,UGDOD_A,"Military Servicemembers and Veteran's Benefits - Average amount of Department of Defense Tuition Assistance Program benefits awarded through the institution to undergraduate students 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,14,72061,GDOD_N,"Military Servicemembers and Veteran's Benefits - Number of graduate students receiving Department of Defense Tuition Assistance Program benefits 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,15,72066,GDOD_T,"Military Servicemembers and Veteran's Benefits - Total amount of Department of Defense Tuition Assistance Program benefits awarded through the institution to graduate students 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,16,72071,GDOD_A,"Military Servicemembers and Veteran's Benefits - Average amount of Department of Defense Tuition Assistance Program benefits awarded through the institution to graduate students 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,17,72076,DOD_N,"Military Servicemembers and Veteran's Benefits - Number of all students receiving Department of Defense Tuition Assistance Program benefits 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,18,72081,DOD_T,"Military Servicemembers and Veteran's Benefits - Total amount of Department of Defense Tuition Assistance Program benefits awarded through the institution to all students 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Description,19,72086,DOD_A,"Military Servicemembers and Veteran's Benefits - Average amount of Department of Defense Tuition Assistance Program benefits awarded through the institution to all students 

Student recipients can also include eligible spouse or dependents. Information reported is only what is known to the institution. Benefits that were not awarded/certified through the institution are not included.

Military Tuition Assistance Program (TA) is a program that funds up to 100% of an eligible servicemember’s college tuition and course-specific fees. Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual’s Armed service."
Statistics,0,varnumber,varname,n,sum,mean,min,max,varTitle
Statistics,1,72001,UGPO9_N,5779,401533,69.481398165772632,0,12053,Number receiving Post-9/11 GI Bill Benefits - undergraduate students
Statistics,2,72006,UGPO9_T,5779,3126451367,541002.13998961763,0,53795938,Total amount of Post-9/11 GI Bill Benefits awarded - undergraduate students
Statistics,3,72011,UGPO9_A,4282,44112359,10301.812003736572,50,54687,Average amount of Post-9/11 GI Bill Benefits awarded - undergraduate students
Statistics,4,72016,GPO9_N,1997,82873,41.498748122183272,0,4043,Number receiving Post-9/11 GI Bill Benefits - graduate students
Statistics,5,72021,GPO9_T,1997,870759494,436033.79769654479,0,20128420,Total amount of Post-9/11 GI Bill Benefits awarded - graduate students
Statistics,6,72026,GPO9_A,1567,17399935,11103.978940650926,169,59466,Average amount of Post-9/11 GI Bill Benefits awarded - graduate students
Statistics,7,72031,PO9_N,5974,484406,81.085704720455311,0,15546,Number receiving Post-9/11 GI Bill Benefits - all students
Statistics,8,72036,PO9_T,5974,3997210861,669101.24891195178,0,70755593,Total amount of Post-9/11 GI Bill Benefits awarded - all students
Statistics,9,72041,PO9_A,4507,46682452,10357.766141557577,50,59466,Average amount of Post-9/11 GI Bill Benefits awarded - all students
Statistics,10,72046,UGDOD_N,5779,191640,33.161446617061777,0,43467,Number receiving Department of Defense Tuition Assistance Program benefits - undergraduate students
Statistics,11,72051,UGDOD_T,5779,382664830,66216.444021457006,0,85446135,Total amount of Department of Defense Tuition Assistance Program benefits  awarded - undergraduate students
