sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions with 15 or more full-time staff): Fall 2021",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,S2021_IS,,,,,,,,
Introduction,4,Provisional release:,December 2022,,,,,,,,
Introduction,5,Filename,S2021_IS_RV
Introduction,6,   Final/revised release:,December 2023
Introduction,7,Overview,"This file contains the number of full-time instructional staff on the payroll of the institution as of November 1,  by faculty and tenure status, academic rank, race/ethnicity and gender. This file has multiple records per institution.  Each record is uniquely defined by the variables IPEDS ID (UNITID), and the variable SISCAT which is the combination of faculty and tenure status FACSTAT (tenured, on tenure track, and not on-tenure track/no tenure system) and academic rank ARANK  (professors, associate professors, etc.) . Beginning with 2016, staff that are not on tenure track are further disaggregated by contract length (multi-year, indefinite, annual and less-than-annual).  From 2012 through 2015 the multi-year and indefinite contract lengths were combined as one category and often referred to as multi-year in past documentation. These data are applicable to degree-granting institutions with 15 or more full-time employees and related administrative offices.  
",,,,,,,,
Introduction,8,Note,"Prior to the IPEDS Web-based data collection in 2001, human resource data reported by race/ethnicity and gender was only available in odd-numbered years.  Beginning with 2001, human resource data reported by race/ethnicity and gender was mandatory in odd-numbered years and optional in even-numbered years.  Beginning with 2016 reporting human resource data by race/ethnicity and gender is mandatory annually.",,,,,,,,
Introduction,9,,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,14,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,15,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,53001,SISCAT,N,3,Disc,,Instructional staff category
varlist,3,53006,FACSTAT,N,3,Disc,,Faculty and tenure status
varlist,4,53011,ARANK,N,3,Disc,,Academic rank
varlist,5,50476,HRTOTLT,N,6,Cont,XHRTOTLT,Grand total
varlist,6,50431,HRTOTLM,N,6,Cont,XHRTOTLM,Grand total men
varlist,7,50436,HRTOTLW,N,6,Cont,XHRTOTLW,Grand total women
varlist,8,52132,HRAIANT,N,6,Cont,XHRAIANT,American Indian or Alaska Native total
varlist,9,52134,HRAIANM,N,6,Cont,XHRAIANM,American Indian or Alaska Native men
varlist,10,52136,HRAIANW,N,6,Cont,XHRAIANW,American Indian or Alaska Native women
varlist,11,52138,HRASIAT,N,6,Cont,XHRASIAT,Asian total
varlist,12,52140,HRASIAM,N,6,Cont,XHRASIAM,Asian men
varlist,13,52142,HRASIAW,N,6,Cont,XHRASIAW,Asian women
varlist,14,52144,HRBKAAT,N,6,Cont,XHRBKAAT,Black or African American total
varlist,15,52146,HRBKAAM,N,6,Cont,XHRBKAAM,Black or African American men
varlist,16,52148,HRBKAAW,N,6,Cont,XHRBKAAW,Black or African American women
varlist,17,52150,HRHISPT,N,6,Cont,XHRHISPT,Hispanic or Latino total
varlist,18,52152,HRHISPM,N,6,Cont,XHRHISPM,Hispanic or Latino men
varlist,19,52154,HRHISPW,N,6,Cont,XHRHISPW,Hispanic or Latino women
varlist,20,52156,HRNHPIT,N,6,Cont,XHRNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,21,52158,HRNHPIM,N,6,Cont,XHRNHPIM,Native Hawaiian or Other Pacific Islander men
varlist,22,52160,HRNHPIW,N,6,Cont,XHRNHPIW,Native Hawaiian or Other Pacific Islander women
varlist,23,52162,HRWHITT,N,6,Cont,XHRWHITT,White total
varlist,24,52164,HRWHITM,N,6,Cont,XHRWHITM,White men
varlist,25,52166,HRWHITW,N,6,Cont,XHRWHITW,White women
varlist,26,52168,HR2MORT,N,6,Cont,XHR2MORT,Two or more races total
varlist,27,52170,HR2MORM,N,6,Cont,XHR2MORM,Two or more races men
varlist,28,52172,HR2MORW,N,6,Cont,XHR2MORW,Two or more races women
varlist,29,50471,HRUNKNT,N,6,Cont,XHRUNKNT,Race/ethnicity unknown total
varlist,30,50421,HRUNKNM,N,6,Cont,XHRUNKNM,Race/ethnicity unknown men
varlist,31,50426,HRUNKNW,N,6,Cont,XHRUNKNW,Race/ethnicity unknown women
varlist,32,50441,HRNRALT,N,6,Cont,XHRNRALT,Nonresident alien total
varlist,33,50361,HRNRALM,N,6,Cont,XHRNRALM,Nonresident alien men
varlist,34,50366,HRNRALW,N,6,Cont,XHRNRALW,Nonresident alien women
varlist,35,,,,,,,
varlist,36,,,,,,,
varlist,37,,,,,,,
varlist,38,,,,,,,
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
varlist,44,,,,,,,
varlist,45,,,,,,,
varlist,46,,,,,,,
varlist,47,,,,,,,
varlist,48,,,,,,,
varlist,49,,,,,,,
