sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for full- and part-time staff by occupational category, race/ethnicity, and gender: Fall 2019",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,S2019_OC
Introduction,4,  Provisional release:,February 2021
Introduction,5,Filename,S2019_OC_RV
Introduction,6,  Final/revised release:,November 2021
Introduction,7,Overview,"This file contains the number of staff on the payroll of the institution as of November 1,  by occupational categories, race/ethnicity and gender. This file has multiple records per institution.  Each record is uniquely defined by the variables IPEDS ID (UNITID), and occupational category and full- and part-time status (STAFFCAT).  
",,,,,,,,
Introduction,8,Note,"Prior to the IPEDS Web-based data collection in 2001, human resource data reported by race/ethnicity and gender was only available in odd-numbered years.  Beginning with 2001, human resource data reported by race/ethnicity and gender was mandatory in odd-numbered years and optional in even-numbered years.  Beginning with 2016 reporting human resource data by race/ethnicity and gender is mandatory annually.",,,,,,,,
Introduction,9,,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,14,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,15,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(final/revised release),,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,53016,STAFFCAT,N,4,Disc,,Occupation and full- and part-time status
varlist,3,53021,FTPT,N,2,Disc,,Full-time or part-time status
varlist,4,53026,OCCUPCAT,N,3,Disc,,Occupation category
varlist,5,50131,SABDTYPE,N,3,Disc,,Identifies occupations consistent with previous codes
varlist,6,50251,HRTOTLT,N,6,Cont,XHRTOTLT,Grand total
varlist,7,50206,HRTOTLM,N,6,Cont,XHRTOTLM,Grand total men
varlist,8,50211,HRTOTLW,N,6,Cont,XHRTOTLW,Grand total women
varlist,9,52032,HRAIANT,N,6,Cont,XHRAIANT,American Indian or Alaska Native total
varlist,10,52034,HRAIANM,N,6,Cont,XHRAIANM,American Indian or Alaska Native men
varlist,11,52036,HRAIANW,N,6,Cont,XHRAIANW,American Indian or Alaska Native women
varlist,12,52038,HRASIAT,N,6,Cont,XHRASIAT,Asian total
varlist,13,52040,HRASIAM,N,6,Cont,XHRASIAM,Asian men
varlist,14,52042,HRASIAW,N,6,Cont,XHRASIAW,Asian women
varlist,15,52044,HRBKAAT,N,6,Cont,XHRBKAAT,Black or African American total
varlist,16,52046,HRBKAAM,N,6,Cont,XHRBKAAM,Black or African American men
varlist,17,52048,HRBKAAW,N,6,Cont,XHRBKAAW,Black or African American women
varlist,18,52050,HRHISPT,N,6,Cont,XHRHISPT,Hispanic or Latino total
varlist,19,52052,HRHISPM,N,6,Cont,XHRHISPM,Hispanic or Latino men
varlist,20,52054,HRHISPW,N,6,Cont,XHRHISPW,Hispanic or Latino women
varlist,21,52056,HRNHPIT,N,6,Cont,XHRNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,22,52058,HRNHPIM,N,6,Cont,XHRNHPIM,Native Hawaiian or Other Pacific Islander men
varlist,23,52060,HRNHPIW,N,6,Cont,XHRNHPIW,Native Hawaiian or Other Pacific Islander women
varlist,24,52062,HRWHITT,N,6,Cont,XHRWHITT,White total
varlist,25,52064,HRWHITM,N,6,Cont,XHRWHITM,White men
varlist,26,52066,HRWHITW,N,6,Cont,XHRWHITW,White women
varlist,27,52068,HR2MORT,N,6,Cont,XHR2MORT,Two or more races total
varlist,28,52070,HR2MORM,N,6,Cont,XHR2MORM,Two or more races men
varlist,29,52072,HR2MORW,N,6,Cont,XHR2MORW,Two or more races women
varlist,30,50246,HRUNKNT,N,6,Cont,XHRUNKNT,Race/ethnicity unknown total
varlist,31,50196,HRUNKNM,N,6,Cont,XHRUNKNM,Race/ethnicity unknown men
varlist,32,50201,HRUNKNW,N,6,Cont,XHRUNKNW,Race/ethnicity unknown women
